DATE,Base: Total ($ Mil),Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),"Balance Sheet Securities, Prem-Disc, Repos, and Loans ($ Mil)",Balance Sheet: Securities Held Outright ($ Mil),Balance Sheet: U.S. Treasuries Held Outright ($ Mil),Balance Sheet: Federal Agency Debt Securities ($ Mil),Balance Sheet: Mortgage-Backed Securities ($ Mil),Balance Sheet: Repos ($ Mil),Balance Sheet: Central Bank Liquidity Swaps ($ Mil),Balance Sheet: Direct Lending ($ Mil),Balance Sheet: Unamortized Security Premiums ($ Mil),Balance Sheet: Total Liabilities ($ Mil),Balance Sheet: Federal Reserve Notes Outstanding ($ Mil),Balance Sheet: Reverse Repos ($ Mil),Balance Sheet: Excess Reserves ($ Mil),Balance Sheet: Required Reserves ($ Mil),Balance Sheet: Total Reserves ($ Mil),Balance Sheet: Deposits from Dep. Institutions ($ Mil),Balance Sheet: U.S. Treasury General Account ($ Mil),Balance Sheet: Other Deposits ($ Mil),Balance Sheet: All Deposits ($ Mil),Federal Funds Target (Pre-Crisis),Federal Funds (Upper) Target,Effective Federal Funds Rate,Interest on Excess Reserves,Interest on Reserve Balances,Vault Cash ($ Mil),Vault Cash Used as Req. ($ Mil)
2002-01-31,653800.0,635.429,,,,,,,,,,,,,,1446.2,8534.4,9.6138,,,0.2562,,1.75,,1.7296774193548383,,,45416.2,33.731
2002-02-28,654600.0,635.884,,,,,,,,,,,,,,1377.25,7852.5,9.35575,,,0.23025,,1.75,,1.7396428571428573,,,45947.0,33.239
2002-03-31,659000.0,639.6975,,,,,,,,,,,,,,1370.25,7717.5,8.9205,,,0.22225,,1.75,,1.73,,,42567.25,31.209
2002-04-30,663400.0,643.5795,,,,,,,,,,,,,,1263.5,8297.0,9.33975,,,0.25025,,1.75,,1.753,,,42146.25,31.222
2002-05-31,668600.0,648.2932,,,,,,,,,,,,,,1256.2,8182.4,10.013,,,0.227,,1.75,,1.751290322580645,,,41926.2,31.104
2002-06-30,674000.0,654.7737500000001,,,,,,,,,,,,,,1191.0,6729.0,7.91775,,,0.239,,1.75,,1.7503333333333333,,,41410.0,30.7
2002-07-31,679300.0,660.9598,,,,,,,,,,,,,,1393.4,6623.6,7.882599999999999,,,0.2274,,1.75,,1.729032258064516,,,42823.8,31.38
2002-08-31,679800.0,660.558,,,,,,,,,,,,,,1533.75,6763.25,7.69925,,,0.211,,1.75,,1.7432258064516128,,,43116.5,31.375
2002-09-30,680400.0,662.18875,,,,,,,,,,,,,,1514.25,7147.75,8.677,,,0.22,,1.75,,1.7506666666666668,,,42081.25,30.2
2002-10-31,681900.0,662.238,,,,,,,,,,,,,,1567.0,7305.6,9.472,,,0.2218,,1.75,,1.7548387096774194,,,43087.2,29.892
