County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Planning Region 5,1997,,,,,,26516.85,,3916.20042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,1998,,,,,,26891.34,,4351.6738399999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,1999,,,,,,27014.27,,4522.43501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,2000,162127.0,479,,,,26846.8,,4910.228529999999,656.0,551.0,38574.0,601.0,817.0,0.011590000000000001,,,,,0.015880000000000002,0.013330000000000002,0.9335,0.01454,0.01977,0.72828,0.29882,0.38638,0.5038199999999999,0.60598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,2001,163181.0,491,,,22.2,26551.79,,5204.08556,774.0,585.0,38817.0,723.0,898.0,0.012029999999999999,,,,,0.01892,0.0143,0.94909,0.01768,0.02196,0.75572,0.30685999999999997,0.39031,0.51952,0.61238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,2002,163832.0,526,,,22.1,26094.01,,5407.95751,878.0,616.0,38221.0,777.0,996.0,0.01339,,,,,0.02168,0.01521,0.94391,0.019190000000000002,0.0246,0.73606,0.26989,0.33755,0.5271399999999999,0.6171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,2003,165467.0,563,,,22.0,25885.62,3244,5927.73215,989.0,657.0,37920.0,849.0,1078.0,0.013940000000000001,,,,0.12655,0.02447,0.01626,0.93827,0.02101,0.02667,0.72765,0.2919,0.37011,0.5062800000000001,0.5858899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,2004,168529.0,617,,,21.8,26178.81,3260,6121.2856600000005,1115.0,683.0,38075.0,882.0,1147.0,0.015119999999999998,,,,0.12736,0.027360000000000002,0.01676,0.93424,0.02164,0.02814,0.72101,0.25018,0.32818,0.49191999999999997,0.58257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,2005,169666.0,633,,,21.9,25951.41,3352,6493.6905799999995,1274.0,721.0,37806.0,896.0,1232.0,0.01547,,,,0.13272,0.0313,0.01772,0.92896,0.022019999999999998,0.03027,0.74597,0.26500999999999997,0.34041,0.50732,0.56955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 5,2006,171665.0,641,,,22.2,25698.28,3477,6899.48648,1409.0,751.0,37605.0,1000.0,1325.0,0.015580000000000002,,,,0.13766,0.03456,0.01842,0.92248,0.02453,0.0325,0.7636,0.28136,0.35606,0.5213899999999999,0.6018899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
