County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Rolette,1980,,,,1100.0,,,,,,,,,,,,0.2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1990,12772.0,,346.0,1742.0,,,,,,,,,,,0.0709,0.3572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1991,12885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1992,13073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1993,13204.0,,,,,2978.59,234,5123.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1994,13520.0,,,,,3189.0,239,4811.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1995,13834.0,,,,,3224.71,272,5026.21,,,,,,,,,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1996,13938.0,,,,18.0,,286,,,,,,,,,,,0.0865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1997,14099.0,,,,18.8,3269.3,280,4614.16,,,,,,,,,,0.0844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1998,14148.0,,,,18.8,3283.29,295,5505.44,,,,,,,,,,0.0882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rolette,1999,14229.0,,,,18.9,3295.42,277,5625.64,,,,,,,,,,0.0839,,,,,,0.47748,0.07207000000000001,0.15315,0.2973,0.38739,2584.136061,0.199639394,0.0,0.0,0.0,0.0,0.0,0.24304242399999998,793.4515152,0.11151515199999999,2809.884848,3111.67,14.36454545,6729.482424,3225.187273,588.6336364,687.2118182,256.7578788,583.2778787999999,276.7645455,320.8548485,17.38484848,163.86393940000002,276.6127273,6396.548788,1886.8651519999999,4.0,220.0,1460.0,530.0,1086.0,3296.0,3300.0,11.97,185.94,1548.3,500.94,1048.27,3295.42,8527649.0,658.81,0.0,0.0,0.0,0.0,0.0,802.04,2618390.0,368.0,9272620.0,10268511.0,47403.0,22207292.0,10643118.0,1942491.0,2267799.0,847301.0,1924817.0,913323.0,1058821.0,57370.0,540751.0,912822.0,21108611.0,6226655.0,
Rolette,2000,13674.0,136,501.0,1990.0,18.3,3183.89,297,5632.88,9.0,4.0,802.0,4321.0,70.0,0.026000000000000002,0.1005,0.3992,,0.094,0.00172,0.0007599999999999999,0.15329,0.82588,0.013380000000000001,0.42718,0.1068,0.13592,0.19417,0.39805999999999997,2769.38145,0.205061728,0.0,0.0,0.0,0.0,0.0,0.250655271,902.1789364,0.265593542,3110.1652670000003,2948.415312,48.60490662,6987.291953,3277.791396,444.4369294,683.9654194,257.8487401,691.3926464,321.8291453,311.25251030000004,42.74666667,161.98272869999997,324.7713454,6518.017528,2440.358848,3.0,191.0,1421.0,473.0,1071.0,3156.0,3159.0,10.15,165.92,1453.15,513.39,1041.28,3183.89,8748476.0,647.79,0.0,0.0,0.0,0.0,0.0,791.82,2849983.26,839.01,9825012.08,9314043.97,153542.9,22072855.28,10354543.02,1403976.26,2160646.76,814544.17,2184109.37,1016658.27,983246.68,135036.72,511703.44,1025952.68,20590417.37,7709093.6,
Rolette,2001,13733.0,121,,,18.1,3204.99,294,6021.17,13.0,9.0,877.0,4290.0,104.0,0.0231,,,,0.0932,0.00251,0.00173,0.16901,0.82675,0.020040000000000002,0.4,0.06087000000000001,0.10435,0.14783,0.33043,2785.843373,0.21081800899999997,0.003772987,0.0,0.001242866,0.018002536,0.02153773,0.25537412800000003,879.9782657,0.368655675,2933.5562649999997,3253.747945,13.25419784,7080.90533,3515.881243,441.4539727,792.9413792,292.83878880000003,699.662137,375.7332086,387.487974,262.5019531,186.75121430000002,459.09137599999997,7414.343247,2095.786316,4.0,214.0,1348.0,491.0,1097.0,3150.0,3154.0,13.71,191.57,1435.16,491.36,1073.19,3204.99,8786550.0,664.92,11.9,0.0,3.92,56.78,67.93,805.45,2775451.45,1162.74,9252436.46,10262321.02,41803.74,22333175.41,11089089.44,1392345.83,2500937.11,923613.54,2206734.38,1185062.54,1222137.07,827931.16,589013.33,1447974.2,23384838.6,6610110.04,
Rolette,2002,13682.0,131,,,18.3,3141.94,306,6660.48,18.0,10.0,874.0,4215.0,115.0,0.0256,,,,0.0984,0.00352,0.00195,0.1708,0.8237200000000001,0.02247,0.4065,0.09756000000000001,0.1626,0.18699000000000002,0.29268,2921.176262,0.21557414,0.003753619,0.0,0.001254423,0.017703442,0.021003538,0.259289161,853.520669,0.22498552600000002,3701.456832,3219.423303,16.31368286,7790.939472,3893.1947219999997,530.2571502000001,905.5090061000001,280.3226086,726.660283,395.10667739999997,336.3347282,9.26173046,206.9795207,615.8465004999999,7899.472927,2056.138881,6.0,216.0,1340.0,448.0,1099.0,3103.0,3109.0,10.57,213.27,1347.5,487.3,1083.3,3141.94,9081937.0,670.22,11.67,0.0,3.9,55.04,65.3,806.13,2653595.76,699.48,11507829.29,10009187.05,50719.24,24222030.82,12103942.39,1648569.48,2815227.5,871522.99,2259186.82,1228386.66,1045664.67,28794.72,643499.33,1914666.77,24559461.33,6392535.78,
Rolette,2003,13580.0,132,,,18.5,3040.73,289,7532.46,28.0,17.0,855.0,4127.0,126.0,0.0261,,,,0.0959,0.00557,0.0033799999999999998,0.17008,0.8209700000000001,0.02506,0.46729,0.07477,0.09346,0.17757,0.36449000000000004,3008.268171,0.222223697,0.00385994,0.0,0.0012910719999999999,0.018486558,0.020843014,0.266704281,754.9429472,0.0,3613.597896,4585.72604,18.51649519,8972.783379,4425.362751,603.7971522999999,965.8853832999998,322.2345536,835.0832957,449.42172589999996,436.541759,36.8954464,233.79821439999998,674.0792632,8983.099545000001,2061.1779920000004,0.0,201.0,1312.0,449.0,1051.0,3013.0,3013.0,12.91,216.05,1315.86,443.65,1052.26,3040.73,9063912.0,669.56,11.63,0.0,3.89,55.7,62.8,803.58,2274643.1,0.0,10887770.46,13816792.56,55790.2,27034996.32,13333617.97,1819240.82,2910212.66,970892.71,2516105.97,1354107.66,1315300.32,111165.98,704434.02,2031000.82,27066078.93,6210329.29,
Rolette,2004,13626.0,104,,,17.7,3099.29,281,8001.17,45.0,22.0,843.0,4071.0,131.0,0.021,,,,0.0955,0.00903,0.00442,0.16924,0.81731,0.0263,0.3622,0.07874,0.11810999999999999,0.15748,0.31496,3226.891874,0.22099626,0.005399524,0.0017001020000000002,0.001302278,0.018435906000000002,0.020153009,0.26798707899999996,789.4444645,0.0,3812.4156780000003,5550.408279,258.1224821,10410.3909,5069.227436,549.4386092999999,1139.119534,341.7000578,785.9370349999999,546.3918768999999,504.55730020000004,64.353254,283.60537569999997,1033.098783,10317.429259999999,2193.008589,7.0,182.0,1225.0,453.0,1074.0,2934.0,2941.0,77.17,238.79,1299.23,444.29,1039.81,3099.29,9490289.0,649.95,15.88,5.0,3.83,54.22,59.27,788.15,2321756.17,0.0,11212314.51,16323750.75,759138.22,30616959.65,14908597.89,1615898.95,3350150.55,1004939.87,2311440.82,1606938.51,1483903.02,189262.92,834083.41,3038343.52,30343559.46,6449638.26,
Rolette,2005,13628.0,96,,,18.1,3022.06,245,8925.34,53.0,33.0,826.0,4037.0,149.0,0.0193,,,,0.0857,0.010709999999999999,0.006670000000000001,0.1669,0.81572,0.03011,0.41525,0.08475,0.11017,0.20339000000000002,0.26271,3357.397902,0.232821678,0.003884615,0.001748252,0.00134965,0.01941958,0.021653846,0.280877622,878.4492167999999,0.0,4022.570203,5678.1649130000005,16.02803846,10595.212370000001,5744.891734000001,561.6669161,1370.624311,361.4754755,851.0647797,541.3692727000001,585.4028287000001,91.45707692,325.93669930000004,656.4206713,11090.30977,1757.4249899999998,5.0,196.0,1169.0,463.0,1027.0,2855.0,2860.0,97.79,192.58,1241.94,452.05,1037.7,3022.06,9602158.0,665.87,11.11,5.0,3.86,55.54,61.93,803.31,2512364.76,0.0,11504550.78,16239551.65,45840.19,30302307.38,16430390.36,1606367.38,3919985.53,1033819.86,2434045.27,1548316.12,1674252.09,261567.24,932178.96,1877363.12,31718285.93,5026235.47,
Rolette,2006,13588.0,87,,,17.7,2911.89,250,9442.64,55.0,42.0,801.0,3997.0,159.0,0.0175,,,,0.0895,0.01124,0.008579999999999999,0.16364,0.81655,0.03248,0.36066,0.04098,0.09016,0.15574000000000002,0.27869,3597.530064,0.23119899800000002,0.003908375,0.0017895489999999999,0.001327845,0.017473157,0.020801718,0.276499642,925.4223336000001,0.0,4327.095379,6543.649567,28.84872584,11825.01621,6151.291603,585.6476700000001,1377.221217,416.9952613,799.6176664,510.285136,549.9737903,188.5192162,232.8141875,716.6819469999999,11529.0477,2094.9074769999997,4.0,213.0,1128.0,434.0,1015.0,2790.0,2794.0,101.41,190.48,1169.31,470.73,979.96,2911.89,10051499.0,645.97,10.92,5.0,3.71,48.82,58.12,772.54,2585630.0,0.0,12089904.49,18282956.89,80603.34,33039095.28,17186708.74,1636299.59,3847956.08,1165084.76,2234131.76,1425736.67,1536626.77,526722.69,650482.84,2002409.36,32212159.26,5853171.49,
