County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Adams,2002,2488.0,7,,,21.2,390.02,46,5549.68,2.0,0.0,568.0,1.0,3.0,0.012,,,,0.1264,0.0035,0.0,0.99475,0.00175,0.00525,0.6,0.28570999999999996,0.28570999999999996,0.45714,0.6,16783.95055,0.41956044,0.027225275,0.013736264,0.0,0.027472527000000004,0.0,0.487994505,3791.5846979999997,0.0,3432.767308,355.9038462,0.0,7580.255851999999,3576.3750270000005,234.02648349999998,397.36670330000004,369.8413187,546.2111812999999,822.5688736000001,508.3703297,0.0,294.240522,788.9709341,7537.971374,1740.8548629999998,0.0,15.0,150.0,60.0,139.0,364.0,364.0,0.0,26.13,149.42,64.42,150.05,390.02,6109358.0,152.72,9.91,5.0,0.0,10.0,0.0,177.63,1380136.83,0.0,1249527.3,129549.0,0.0,2759213.13,1301800.51,85185.64,144641.48,134622.24,198820.87,299415.07,185046.8,0.0,107103.55,287185.42,2743821.58,633671.17,0.00057443
Barnes,2002,11220.0,21,,,20.8,1783.73,252,5084.45,25.0,3.0,2524.0,48.0,26.0,0.0076,,,,0.1479,0.00962,0.00115,0.97077,0.01846,0.01,0.62626,0.19192,0.24241999999999997,0.37374,0.53535,17903.60681,0.332464789,0.002353286,0.009507042,0.00213615,0.012071596,0.009413145999999999,0.36794600899999996,2944.054883,0.296320423,3009.968052,450.79844479999997,17.38294014,6422.50064,3225.599654,339.8215434,538.2515141,224.2164319,466.92815139999993,527.5307218,345.3551585,0.0,149.94901409999997,559.5343427,6377.186532,1438.6814669999999,15.0,101.0,760.0,267.0,561.0,1689.0,1704.0,0.0,122.32,771.48,302.37,587.56,1783.73,30507746.0,566.52,4.01,16.2,3.64,20.57,16.04,626.98,5016669.52,504.93,5128985.56,768160.55,29620.53,10943941.09,5496421.81,579055.91,917180.58,382064.8,795645.57,898912.35,588485.19,0.0,255513.12,953446.52,10866725.85,2451513.22,0.0006950810000000001
Benson,2002,6798.0,89,,,18.8,979.22,206,8748.3,7.0,1.0,797.0,1670.0,39.0,0.0347,,,,0.2104,0.00283,0.0004,0.32202,0.67475,0.01576,0.5,0.19230999999999998,0.21154,0.38461999999999996,0.34615,11906.113379999999,0.964616956,0.173799796,0.009989785,0.003064351,0.025076609,0.0,1.176547497,2222.046088,0.0,3867.114443,3967.3125840000002,56.46283963,10112.935959999999,5518.904923,216.3606639,1045.441828,389.8771808,866.3690705,713.3111236000001,683.7667518,2.364657814,231.93117469999999,697.5148927,10365.842270000001,2340.213463,8.0,46.0,357.0,149.0,419.0,971.0,979.0,9.02,50.34,379.4,132.21,408.25,979.22,11656085.0,944.36,170.15,9.78,3.0,24.55,0.0,1151.84,2175383.12,0.0,3785905.04,3883999.02,55277.12,9900564.3,5403007.92,211817.09,1023487.55,381689.76,848175.32,698331.59,669407.65,2315.0,227060.62,682867.08,10148159.58,2291068.98,0.000427311
Billings,2002,860.0,0,,,,73.84,LNE,15199.33,0.0,0.0,207.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,0.0,0.00483,,,,,,66666.32877000001,0.522191781,0.0,0.0,0.0,0.0,0.0,0.522191781,5699.41274,8881.506027,488.2017808,6936.926575,542.2532877,22548.30041,7498.013698999999,649.6290411,2012.387945,551.4642466,1598.041233,3064.68726,3894.6238359999998,74.76643836,159.7454795,4640.820685000001,24144.17986,56007.15534,0.0,9.0,48.0,16.0,0.0,73.0,73.0,0.0,5.58,51.98,16.28,0.0,73.84,4866642.0,38.12,0.0,0.0,0.0,0.0,0.0,38.12,416057.13,648349.94,35638.73,506395.64,39584.49,1646025.93,547355.0,47422.92,146904.32,40256.89,116657.01,223722.17,284307.54,5457.95,11661.42,338779.91,1762525.13,4088522.34,1.7899999999999998e-05
Bottineau,2002,6820.0,23,,,20.8,1171.73,168,5919.46,16.0,6.0,1494.0,58.0,16.0,0.0138,,,,0.1496,0.01017,0.00381,0.9491700000000001,0.03685,0.01017,0.7368399999999999,0.21053000000000002,0.25,0.38158000000000003,0.64474,17913.1959,0.630908281,0.097355298,0.004194123,0.0,0.022991986000000002,0.0,0.755449688,3214.279546,381.05751560000004,3134.173197,393.39964380000004,62.36747996,7185.277381999999,3947.840151,216.61722169999996,510.9230988,261.310374,622.0770882,617.549715,531.1532057000001,5.087845058,194.14408730000002,393.15606410000004,7299.858851000001,1917.646313,12.0,45.0,485.0,178.0,403.0,1111.0,1123.0,4.82,52.84,508.29,203.43,402.35,1171.73,20116519.0,708.51,109.33,4.71,0.0,25.82,0.0,848.37,3609635.93,427927.59,3519676.5,441787.8,70038.68,8069066.5,4433424.49,243261.14,573766.64,293451.55,698592.57,693508.33,596485.05,5713.65,218023.81,441514.26,8197741.49,2153516.81,0.000521473
Bowman,2002,3052.0,5,,,20.6,699.48,57,6284.35,0.0,1.0,765.0,0.0,11.0,0.0066,,,,0.0835,0.0,0.00131,0.99869,0.0,0.01436,0.51613,0.19355,0.35484,0.40323000000000003,0.46774,14755.926790000001,0.650322108,0.0,0.0,0.0,0.029062958,0.0,0.6793850659999999,2684.3587850000004,917.8518009,3226.9914489999996,359.05866760000004,15.10635432,7203.3670569999995,4004.862035,135.89790630000002,618.5413324,366.1834261,480.03762810000006,830.4643485,456.1153734,9.740483163,403.0410395,77.70285505,7382.5864280000005,2377.6314350000002,2.0,39.0,266.0,123.0,253.0,681.0,683.0,1.1,24.33,291.36,106.09,276.6,699.48,10078298.0,444.17,0.0,0.0,0.0,19.85,0.0,464.02,1833417.05,626892.78,2204035.16,245237.07,10317.64,4919899.7,2735320.77,92818.27,422463.73,250103.28,327865.7,567207.15,311526.8,6652.75,275277.03,53071.05,5042306.53,1623922.27,0.000420587
Burke,2002,2103.0,5,,,21.3,331.75,46,7293.07,4.0,0.0,452.0,2.0,3.0,0.0109,,,,0.1402,0.00873,0.0,0.9869,0.004370000000000001,0.00655,0.66667,0.2,0.26666999999999996,0.4,0.56667,25332.90244,1.409512195,0.0,0.0,0.0,0.027987805,0.027957317000000002,1.4654573169999998,4236.805335,590.1896037,3454.046829,448.2058841,186.4867073,8915.734359999999,4896.6736280000005,1.8292682930000002,580.9120122,179.3879268,912.4557317,805.1885061,745.0471951000001,47.9879878,230.1489634,288.6128659,8688.244085,4156.215029999999,0.0,17.0,146.0,43.0,122.0,328.0,328.0,0.0,18.34,138.95,41.29,133.17,331.75,8309192.0,462.32,0.0,0.0,0.0,9.18,9.17,480.67,1389672.15,193582.19,1132927.36,147011.53,61167.64,2924360.87,1606108.95,600.0,190539.14,58839.24,299285.48,264101.83,244375.48,15740.06,75488.86,94665.02,2849744.06,1363238.53,0.000240604
Burleigh,2002,71021.0,264,,,21.6,11279.27,1294,5311.61,145.0,129.0,16453.0,1141.0,232.0,0.0145,,,,0.1207,0.00812,0.00722,0.92081,0.06386,0.012980000000000002,0.6713399999999999,0.26791,0.32243,0.47975,0.59034,12540.515159999999,0.125345648,0.031450695,0.0013284820000000002,0.0,0.0016494079999999998,0.002560873,0.162335106,2950.2363179999998,0.0,2714.334045,541.933018,15.3462114,6221.8495920000005,3590.0043049999995,346.5516849,328.97807819999997,328.8520618,376.466926,616.9817099999999,128.3689878,74.55338558,163.0588656,296.9812072,6250.797211,886.2069082999999,90.0,765.0,4660.0,1663.0,3541.0,10629.0,10719.0,151.13,926.6,4795.48,1676.6,3729.46,11279.27,134421782.0,1343.58,337.12,14.24,0.0,17.68,27.45,1740.07,31719908.43,0.0,29095194.26,5808980.02,178618.74,66802701.45,38481256.14,3714687.51,3526316.02,3524965.25,4044179.25,6619723.96,1378513.81,799137.74,1747827.98,3286861.15,67123468.81,9537448.87,0.001123885
Cass,2002,126054.0,456,,,22.7,19266.28,2205,5603.61,826.0,580.0,28687.0,569.0,799.0,0.0145,,,,0.1167,0.02694,0.01892,0.9355899999999999,0.01856,0.026060000000000003,0.78125,0.3125,0.38393,0.57589,0.6685300000000001,15060.332190000001,0.076088844,0.006279451,0.0012484780000000001,0.000158839,0.003403399,0.008716048,0.09589506,3749.977615,0.0,2602.747864,384.0652941,32.34866998,6769.1394439999995,3715.679732,406.1742437,455.30737489999996,315.29596969999994,283.4978292,540.1830259,189.242606,7.474145709,82.04980992,454.7623228,6449.667059,1035.880432,142.0,1407.0,8730.0,2918.0,5690.0,18745.0,18887.0,161.7,1401.78,8942.87,2855.7,5904.23,19266.28,284444494.0,1437.09,118.6,23.58,3.0,64.28,164.62,1811.17,70825827.22,0.0,49158098.91,7253841.21,610969.33,127848736.7,70178043.09,7671412.94,8599390.39,5954994.98,5354423.5,10202436.81,3574225.1,141164.19,1549674.76,8589095.99,121814861.8,19564673.71,0.000965362
Cavalier,2002,4543.0,3,,,21.0,722.47,94,6184.37,3.0,4.0,1138.0,12.0,17.0,0.0026,,,,0.1326,0.00259,0.00346,0.9835799999999999,0.01037,0.01469,0.72131,0.2623,0.32787,0.45902,0.4918,26045.41044,0.6433850489999999,0.0,0.003977433,0.0,0.012002821,0.0,0.659365303,4202.045120000001,0.0,3324.65598,420.8942031,72.75502116,8020.350323999999,3889.230282,296.2829478,559.366615,215.1655148,633.9757687000001,707.8475035,569.7512835,101.03320169999999,211.08968969999998,483.5743441000001,7667.317151,2412.7911710000003,2.0,37.0,257.0,127.0,286.0,707.0,709.0,4.81,30.06,282.07,106.95,298.58,722.47,18466196.0,456.16,0.0,2.82,0.0,8.51,0.0,467.49,2979249.99,0.0,2357181.09,298413.99,51583.31,5686428.38,2757464.27,210064.61,396590.93,152552.35,449488.82,501863.88,403953.66,71632.54,149662.59,342854.21,5436127.86,1710668.94,0.00041445800000000004
