Country Name,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Afghanistan,163.0,40.0,48.9,12.6,28.4,27.5,91.6,79.9,97.3,54.2,59.9,69.3,66.0,0.0,0.0,7.0,20.0,20.0,6.5,27.1,32.0,62.3,1.5,5.4,1947,9.6,-1.5,58.0,6.8
Albania,65.0,30.0,64.4,54.0,28.5,39.7,86.9,72.5,51.5,79.3,50.7,81.4,87.7,70.0,70.0,1.1,23.0,15.0,23.6,30.0,2.8,32.7,2.6,1.9,11301,17.3,1.9,1003.3,71.9
Algeria,172.0,14.0,46.5,38.2,29.6,31.7,81.1,51.0,19.8,62.1,49.5,67.0,63.3,35.0,30.0,8.4,35.0,23.0,11.7,44.4,39.5,578.7,3.7,3.3,14504,10.5,4.8,-587.3,8.7
Angola,165.0,41.0,48.5,36.4,19.8,12.8,87.7,58.6,70.7,58.5,40.4,70.6,56.7,30.0,40.0,11.7,17.0,30.0,6.5,28.9,25.1,184.4,3.0,4.7,7344,7.6,10.3,8680.9,62.3
Argentina,156.0,26.0,50.4,32.4,39.6,38.2,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50.0,50.0,6.6,35.0,35.0,35.9,43.9,42.4,972.0,1.2,2.7,22554,6.7,26.5,11654.9,56.5
Armenia,33.0,19.0,70.3,55.5,42.5,43.4,83.7,81.7,82.9,78.5,72.4,72.8,80.2,80.0,70.0,2.4,26.0,20.0,23.5,26.4,3.3,25.3,3.0,4.3,8468,16.3,3.7,180.5,46.6
Australia,5.0,4.0,81.0,81.7,92.9,74.8,63.2,59.0,84.6,89.3,84.1,86.4,86.2,80.0,90.0,1.9,45.0,30.0,27.5,37.2,23.9,1138.1,2.5,2.7,47389,6.3,1.5,22264.5,36.8
Austria,30.0,17.0,72.3,86.0,81.8,75.2,50.3,19.3,79.7,76.9,67.6,83.4,87.0,90.0,70.0,1.5,50.0,25.0,43.0,51.9,8.6,404.3,0.9,1.0,47250,5.7,0.8,3837.4,86.2
Azerbaijan,68.0,15.0,63.6,50.5,33.0,37.6,87.7,57.5,97.4,71.5,75.0,73.6,74.4,55.0,50.0,5.3,25.0,20.0,14.2,38.5,9.5,169.4,1.1,2.4,17993,4.7,4.0,4047.7,36.1
Bahamas,90.0,19.0,61.1,45.3,48.7,38.2,97.1,83.8,42.3,68.5,71.5,77.0,50.6,50.0,60.0,19.7,0.0,0.0,16.9,24.2,0.4,9.2,0.5,0.9,25167,14.4,1.9,384.9,65.7
Bahrain,44.0,4.0,68.5,64.2,53.7,55.5,99.9,69.8,12.0,69.4,78.7,80.7,82.8,75.0,80.0,3.6,0.0,0.0,3.8,34.7,1.2,64.8,3.2,3.7,50095,1.2,1.8,-1462.8,63.3
Bangladesh,128.0,28.0,55.0,34.9,26.0,19.1,72.8,94.0,78.7,53.4,68.7,68.6,63.6,50.0,30.0,10.7,25.0,45.0,8.6,13.8,159.9,576.5,6.4,6.3,3607,4.4,6.4,2235.4,34.0
Barbados,130.0,24.0,54.5,55.5,33.0,34.3,74.0,39.0,0.0,69.6,67.7,83.7,62.2,75.0,60.0,13.9,35.0,25.0,27.4,44.2,0.3,4.6,0.5,0.3,16575,12.3,0.5,254.4,103.0
Belarus,104.0,40.0,58.6,50.9,56.3,37.6,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30.0,10.0,2.2,13.0,18.0,23.0,42.6,9.4,167.7,-3.9,1.2,17654,6.1,13.5,1583.9,59.9
Belgium,49.0,25.0,67.8,83.3,69.3,71.5,44.1,9.6,66.3,82.0,61.1,84.9,87.0,85.0,70.0,1.5,50.0,33.0,44.7,53.9,11.2,494.1,1.4,0.9,43585,8.7,0.6,31029.5,106.3
Belize,101.0,22.0,58.6,43.5,48.7,35.0,81.3,68.6,60.5,62.7,53.6,79.6,70.1,50.0,50.0,10.0,25.0,25.0,24.8,32.8,0.4,3.0,1.5,2.5,8373,11.8,-0.6,64.6,76.3
Benin,96.0,11.0,59.2,36.0,29.4,31.3,68.6,85.9,71.3,51.9,52.4,85.4,68.7,80.0,50.0,10.6,45.0,30.0,14.8,24.9,10.9,22.9,5.2,5.2,2113,1.1,0.3,229.3,37.5
Bhutan,107.0,21.0,58.4,60.1,50.7,44.7,83.1,73.6,61.7,72.6,77.6,67.1,60.0,20.0,30.0,10.0,25.0,30.0,13.0,25.1,0.8,6.4,7.7,7.1,8201,2.6,7.2,12.1,115.7
Bolivia,168.0,30.0,47.7,25.7,15.4,32.6,86.1,49.1,81.4,58.9,35.8,66.4,76.0,5.0,40.0,4.5,13.0,25.0,24.4,41.9,11.5,74.4,4.8,5.5,6465,3.6,4.1,503.4,39.7
Bosnia and Herzegovina,92.0,36.0,60.2,41.2,40.0,32.7,83.5,33.7,89.3,47.4,59.3,84.0,86.6,65.0,60.0,1.7,10.0,10.0,38.1,46.8,3.9,40.5,2.8,1.3,10492,30.3,-1.0,249.5,45.5
Botswana,34.0,2.0,70.1,58.1,54.0,57.6,77.1,61.2,99.4,68.8,68.6,77.9,83.8,65.0,70.0,0.6,25.0,22.0,34.4,39.7,2.1,34.8,-0.3,4.6,16368,18.6,3.0,393.6,17.8
Brazil,140.0,25.0,52.9,55.0,49.7,33.4,70.1,53.1,22.8,61.3,52.3,67.0,69.4,50.0,50.0,7.8,27.5,34.0,32.8,41.9,204.5,3192.4,-3.8,1.0,15615,7.2,9.0,64647.9,73.7
Bulgaria,47.0,23.0,67.9,62.5,38.9,41.8,91.0,58.4,86.4,66.7,68.3,83.3,87.0,70.0,60.0,1.5,10.0,10.0,26.5,38.8,7.2,136.9,3.0,1.5,19097,9.8,-1.1,1773.9,26.9
Burkina Faso,93.0,10.0,59.6,38.2,28.4,31.7,82.6,82.5,88.4,46.4,53.3,84.6,69.2,70.0,40.0,7.9,27.5,27.5,15.2,21.3,17.9,30.9,4.0,5.5,1724,2.9,0.9,167.4,31.0
Burma,146.0,34.0,52.5,23.0,12.9,29.6,86.2,81.5,89.9,50.1,77.1,65.4,74.2,20.0,20.0,2.9,20.0,30.0,9.2,25.9,51.8,283.5,7.0,7.4,5469,4.7,11.5,2824.0,32.0
Burundi,139.0,30.0,53.2,25.7,19.8,24.6,73.8,69.5,69.6,53.5,67.4,75.2,74.2,55.0,30.0,5.4,35.0,35.0,12.9,29.9,9.4,7.7,-4.1,2.7,819,1.5,5.6,7.4,38.4
Cambodia,94.0,20.0,59.5,42.4,22.1,12.8,90.2,88.1,95.7,29.6,62.0,81.0,80.3,60.0,50.0,4.9,20.0,20.0,13.4,18.2,15.5,54.2,6.9,7.2,3488,0.5,1.2,1701.0,33.6
Cameroon,150.0,34.0,51.8,43.5,29.6,17.4,75.4,84.4,60.9,44.3,47.8,80.1,53.4,35.0,50.0,15.8,35.0,33.0,12.2,23.5,23.1,72.6,5.9,5.2,3144,4.6,2.8,620.1,33.5
Canada,7.0,1.0,78.5,88.3,80.8,81.6,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80.0,80.0,0.8,33.0,15.0,30.8,40.3,35.9,1631.9,1.2,2.2,45553,6.9,1.1,48642.8,91.5
Cabo Verde,116.0,17.0,56.9,42.6,50.2,41.8,78.3,70.7,1.2,65.5,43.2,86.7,68.2,75.0,60.0,10.9,35.0,25.0,18.0,29.9,0.5,3.4,1.8,1.9,6522,10.8,0.1,94.9,119.3
Central African Republic,151.0,35.0,51.8,12.6,33.0,28.7,65.8,94.1,84.1,27.2,42.7,68.2,55.2,80.0,30.0,14.9,50.0,30.0,4.4,14.6,4.8,3.0,4.3,-4.7,630,7.6,5.4,3.0,65.0
Chad,162.0,39.0,49.0,30.6,24.1,24.6,46.0,87.2,74.6,27.5,44.9,74.3,54.7,60.0,40.0,15.1,60.0,45.0,6.8,17.1,11.6,30.5,1.8,4.7,2634,5.6,3.6,600.2,39.3
Chile,10.0,2.0,76.5,68.2,63.7,70.5,77.6,82.2,96.1,72.3,64.3,82.2,86.4,85.0,70.0,1.8,35.0,25.0,19.8,25.8,18.0,422.4,2.1,3.9,23460,6.4,4.3,20176.2,17.1
China,111.0,24.0,57.4,48.3,60.7,41.6,70.0,73.0,92.5,53.9,63.4,71.8,73.6,20.0,20.0,3.2,45.0,25.0,18.7,31.9,1375.0,19392.4,6.9,7.8,14107,4.6,1.4,135610.0,43.9
Colombia,37.0,4.0,69.7,63.8,25.2,39.6,80.1,74.2,89.8,77.1,77.9,77.0,81.6,80.0,70.0,4.2,33.0,25.0,16.7,29.6,48.2,667.4,3.1,4.6,13847,10.0,5.0,12107.6,49.4
Comoros,121.0,22.0,55.8,37.3,22.6,30.0,64.6,81.2,98.6,58.5,50.6,81.5,70.2,45.0,30.0,7.4,30.0,50.0,11.8,25.5,0.8,1.2,1.0,2.3,1519,19.6,2.0,5.1,26.7
"Congo, Democratic Republic of the Congo",117.0,18.0,56.4,40.6,48.7,28.6,73.4,94.7,99.3,59.9,38.4,78.6,64.6,30.0,20.0,10.2,30.0,40.0,12.5,14.2,81.7,62.9,7.7,7.9,770,3.8,1.0,1673.5,18.8
"Congo, Republic of",177.0,47.0,40.0,34.8,22.6,30.5,66.8,36.2,11.6,32.1,37.5,76.1,52.2,50.0,30.0,16.4,45.0,34.0,11.7,39.6,4.4,29.4,2.5,4.0,6722,7.2,2.0,1486.2,64.9
Costa Rica,63.0,10.0,65.0,51.6,55.6,55.4,79.4,88.5,42.4,68.1,53.9,80.8,84.7,70.0,50.0,2.7,25.0,30.0,23.1,20.0,4.8,74.9,3.7,3.6,15482,8.6,0.8,2849.6,42.4
Côte d'Ivoire,75.0,4.0,63.0,42.6,45.8,34.3,78.4,84.6,87.0,62.1,50.6,73.2,72.3,75.0,50.0,6.3,36.0,25.0,15.5,22.7,23.3,78.6,8.6,6.3,3316,9.5,1.2,430.2,34.7
Croatia,95.0,37.0,59.4,65.5,56.8,43.4,66.8,31.3,44.7,58.2,43.3,80.3,87.4,75.0,60.0,1.3,40.0,20.0,36.4,47.6,4.2,91.1,1.6,-0.4,21581,16.1,-0.5,173.9,87.7
Cyprus,48.0,24.0,67.9,75.4,60.7,53.6,73.0,48.8,72.9,75.8,58.6,83.3,87.0,75.0,50.0,1.5,35.0,12.5,36.3,41.2,0.9,28.1,1.6,-1.8,32786,15.6,-1.5,4534.1,108.7
