County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Logan,1990,2847.0,,5.0,30.0,,,,,,,,,,,0.0071,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1991,2778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1992,2709.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1993,2650.0,,,,,500.03,43,4279.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1994,2556.0,,,,,499.6,42,4357.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1995,2474.0,,,,,484.88,53,4609.75,,,,,,,,,,0.10099999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1996,2431.0,,,,18.7,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1997,2400.0,,,,20.1,523.7,68,4269.29,,,,,,,,,,0.1365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1998,2349.0,,,,19.8,500.58,64,4390.72,,,,,,,,,,0.1342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan,1999,2268.0,,,,20.1,481.09,62,4555.77,,,,,,,,,,0.1336,,,,,,0.71053,0.21053000000000002,0.26316,0.34210999999999997,0.44737,16606.06897,0.6568965520000001,0.0,0.0,0.0,0.0,0.0,0.7076077590000001,2736.9245690000002,0.0,2943.247845,641.4094828,91.92025862,6413.502155,2868.898707,78.59482759,593.7068966,245.08836209999998,448.7974138,488.4849138,430.84913789999996,0.0,117.71120690000001,618.7327586,5890.866379,2129.75,0.0,29.0,186.0,68.0,181.0,464.0,464.0,0.0,24.18,199.56,87.19,170.16,481.09,7705216.0,304.8,0.0,0.0,0.0,0.0,0.0,328.33,1269933.0,0.0,1365667.0,297614.0,42651.0,2975865.0,1331169.0,36468.0,275480.0,113721.0,208242.0,226657.0,199914.0,0.0,54618.0,287092.0,2733362.0,988204.0,0.000469539
Logan,2000,2308.0,1,2.0,31.0,19.6,460.55,59,4923.84,2.0,3.0,534.0,1.0,4.0,0.0018,0.0038,0.0594,,0.1335,0.00367,0.0055,0.97982,0.00183,0.00734,0.61765,0.11765,0.17647000000000002,0.29412,0.41176,17704.57919,0.666402715,0.0,0.0,0.0,0.0,0.0,0.7124434390000001,3003.574751,0.0,3168.866109,678.258009,91.51425339,6942.213122,3068.776222,82.45088235,667.5452715,263.93371040000005,524.2622398,523.5145928000001,535.5547964,0.0,177.12341630000003,542.9400452000001,6386.101176,2791.866086,0.0,31.0,179.0,64.0,168.0,442.0,442.0,0.0,28.17,185.69,69.43,177.26,460.55,7825424.0,294.55,0.0,0.0,0.0,0.0,0.0,314.9,1327580.04,0.0,1400638.82,299790.04,40449.3,3068458.2,1356399.09,36443.29,295055.01,116658.7,231723.91,231393.45,236715.22,0.0,78288.55,239979.5,2822656.72,1234004.81,0.00035818300000000004
Logan,2001,2215.0,1,,,19.6,443.33,51,5353.53,2.0,3.0,511.0,1.0,4.0,0.0018,,,,0.1209,0.00387,0.0058,0.98839,0.00193,0.00774,0.52,0.16,0.24,0.28,0.36,18982.748819999997,0.697298578,0.0,0.0,0.006563981,0.047109005,0.0,0.7509715640000001,3072.304739,0.0,3204.907891,845.2999288999999,96.45959716,7218.972156,3369.0663979999995,110.203673,745.1304265,285.93218010000004,507.897654,605.896019,713.6565403,0.0,149.4462322,700.9435308,7188.172654000001,2948.579573,2.0,27.0,169.0,63.0,161.0,420.0,422.0,0.0,29.23,180.98,65.28,167.84,443.33,8010720.0,294.26,0.0,0.0,2.77,19.88,0.0,316.91,1296512.6,0.0,1352471.13,356716.57,40705.95,3046406.25,1421746.02,46505.95,314445.04,120663.38,214332.81,255688.12,301163.06,0.0,63066.31,295798.17,3033408.86,1244300.58,0.00033914599999999997
Logan,2002,2185.0,0,,,18.9,415.28,51,5994.08,2.0,3.0,490.0,1.0,4.0,0.0,,,,0.1281,0.00403,0.00605,0.9879,0.00202,0.00806,0.48649,0.10811,0.13514,0.27026999999999995,0.35135,21002.25628,0.722261307,0.0,0.0,0.006633165999999999,0.047864322,0.0,0.776758794,3289.6183170000004,0.0,3529.322889,802.0556281,83.26896985,7704.265804000001,3834.926281,124.5366834,778.7510302000001,327.3958291,595.1803014999999,593.5373116000001,752.1609296,0.0,165.3155276,618.2731658,7790.07706,3040.572111,1.0,26.0,156.0,69.0,146.0,397.0,398.0,0.0,24.01,169.65,62.46,159.16,415.28,8358898.0,287.46,0.0,0.0,2.64,19.05,0.0,309.15,1309268.09,0.0,1404670.51,319218.14,33141.05,3066297.79,1526300.66,49565.6,309942.91,130303.54,236881.76,236227.85,299360.05,0.0,65795.58,246072.72,3100450.67,1210147.7,0.000328885
Logan,2003,2119.0,0,,,20.9,398.64,50,6272.0,3.0,3.0,474.0,1.0,4.0,0.0,,,,0.1377,0.00624,0.00624,0.98545,0.0020800000000000003,0.008320000000000001,0.65217,0.19565,0.30435,0.45652,0.47826,23083.40771,0.8584022040000001,0.0,0.0,0.000137741,0.02892562,0.0,0.887465565,3409.3829200000005,0.0,4093.1690909999998,644.8656198,112.2724793,8259.69011,4364.443829,151.0218733,689.7067218,365.5524793,548.7626997000001,768.3137466,821.2541597999999,0.0,243.6090909,317.1900275,8269.854628000001,3323.575702,0.0,26.0,148.0,57.0,132.0,363.0,363.0,0.0,26.88,154.55,68.55,148.66,398.64,8379277.0,311.6,0.0,0.0,0.05,10.5,0.0,322.15,1237606.0,0.0,1485820.38,234086.22,40754.91,2998267.51,1584293.11,54820.94,250363.54,132695.55,199200.86,278897.89,298115.26,0.0,88430.1,115139.98,3001957.23,1206457.98,0.00030088099999999997
Logan,2004,2077.0,0,,,20.6,368.32,49,7077.88,2.0,3.0,458.0,0.0,4.0,0.0,,,,0.1357,0.00432,0.00648,0.9892,0.0,0.00864,0.58621,0.24138,0.24138,0.34483,0.41379,22968.55402,0.876094183,0.0,0.0,0.000304709,0.02800554,0.0,0.904404432,3861.3868979999997,0.0,4169.929058,669.9705817,71.10274238,8772.38928,4383.759668,155.4402216,736.3164266,381.1057341,609.2727701,955.5086981000001,856.8499446000001,0.0,329.1282271,338.42,8745.80169,3368.576731,0.0,30.0,148.0,51.0,132.0,361.0,361.0,0.0,26.59,149.48,57.65,134.6,368.32,8291648.0,316.27,0.0,0.0,0.11,10.11,0.0,326.49,1393960.67,0.0,1505344.39,241859.38,25668.09,3166832.53,1582537.24,56113.92,265810.23,137579.17,219947.47,344938.64,309322.83,0.0,118815.29,122169.62,3157234.41,1216056.2,0.000296861
