County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Planning Region 7,1997,,,,,,24706.49,,3703.65299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,1998,,,,,,24168.8,,4132.9608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,1999,,,,,,23630.95,,4391.60888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,2000,130418.0,402,,,,23287.01,,4755.62058,177.0,195.0,31669.0,3123.0,405.0,0.01123,,,,,0.00494,0.00545,0.88476,0.08725,0.011309999999999999,0.67694,0.23406,0.32165,0.41275,0.58514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,2001,129949.0,360,,,21.2,22548.79,,5099.34198,207.0,198.0,31151.0,3282.0,440.0,0.01038,,,,,0.00594,0.005679999999999999,0.89417,0.09421,0.012629999999999999,0.67308,0.24216999999999997,0.32621,0.4359,0.5441600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,2002,130305.0,387,,,21.0,22180.12,,5387.1857899999995,222.0,216.0,30358.0,3353.0,466.0,0.01187,,,,,0.0065,0.00633,0.88899,0.09819,0.01365,0.63026,0.22341,0.28265999999999997,0.42755,0.54033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,2003,130599.0,392,,,21.2,21745.76,2800,5850.65709,252.0,216.0,29529.0,3355.0,496.0,0.011859999999999999,,,,0.13475,0.007559999999999999,0.00648,0.8853700000000001,0.10059,0.01487,0.6846399999999999,0.21498,0.28165,0.42996,0.55056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,2004,130925.0,372,,,21.3,21356.78,3000,6290.15532,276.0,223.0,28882.0,3445.0,540.0,0.011479999999999999,,,,0.14569000000000001,0.008409999999999999,0.006790000000000001,0.87985,0.10495,0.01645,0.6792,0.21949000000000002,0.2924,0.46585,0.53722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,2005,131857.0,371,,,21.2,21424.85,2844,6496.20961,328.0,230.0,28429.0,3495.0,579.0,0.01163,,,,0.1394,0.0101,0.0070799999999999995,0.8752200000000001,0.1076,0.017830000000000002,0.70526,0.22671999999999998,0.29069,0.44372,0.5336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Region 7,2006,133244.0,328,,,21.3,21204.54,2740,6787.793709999999,354.0,239.0,28241.0,3701.0,617.0,0.01034,,,,0.13548,0.010879999999999999,0.00735,0.8680200000000001,0.11375,0.01896,0.68815,0.21718,0.28083,0.46698,0.54495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
