County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Adams,2015,2393.0,8,9.0,65.0,,267.63,39,11466.84505,12.0,16.0,445.0,7.0,19.0,0.01649,0.02093,0.15116,1.0,0.1304,0.025,0.03333,0.9270799999999999,0.014580000000000001,0.039580000000000004,,,,,,46696.569339999995,0.21740875899999998,0.0,0.04310219,0.010766423,0.035912409,0.0,0.307189781,3630.6715329999997,0.0,9863.861314,542.5510949,0.0,14037.08394,7176.437956000001,395.70072989999994,735.8868613,920.9051095000001,734.8941606000001,1236.437956,585.1897809999999,0.0,838.8649634999999,842.4562043999999,13466.77372,3326.675182,6.0,27.0,127.0,34.0,80.0,268.0,274.0,7.03,20.81,124.91,35.58,79.3,267.63,12794860.0,59.57,0.0,11.81,2.95,9.84,0.0,84.17,994804.0,0.0,2702698.0,148659.0,0.0,3846161.0,1966344.0,108422.0,201633.0,252328.0,201361.0,338784.0,160342.0,0.0,229849.0,230833.0,3689896.0,911509.0,0.00030060000000000004
Barnes,2015,11023.0,56,56.0,444.0,20.0,1478.43,185,10081.26606,90.0,16.0,2264.0,64.0,100.0,0.02295,0.025480000000000003,0.20199999999999999,0.96491,0.1275,0.03698,0.00657,0.93016,0.026289999999999997,0.04108,0.61,0.16,0.37,0.36,0.35,55283.631839999995,0.131269285,0.000925666,0.008415147,0.002103787,0.013197756000000001,0.004908836,0.160820477,3981.607293,0.10168302900000001,9081.857644,405.1107994,0.0,13468.67672,6345.888499000001,622.3934081,735.7054698,539.5813463999999,1097.772791,1110.5848529999998,819.2692847,0.0,401.8218794,1468.352034,13141.36957,3015.217391,2.0,115.0,625.0,229.0,455.0,1424.0,1426.0,0.0,99.93,672.45,230.96,475.09,1478.43,78834459.0,187.19,1.32,12.0,3.0,18.82,7.0,229.33,5677772.0,145.0,12950729.0,577688.0,0.0,19206333.0,9049237.0,887533.0,1049116.0,769443.0,1565424.0,1583694.0,1168278.0,0.0,572998.0,2093870.0,18739593.0,4299700.0,0.00033165099999999997
Benson,2015,6815.0,46,463.0,948.0,17.7,1065.07,176,13817.28781,27.0,3.0,549.0,1841.0,132.0,0.01888,0.20043,0.41039,0.58095,0.1696,0.01116,0.00124,0.22685999999999998,0.76074,0.05455,0.36,0.11,0.23,0.24,0.29,28641.207039999998,0.373567839,0.12238191,0.012060302,0.003015075,0.019246231000000003,0.010281407,0.540552764,2495.81005,0.0,9875.683417,6878.556784,39.81005025,19289.86131,9092.00201,515.7276382,1219.572864,1040.150754,1661.59196,1261.287437,1462.962814,5.27638191,374.6643216,1332.19397,17965.42814,4363.801004999999,15.0,68.0,420.0,120.0,372.0,980.0,995.0,27.02,76.27,455.4,131.76,374.62,1065.07,28498001.0,371.7,121.77,12.0,3.0,19.15,10.23,537.85,2483331.0,0.0,9826305.0,6844164.0,39611.0,19193412.0,9046542.0,513149.0,1213475.0,1034950.0,1653284.0,1254981.0,1455648.0,5250.0,372791.0,1325533.0,17875601.0,4341982.0,0.000229158
Billings,2015,948.0,0,3.0,14.0,,71.57,LNE,26050.7601,1.0,2.0,185.0,0.0,7.0,0.0,0.01829,0.08537,,,0.00532,0.01064,0.9840399999999999,0.0,0.03723,,,,,,209172.0,0.62275,0.0,0.0,0.0,0.0,0.0,0.62275,10913.2125,4460.625,8755.8375,2821.8,0.0,26951.4625,11144.975,1372.35,2340.225,1478.1,2971.95,3998.05,3696.8875,1734.45,153.25,4015.1125,32905.3625,15077.2375,0.0,11.0,53.0,16.0,0.0,80.0,80.0,0.0,7.47,53.1,11.0,0.0,71.57,16733760.0,49.82,0.0,0.0,0.0,0.0,0.0,49.82,873057.0,356850.0,700467.0,225744.0,0.0,2156117.0,891598.0,109788.0,187218.0,118248.0,237756.0,319844.0,295751.0,138756.0,12260.0,321209.0,2632429.0,1206179.0,6.63e-05
Bottineau,2015,6729.0,6,17.0,175.0,20.2,886.01,98,11220.66655,40.0,8.0,1380.0,79.0,59.0,0.00404,0.01267,0.1304,0.89231,0.1149,0.026539999999999998,0.0053100000000000005,0.9157299999999999,0.05242,0.03915,0.54,0.28,0.35,0.4,0.42,56099.41735,0.20391559199999998,0.0,0.0035169990000000003,0.0,0.033692849,0.047069168,0.288194607,3520.771395,338.6940211,8733.589683,581.0539272999999,97.15709261,13271.26729,7338.667057,363.69753810000003,853.3974208999999,585.9320047,1142.253224,1370.9449,921.3868699,0.0,501.89097300000003,761.1559202999999,13839.32591,4256.943728,9.0,55.0,416.0,124.0,249.0,844.0,853.0,10.33,88.56,414.28,113.66,259.18,886.01,47852803.0,173.94,0.0,3.0,0.0,28.74,40.15,245.83,3003218.0,288906.0,7449752.0,495639.0,82875.0,11320391.0,6259883.0,310234.0,727948.0,499800.0,974342.0,1169416.0,785943.0,0.0,428113.0,649266.0,11804945.0,3631173.0,0.00023491
Bowman,2015,3280.0,17,14.0,146.0,21.2,587.17,69,12064.71645,10.0,4.0,793.0,44.0,93.0,0.02053,0.018019999999999998,0.1879,0.96078,0.1118,0.01175,0.0047,0.93184,0.0517,0.10928,0.71,0.29,0.35,0.44,0.5,51902.421389999996,0.213808752,0.0,0.0,0.00452188,0.030858995,0.0,0.249189627,3550.6320909999995,923.7990276,9972.463533,393.8622366,0.0,14840.75689,7176.670989,150.84278769999997,999.095624,744.0145867000001,1026.066451,1384.7358179999999,767.9546191000001,0.0,734.4019449,403.21393839999996,13386.99514,5451.388979,13.0,58.0,289.0,84.0,173.0,604.0,617.0,6.1,40.32,281.38,91.58,167.79,587.17,32023794.0,131.92,0.0,0.0,2.79,19.04,0.0,153.75,2190740.0,569984.0,6153010.0,243013.0,0.0,9156747.0,4428006.0,93070.0,616442.0,459057.0,633083.0,854382.0,473828.0,0.0,453126.0,248783.0,8259776.0,3363507.0,0.000183439
Burke,2015,2343.0,LNE,29.0,89.0,21.5,442.37,57,12012.783459999999,9.0,5.0,577.0,15.0,31.0,,0.05043,0.15478,,0.1496,0.01485,0.00825,0.95215,0.02475,0.051160000000000004,0.63,0.44,0.56,0.5,0.5,74236.55526000001,0.434815789,0.0,0.030473683999999997,0.020605263000000002,0.075421053,0.053315789,0.614631579,5129.863158,1146.492105,10803.28947,296.05526319999996,65.06052632,17440.76053,8327.823684,300.3473684,1643.536842,330.8973684,2029.0447370000002,1352.810526,931.8894736999999,1136.402632,355.88157889999997,543.2578947000001,16951.89211,6357.471053,2.0,37.0,178.0,52.0,111.0,378.0,380.0,11.27,59.89,157.61,68.32,145.28,442.37,28209891.0,165.23,0.0,11.58,7.83,28.66,20.26,233.56,1949348.0,435667.0,4105250.0,112501.0,24723.0,6627489.0,3164573.0,114132.0,624544.0,125741.0,771037.0,514068.0,354118.0,431833.0,135235.0,206438.0,6441719.0,2415839.0,0.000157295
Burleigh,2015,93156.0,194,645.0,4297.0,21.4,12882.63,1469,10197.607109999999,586.0,247.0,19840.0,1795.0,877.0,0.00895,0.03221,0.21461,0.85235,0.1141,0.026080000000000002,0.01099,0.88303,0.07989,0.03903,0.7,0.3,0.43,0.5,0.45,33560.073580000004,0.030106123999999998,0.004165553,0.000940964,0.000235044,0.001209811,0.0036451540000000003,0.040302648999999996,2280.3210440000003,0.0,8244.202814,852.8340538999998,99.54028771,11476.89828,6408.237245,924.9375049,481.0029086,571.3093309999999,962.9297224999999,978.758824,277.8206902,591.9053534,335.6943637,228.7435736,11761.33952,1293.0563630000001,146.0,1013.0,6112.0,1851.0,3599.0,12575.0,12721.0,130.07,1025.11,6272.57,1799.48,3655.4,12882.63,426917696.0,382.98,52.99,11.97,2.99,15.39,46.37,512.69,29007964.0,0.0,104874504.0,10848902.0,1266252.0,145997623.0,81519186.0,11766130.0,6118838.0,7267626.0,12249429.0,12450791.0,3534157.0,7529628.0,4270368.0,2909847.0,149616000.0,16448970.0,0.0007733610000000001
Cass,2015,170923.0,355,953.0,8858.0,20.9,22998.34,2849,10720.78405,3379.0,1373.0,34340.0,1068.0,1657.0,0.00902,0.02671,0.24823,0.87659,0.1218,0.08413999999999999,0.03419,0.85508,0.02659,0.041260000000000005,0.64,0.28,0.43,0.47,0.43,29353.290060000003,0.024620985,0.000525482,0.001063383,0.00038458199999999996,0.003255246,0.005184582,0.035034261000000004,2874.075332,0.0,8366.769079000002,593.5001712999999,91.50783726,11925.85233,6595.333919,902.1950749,740.8230835,693.5429978999999,564.5211991,1062.908608,425.9585011,91.87379015,69.33905782,791.452591,11937.94887,2139.465996,260.0,1997.0,11289.0,3298.0,6506.0,23090.0,23350.0,246.9,2012.96,11021.12,3240.51,6476.85,22998.34,685399323.0,574.9,12.27,24.83,8.98,76.01,121.06,818.05,67109659.0,0.0,195364058.0,13858229.0,2136708.0,278468652.0,154001047.0,21066255.0,17298219.0,16194229.0,13181570.0,24818916.0,9946131.0,2145253.0,1619067.0,18480418.0,278751106.0,49956531.0,0.00046740599999999996
Cavalier,2015,3816.0,0,12.0,90.0,18.1,449.57,67,12576.33734,19.0,6.0,785.0,20.0,15.0,0.0,0.0154,0.11553,0.77273,0.1379,0.02289,0.0072299999999999994,0.94578,0.0241,0.01807,0.32,0.08,0.21,0.21,0.21,90268.70041,0.24196281,0.0,0.008264463,0.0,0.01446281,0.0,0.264690083,4992.076446,0.0,8165.305785,452.1363636,33.30165289,13642.82025,6809.969008,676.6177686000001,701.5413222999999,656.5330579,1035.126033,1801.915289,1065.394628,98.14876033,491.4421488,746.231405,14082.91736,4339.13843,12.0,43.0,196.0,80.0,153.0,472.0,484.0,8.38,33.57,186.39,66.24,154.99,449.57,43690051.0,117.11,0.0,4.0,0.0,7.0,0.0,128.11,2416165.0,0.0,3952008.0,218834.0,16118.0,6603125.0,3296025.0,327483.0,339546.0,317762.0,501001.0,872127.0,515651.0,47504.0,237858.0,361176.0,6816132.0,2100143.0,0.00023046
