ISO_Code_3,Year,Summary,Size of Government,Legal System and Property Rights,Sound Money,Freedom to Trade Internationally,Regulation
ALB,2020,7.64,7.8170773017653925,5.260351197439963,9.78826853976674,8.22249900037133,7.1129579713411
DZA,2020,5.12,4.409942609609233,4.1317598065749594,7.63028733308825,3.6395070466971493,5.778952852114344
AGO,2020,5.91,8.133385169326585,3.705161183200122,6.0879961946122645,5.373190138553173,6.2275453596566415
ARG,2020,4.87,6.483767854280677,4.796453856217683,4.516017683088538,3.086906776460489,5.490538424517783
ARM,2020,7.84,7.975291690518171,6.236215111700542,9.553008775759725,7.692708173158029,7.756332812922277
AUS,2020,8.04,6.091321331257299,8.33675490604368,9.557660020996662,7.918387102403524,8.27296745621239
AUT,2020,7.56,4.929120051290271,8.38881065304966,9.181003701889491,8.094356204482168,7.2017051796164715
AZE,2020,6.21,4.550381391248598,5.243686635511766,7.268721876973309,7.012122161491378,6.959071302136365
BHS,2020,7.02,8.646435726879307,6.225553649314037,6.804485845984898,5.21501380437625,8.232493646884583
BHR,2020,7.47,7.081093014058482,4.918487273941343,9.429684016621296,8.261120769254083,7.682671254453435
BGD,2020,5.89,8.18703139239347,2.90077906646428,6.898567960714425,4.923874589328761,6.5568881250606665
BRB,2020,7.01,7.324462590166794,5.912524803553567,8.184046578609905,6.01896091908373,7.624462786635191
BLR,2020,6.83,5.2364368288187215,5.473420045433848,9.163655739262982,7.302753100377965,6.9804770374325065
BEL,2020,7.37,4.324856146818401,7.515024895989021,9.230280175133323,8.031709988168066,7.750047240863172
BLZ,2020,6.23,6.054222556062548,4.9904669733583695,7.0732655898259695,5.535191483983214,7.478709630835063
BEN,2020,6.51,7.712975599480023,4.769225730446861,7.110204323642563,5.693139810668438,7.240734545267787
BTN,2020,6.49,6.310697673619857,6.02540858342781,6.49290458305846,6.025401645816722,7.604750652361826
BOL,2020,6.15,5.954949511139605,3.8797524709230387,9.524986361676923,6.1825743071069095,5.228703801990334
BIH,2020,6.72,6.637189029835367,4.268155385826858,8.323335682640803,7.245679617017337,7.110066943883237
BWA,2020,7.35,6.622443557804592,6.102966023013549,9.306726585996117,7.038050107715284,7.703705159111782
BRA,2020,6.33,6.609372415451195,5.161686998759791,9.246107252495456,6.166373667546179,4.462561399867339
BRN,2020,7.21,6.666666666666667,4.996194222055383,8.97625859137703,6.608599351919379,8.782159033410453
BGR,2020,7.69,7.1908739266823885,5.960526838800446,9.521858392621883,7.9117489156547744,7.885563498926593
