ST,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY
T01,301034,,81518,,901872,,682174,,2279103,,0,,0,,0,,2100,,81928,,0,,0,,59134,,7170,,0,,79026,,503105,,46643,,37280,,630809,,3798,,2264306,,712463,,23979,,28970,,220327,,2264,,213293,,387623,,2998,,57665,,0,,0,,1901,,0,,0,,21569,,58681,,1083,,9935,,0,,0,,0,,0,,810051,,22153,,1741691,,4627,,124513,,278812
T09,2287288,,0,,5741914,,2807943,,31972874,,2312731,,3545734,,0,,21518100,,5796653,,2619595,,1347327,,7935417,R,5738829,,1840862,,2264747,,2875836,,3459383,,1060557,,3748933,,4098089,,8225599,,4550838,,3135390,,3228274,,0,,1534134,,3077433,,0,,8915515,,1922922,,11294737,,5269929,,530078,,7865674,,2096220,,0,,8873309,,846870,,3051608,,732438,,6832948,,21630136,,1964119,,338941,,3571486,,11344622,,1109822,,4268068,,981198
T10,164827,,36567,,64556,,42843,,327260,,35472,,47016,,14735,,609185,,165640,,45620,,7562,,158067,,44707,,14449,,106299,,107507,,54993,,17404,,28966,,71935,,138779,,72563,,42092,,31173,,27166,,26254,,40401,,12508,,104104,,41230,,205253,,260382,,6916,,92696,,86433,,15543,,277427,,11495,,150065,,13808,,116189,,784069,,39697,,19812,,175654,,266939,,9465,,54789,,1633
T11,86,,9456,,569,,6681,,0,,108187,,451789,,0,,131978,,0,,0,,0,,733278,,817631,,294467,,500,,220,,742831,,20391,,14783,,3494,,129684,,43219,,194037,,345771,,63150,,5659,,1047800,,236,,412986,,59742,,951,,14267,,9196,,0,,10988,,50,,791573,,0,,37957,,8334,,0,,36318,,0,,0,,72,,43,,0,,388,,0
T12,293955,,54698,,470297,,147434,,2172936,,190750,,199297,,93974,,714400,,348218,,99158,,83213,,316282,,188794,,111647,,133913,,151809,,478288,,97242,,414233,,396196,,223198,,347045,,193872,,283960,,65419,,37250,,256814,,85820,,542920,,144256,,1137058,,506003,,37426,,443861,,146982,,50034,,698200,,52553,,125696,,61801,,401997,,1452882,,132454,,57267,,396858,,415028,,114156,,172073,,26040
T13,545726,,41985,,731345,,471214,,3421457,,637193,,489839,,117746,,2289166,,1011202,,94080,,239881,,1334664,,856301,,442183,,431755,,617826,,604377,,229849,,808964,,672654,,994937,,648565,,442119,,736303,,205819,,294149,,311953,,137206,,563266,,250418,,1683167,,1582400,,143389,,1842595,,384814,,413521,,2102168,,126718,,534252,,129619,,872892,,3103170,,377261,,91535,,920063,,1169900,,404221,,1001339,,75013
T14,2668,,0,,430,,5282,,34949,,2747,,8308,,143,,19227,,0,,0,,1650,,8360,,4226,,4102,,1948,,5670,,4474,,3000,,1806,,3496,,8188,,967,,0,,0,,73,,234,,0,,2916,,0,,660,,30875,,0,,548,,10714,,1805,,3673,,23230,,2806,,0,,325,,0,,11906,,0,,0,,0,,3221,,2870,,908,,177
T15,782444,,4091,,38010,,0,,754799,,11810,,241913,,49805,,3159400,,0,,127481,,1599,,1869486,,214755,,0,,851,,56906,,13965,,32685,,133513,,24148,,21317,,47,,1954,,0,,48843,,56592,,20849,,78723,,930457,,35777,,763658,,388780,,34438,,1141926,,30499,,87721,,1354940,,100332,,26458,,3235,,9627,,1015882,,30619,,10532,,150237,,468017,,158141,,327060,,3308
T16,145020,,73451,,407420,,147482,,1037457,,220699,,334907,,125337,,443732,,233158,,89265,,54781,,613651,,519871,,252857,,118253,,178558,,145578,,150499,,376112,,436942,,1076087,,419127,,58327,,109365,,94020,,75479,,134617,,169789,,789351,,48235,,973489,,248159,,24127,,950940,,252374,,254955,,1025822,,113998,,31073,,63903,,272433,,1446895,,62246,,59247,,168118,,413488,,114669,,485470,,27362
T19,211094,,56785,,138924,,149338,,85992,,0,,494100,,82775,,534932,,133974,,226980,,7281,,1914970,,10895,,0,,32955,,724185,,35001,,93679,,751276,,500038,,1102583,,1350692,,161652,,35785,,39912,,5690,,52212,,305749,,261002,,159017,,4060858,,664866,,87288,,396989,,23687,,144237,,159344,,126343,,322054,,58789,,106296,,4886047,,37638,,277927,,625544,,319410,,353547,,6967,,1130
