ST,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY,Unnamed: 100,Unnamed: 101
T01,316354,R,118870,,774613,,928627,,3353597,,0,,0,,0,,700,,86228,,0,,0,,50962,,0,R,0,,74745,,516170,,49426,,45713,,774109,,4549,,2065215,R,765742,,24396,,29538,,236830,,1168,,363218,,393796,,3908,,59624,,0,,0,,2125,,0,,0,,25092,,55363,,2046,,9986,R,0,,0,,0,,0,,941894,,31181,,1822278,,5834,,142653,,377209,,
T09,2097434,,0,,4939718,,2615290,,33552099,R,2039414,,3145579,,0,,17535295,R,4864691,,2316434,,1126671,,6859971,,5941044,,2121842,,2150270,,2794057,,2579946,,989645,,3753778,,4625682,,9012729,R,4426608,,2849099,,2919117,,0,,1442951,R,2559489,,0,,7898165,,1685302,,10568466,,5856993,,603740,,7253496,,1968309,,0,,8029797,,798481,,2724641,R,742363,,6130877,,19804177,R,1638906,,311140,,3543210,,9607285,,1156513,,3944260,,789413,,
T10,167285,,38939,,65418,,45315,,311242,,36209,,48197,,16446,,590423,,169019,,44074,,7882,,230394,,41563,,14488,,111405,,111074,,55331,,16864,,29874,,71887,,140586,R,75051,,41208,,32785,,31920,,27002,,39380,,12865,,126367,,39337,,224621,,294532,,7368,,93643,,90066,,16252,,297638,,11924,,148942,,14766,,117516,,812904,R,41260,,20552,,182381,,282555,,8410,,53792,,1644,,
T11,115,,8920,,531,,8787,,0,,98567,,420224,,0,,148604,,0,,0,,0,,514533,,873166,,279413,,454,,187,,667151,,28173,,23446,,3190,,101815,R,34382,,155123,,390931,,52414,,6691,,864252,,147,,296125,,58654,,690,,15678,,8387,,0,,13908,,187,,1231127,,0,,36612,R,9032,,0,,37497,R,0,,0,,112,,0,,31726,,333,,0,,
T12,259169,,51374,,437975,,144237,,2180786,,189786,,203955,,69568,,667800,,274367,,108646,,72602,,344144,,176426,,88571,,138768,,125063,,532643,,105811,,391569,,310589,,257510,R,335839,,194020,,270053,,65048,,45463,,234253,,75172,,509305,,122703,,1430125,,507038,,35894,,432925,,165579,,72876,,778175,,62148,,144629,R,63285,,555163,,1301104,R,103119,,55825,,414165,,405923,,143912,,146886,,25617,,
T13,558476,,28834,,801849,,466482,,3163694,,602347,,498177,,112889,,2266814,,854360,,86370,,230377,,1339228,,759959,,437763,,424703,,662694,,587995,,241687,,722597,,654649,,967728,R,832291,,393363,,721917,,204390,,298805,,292804,,147805,,535281,,227633,,1613229,,1551660,,151050,,1727242,,431151,,403284,,2020099,,123805,,521689,R,125223,,824795,,3053538,R,351449,,99278,,882919,,1196688,,390916,,972979,,66777,,
T14,2104,,0,,285,,4725,,15541,,528,,7062,,116,,11460,,0,,0,,899,,7034,,4546,,3913,,13,,0,,5268,,2447,,1541,,2098,,6239,R,637,,0,,0,,86,,149,,0,,1591,,0,,564,,22472,,0,,291,,8370,,1319,,3014,,17460,,1476,,0,,239,,0,,10245,R,0,,0,,0,,2049,,1063,,306,,153,,
T15,812367,,4085,,22541,,0,,745467,,12536,,279575,,58263,,3079200,,0,,157661,,2138,,1794267,R,198988,,0,,385,,66787,,8828,,28816,,124075,,23480,,27698,R,58,,1970,,0,,50622,,57806,,23025,,85201,,938945,,28236,,1083893,,398661,,34002,,1144976,,31899,,75745,,1292373,,95318,,37304,R,3514,,10328,,639831,R,28817,,12363,,158487,,448251,,169160,,350580,,4254,,
T16,137401,,70147,,338473,,250841,,922986,,203064,,385636,,131712,,389267,,227180,,105523,,48724,,581817,,484686,,232573,,106181,,299541,,135927,,149067,,405915,,579854,,1007873,R,428767,,156558,,106163,,88034,,52487,,110345,,237988,,759742,,37926,,1351332,,273946,,23875,,886875,,248472,,239254,,1090892,,137501,,35257,,67747,,290438,,1465111,R,58676,,70058,,175581,,426265,,114128,,704156,,26375,,
T19,411129,,60706,,110436,,168957,,41371,,322298,,380290,,73920,,550604,,126449,,225672,,20314,,1261248,R,10072,,7008,,30495,,625343,,269708,,104404,,804886,,542423,,912993,R,1749270,,283266,,87633,R,39499,,22178,R,151446,,338628,,243522,,104208,,4809656,,535083,,84171,,697821,,24962,,189327,,707337,,174328,,321369,R,55108,,98679,,4083631,R,185460,,276120,,514797,,480003,,325195,,513547,,1248,,
