ST,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY,Unnamed: 100
T01,321530,,215407,,754428,,1008707,,2079878,,0,,0,,0,,140,,68951,,0,,0,,65106,,6336,,0,,74413,,529567,,50937,,38360,,755937,,4441,,1911188,,807700,,23982,,29217,R,257189,,78,,234522,,380682,,5650,,81190,R,0,,0,,2398,,0,,0,,15710,,38452,,2095,,8811,,0,,0,,0,,0,,924451,R,34297,,1897095,,6039,,155571,,316734,
T09,2274658,,0,,6210756,,2809416,,31253629,,2302333,,3758881,R,0,,19403788,,5303524,,2697951,,1224656,,8034466,,6631954,R,2523266,,2825880,,3052236,,2815919,,1064342,,4076578,,5079105,,8933937,,4942140,,3072243,,3103410,,0,,1570450,,3433958,,0,,8099549,,2032518,,11904357,,5573658,,1122783,,8277130,,2415964,,0,,9166842,,848547,,2926177,,838240,,5933356,R,29002557,R,1857035,,342085,,3487343,,10614137,,1277328,,4288739,,747804,
T10,173251,,40230,,68379,,48803,,346000,,38817,,60595,,17654,,527016,,175051,,48854,,8099,,279270,,44155,,14727,,118202,,118253,,56869,,17352,,31010,,77861,,149629,,79389,,42183,,34341,,34019,,28472,,41695,,9723,,135304,,44676,R,238932,,322970,,8463,,98113,,103831,,17322,,324024,,12871,,153951,,15449,,133055,,941461,R,45823,,22403,,198107,,349164,,17204,,56278,,1742,
T11,53,,7712,,521,,27640,,0,,93223,,380376,,0,,157108,,0,,0,,0,,546819,,829177,R,294886,,389,,164,,671080,,28640,,27504,,3082,,115753,,42182,,152077,,390779,,53596,,3082,,910839,,431,,239324,,69557,R,769,,13855,,6027,,19760,,18946,,48,,1499664,,0,,38848,,9200,,0,,29296,R,0,,0,,81,,0,,78121,,260,,0,
T12,278242,,61684,,426497,,156828,,2416073,,197914,,205587,R,91763,,704760,,309193,,122401,,69722,,369117,,207419,R,101406,,166405,,133070,,357043,,108605,,428024,,342201,,290385,,360794,,189373,,270169,,70779,,46482,,237861,,73808,,532307,,147494,R,1339033,,479756,,42819,,477982,,228915,,100821,,790781,,93319,,144072,,67000,,639222,,1442640,R,104443,,59000,,390950,,430052,,144786,,165758,,26056,
T13,541499,,40980,,896983,,467055,,5544530,,630573,,487104,R,112908,,2273685,,1019300,,93349,,236769,,1290266,,814818,,440161,,435049,,790229,,575063,,242124,,733410,,661974,R,951176,,849218,,417048,,708997,,211992,,299764,,291400,,143794,,539714,,234986,R,1604727,,1861838,,204573,,1684209,,444636,,533420,,2073677,,80911,,531615,,136431,,837787,,3178419,R,372212,,108177,,866243,,1177987,,387040,,985001,,66443,
T14,1841,,0,,254,,3526,,15838,,595,,6876,,96,,9360,,0,,0,,1269,,7212,,3075,,4054,,0,,3601,,5037,,2379,,1267,,1635,,4985,,577,,0,,0,,15,,267,,0,,483,,0,,851,R,22361,,0,,581,,7122,,1388,,1132,,14820,,1587,,0,,634,,0,,7142,,0,,0,,0,,1734,,2337,,0,,68,
T15,736533,,4114,,21339,,0,,766361,,11974,,331015,R,59694,,3162560,,0,,150528,,2983,,1750459,,224659,R,0,,317,,64919,,12796,,28548,,127106,,23925,,27865,,49,,1894,,0,,49740,,55658,,22717,,83884,,958425,,30342,R,942585,,381934,R,40289,,1051730,,39353,,94132,,1336501,,101408,,22045,,3676,,9318,,768762,R,25824,,13267,,150759,,460025,,155560,,388205,,4443,
T16,126151,,67382,,319467,,246976,,895677,,203399,,418231,,120850,,381485,,227146,,121971,,48461,,606422,,465200,,225499,,103639,,276544,,133194,,139729,,411427,,573759,,964748,,421545,,157433,,104918,,87148,,67585,,102644,,215161,,792066,,85493,R,1631995,,294754,,28240,,843180,,292973,,255652,,1118961,,132132,,26247,,60372,,279017,,1463793,R,123988,,80230,,192441,,470765,,109618,,653275,,25984,
T19,494129,,26330,,121928,,222588,,103080,,611817,,1109299,R,88079,,647434,,357653,,346598,,72656,,1411657,,705093,R,28918,,35714,,708873,R,261853,,117096,,1337189,,549350,,1216069,,2443260,,364418,,152326,,37444,,22013,,190848,,347753,,712863,,120781,R,5184568,,611677,,140754,,664910,,162934,,396471,,826363,,203772,,331671,,66565,,551434,,4142050,R,192803,,343141,,574653,,667579,,387592,,470506,,1300,
T20,4229,,1864,,4918,,4170,,53169,,6221,,8378,,1465,,8268,,2357,,0,,1399,,11845,,12216,R,14210,,4530,,5917,,0,,4827,,1201,,3003,,16424,,2030,,2918,,4965,,2030,,1405,,0,,4011,,3960,,0,,59079,,16026,,325,,39735,,920,,3577,,16304,,63,,9086,,811,,1320,,68642,R,1936,,391,,12038,,33912,,1337,,1707,,0,
T21,0,,1,,0,,450,,15850,,837,,212,,402,,12000,,785,,0,,321,,74255,,8098,R,19239,,16,,272,,0,,701,,26,,436,,0,,1130,,11753,,1803,,4409,,777,,95410,,222,,54319,,392,,40,,0,,814,,120505,,148684,,2739,,24206,,119,,1953,,7568,,166,,19917,R,0,,35,,93,,6116,,3745,,619,,0,
T22,130843,,0,,10518,,24690,,53003,,15690,,27947,,790579,,275849,,44089,,1539,,1963,,321319,,7113,,34710,,21180,,99585,,105495,,8541,,96412,,25968,,21662,,7076,,146255,,63338,,3222,,26330,,66708,,37582,,214348,,21647,R,52469,,523265,R,0,,1681619,,51032,,19425,,656221,,4631,,100686,,4213,,736743,,105633,R,547,,2023,,57209,,30083,,4323,,18979,,12720,
T23,20688,,27316,,29258,,21696,,98840,,67629,,4714,,2736,,15379,,23840,,465,,33590,,41177,,17733,R,29286,,24258,,26595,,28948,,15904,,15858,,5921,,48638,,55638,,15462,,32489,,44661,,14459,,9810,,10031,,13238,,25827,R,56286,,17065,,13301,,39096,,22082,,46149,,73710,,1666,,18176,,29352,,32592,,102661,R,28720,,6502,,27491,,41826,,104,,69824,,35612,
T24,201875,,58196,,169370,,154095,,3529137,,455744,,209109,,49601,,1305028,,308342,,206164,,127813,,1620595,,222255,R,520946,,184515,,188714,,132032,,99135,,443956,,376552,,912032,,631436,,134477,,267641,,142901,,123190,,160840,,94063,,605628,,177487,R,1418700,,569253,,105450,,714980,,665123,,509049,,837990,,64889,,205110,,64710,,262243,,1971308,R,158169,,64294,,431651,,471016,,3261,,463896,,65733,
T25,21679,,0,,29898,,17604,,306882,,30986,,43522,,5470,,350141,,46986,,487,,11463,,104581,,228468,R,8062,,21500,,15738,,12160,,10660,,26244,,98899,,55946,,45095,,40409,,17686,,8950,,5216,,22036,,12803,,52663,,3701,R,132129,,123344,,5071,,81026,,15066,,29298,,62348,,3980,,9270,,3792,,46494,,130838,,14987,,7963,,60282,,69745,,104388,,41295,,2158,
T27,14367,,604,,16299,,10015,,289461,,12349,,676,,0,,27321,,0,,17810,,49085,,17936,,0,,11711,,4581,,0,,8989,,0,,0,,0,,23773,,137,,8826,,19495,,10,,0,,0,,6980,,7094,,130,R,20347,,0,,6,,25436,,4,,16397,,66778,,0,,0,,0,,6967,,18509,,0,,0,,0,,18862,,395,,80976,,0,
T28,123994,,38936,,128759,,125492,,4293352,,38705,,118782,,374732,,203720,,73556,,31168,,69894,,390975,,43865,,111672,,52267,,122373,,110325,,104561,,145252,,258897,,160872,,373790,,91660,,134353,,99751,,11658,,225292,,96048,,472006,,45791,R,186278,,216751,,62880,,861301,,108721,,301940,,890117,,47168,,128758,,124647,,296144,,618514,R,47700,,18103,,183905,,253245,,12994,,395278,,23822,
T29,1,,8138,,4358,,800,,18347,,940,,3056,,5399,,7670,,5663,,1162,,3915,,19613,,79716,R,1791,,2564,,4599,,4263,,8075,,1929,,130006,,175639,,70402,,66223,,21800,,9637,,0,,3733,,659,,2185,,0,,1476,,10313,R,0,,16785,,21349,,6300,,18819,,6693,,15549,R,15479,,8638,,171413,R,3620,,1850,,4518,,70014,,7123,,5168,,0,
T40,3017437,,0,,3093904,,2401902,,55024435,,4875627,,7371189,,1126014,,0,,8142371,,1540746,,1213335,,15512310,,4765467,R,3029709,,2891743,,3512075,,2474606,,1441926,,7116605,,11954838,R,6921033,,7988084,,1501267,,5131686,,900180,,1838344,,0,,81557,,11128418,,1126460,R,38771968,,10383796,,432527,,9029349,,2774376,,5825797,,10102113,,1068466,,3096834,,0,,182251,,0,,2466495,,598450,,10216148,,0,,1755746,,6762399,,0,
T41,413253,,663144,,647809,,404083,,7949000,,492224,,625320,R,262378,,2003490,,590676,,80256,,188589,,3494539,,794508,,425776,,317578,,575164,,290389,,232118,,880356,,2001780,,804037,,1066022,,395679,,301681,,132361,,234296,,0,,521309,,1929133,,276707,R,4567889,,1220072,,215622,,117446,,446009,,433126,,1837374,,136362,,252904,,59837,,1115383,,0,,258578,,96579,,838790,,0,,192385,,934103,,0,
