,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
POP,0,4089,570,3750,2372,30380,3377,3291,680,13277,6623,1135,1039,11543,5610,2795,2495,3713,4252,1235,4860,5996,9368,4432,2592,5158,808,1593,1284,1105,7760,1548,18058,6737,635,10939,3175,2922,11961,1004,3560,703,4953,17349,1770,567,6286,5018,1801,4955,460
I99,5118492,68254,13074,67001,37312,667318,71292,89043,14579,265418,125116,25912,17775,252938,104022,50953,48341,61698,67831,22460,114075,141578,185665,91654,36744,98441,13469,30775,29210,24229,204091,24550,437119,121880,10859,208560,52807,55615,247115,20256,58262,12286,88553,326230,28078,10742,133452,109570,28086,95434,8770
T01,7796392,101135,66918,327279,4868,2931667,8618,12,0,666360,31726,0,109,222675,3041,0,34798,354996,38639,42311,207548,147,313927,8155,22811,13307,234637,2723,44878,394,11145,27865,0,120592,2134,13136,0,93,236541,9685,12503,0,0,0,0,9677,15318,1500147,2555,68876,82446
T09,114891790,1190189,0,2255743,1118773,16671614,998033,2056219,0,9295283,2979769,1302919,488713,4370488,2300233,1251900,1191466,1465634,1332435,641580,1718152,2124164,3467303,2374195,1414346,2016876,0,694880,1033952,0,3651123,1319095,6283883,2353722,248598,3970741,1014159,0,4828823,413000,1556680,306253,2853022,9142262,894127,161310,1665826,5304518,714369,2260563,194857
T10,3574903,110038,11899,40850,27645,291715,23527,40057,11510,539082,112672,39349,4478,59476,31607,12471,50157,55550,48870,33902,23713,61531,123225,54864,34501,23562,15368,15786,12546,10984,77362,17593,229233,156090,5246,69487,56053,9973,148545,9155,111066,9456,63774,393249,17350,13878,97164,120339,7485,40341,1129
T11,993356,94,1366,913,0,0,1161,50118,0,2202,0,0,0,92602,0,9168,913,284,2123,0,5097,8901,0,57300,42590,0,0,9844,391474,1868,259843,966,741,0,7432,0,6173,8,397,78,23870,0,0,15289,0,0,30,13,35,463,0
T12,7953769,179748,26341,130742,59973,1184991,93688,155179,40260,337554,179668,69144,39224,157664,129832,96506,89740,221754,225641,39603,147500,280453,188196,139600,114249,201892,32536,41101,70725,35746,220086,31297,620012,201834,19798,291515,118971,59401,398582,32637,64277,29901,157181,458995,55737,17005,180308,120233,59457,94432,12860
T13,23568474,435568,40743,387235,305346,2556060,379729,397807,75873,1185515,468366,73973,140500,1063547,572488,337949,264032,374778,471012,146446,559104,557180,783426,469258,308468,443822,116296,222383,156406,96503,419333,200361,525250,869244,78442,1121757,355362,312233,742193,99049,295263,83251,642787,2085524,185541,55746,651148,608375,220718,590333,36751
T14,553762,5656,0,8080,17415,105868,8479,40309,203,105606,0,0,596,45098,0,3873,7804,14337,7012,846,2863,15666,18904,913,0,0,148,855,0,6316,6876,1350,71358,0,0,13749,4073,4194,10872,9084,0,453,0,0,0,140,0,4713,105,9698,250
T15,8264619,356707,2179,114636,0,42671,5368,145844,22690,447827,113,86229,1479,748661,3787,0,172,0,20202,0,128908,0,0,177,0,1507,11844,2377,1033,32131,1693091,9729,1695998,257386,13109,669489,13779,6027,637999,62017,38379,757,5431,225559,0,9996,96196,194175,191193,267767,0
T16,6231502,67574,16711,53647,77646,682264,61291,118110,20080,447717,84884,32239,21479,318144,110000,94680,53485,16804,84796,49082,140325,190185,243669,168177,52797,79183,14007,38616,48698,40950,255868,19298,552016,42881,12660,248492,70956,86170,330065,34690,31394,13659,80208,616837,25766,13803,14953,143648,32798,172632,5468
T19,8767837,169225,0,0,42229,39501,11152,93229,27502,359602,30000,80317,500,470173,270,0,10471,245713,30068,0,328871,59291,12913,305789,0,0,9944,15222,92731,448857,190932,65666,1331442,330512,64914,18462,8120,0,692852,103224,80476,26824,743614,1565795,0,102628,307331,142172,109303,0,0
T20,274965,2383,1772,2248,950,34869,3484,5752,830,27242,2068,0,933,3044,7586,8299,2740,2340,0,2433,450,1147,11638,812,1947,3090,1598,215,0,2856,2469,3347,32678,5507,241,25203,2526,1652,13549,248,12134,239,1575,18195,646,368,6139,8258,7041,217,7
T21,252399,0,109,26,556,3,251,244,87,8936,0,0,0,905,2197,2348,190,450,2123,595,16,1039,542,475,0,1077,32065,0,66015,473,56016,170,35,5332,318,0,4894,1867,68,166,51216,1211,0,6469,0,155,9,2873,0,878,0
T22,4331700,104240,962,4498,8638,87804,1191,11550,284839,112467,24430,1708,326,93067,3651,35182,15271,87157,266160,2213,11525,17612,16612,2642,53978,67197,830,6976,9354,7741,109878,1391,25193,165328,0,186779,35815,4513,921376,10399,28944,630,231932,1221880,0,680,22995,8691,5144,7847,2464
T23,893752,12163,12613,13687,16648,63945,52303,4037,933,14207,19796,233,20622,15077,13844,15272,9796,13124,12606,10379,9858,4335,38450,34590,7224,19526,24873,8068,4143,6022,10109,10306,32484,14177,6171,23089,12297,25100,42887,1671,11800,10175,20255,46137,13135,4879,17013,27801,13820,48913,23159
T24,11501886,150950,23959,208286,87757,1419237,109711,188360,20434,733574,146070,57573,52234,649572,132848,241776,113737,166538,95974,50776,241535,274501,538065,429247,76942,214769,43831,59234,81275,52370,320064,109048,559011,289528,43650,442505,433994,253406,459051,47589,79305,26419,169711,709844,49248,39067,266805,207950,80147,217778,36631
T25,1017229,10977,0,7429,11949,100189,13680,24936,103,93688,35067,709,4629,40056,0,10675,7667,8566,7102,7066,19273,69896,33041,21070,7395,14695,3044,3779,8134,7440,25580,4648,75149,52973,3016,20577,7335,14274,48625,756,14094,1615,30027,69744,6775,2523,22741,19459,3660,20551,852
T27,322372,7482,338,0,8560,83282,0,0,2975,23149,0,3151,18807,0,14,5164,3442,4632,3485,0,0,0,17998,0,0,12694,1435,0,0,3683,3216,72,35695,0,0,458,4,7620,37734,0,0,0,3269,7635,0,0,0,15861,9135,12,1370
T28,4312732,89528,23198,36832,45533,693479,54587,68409,128291,224877,51092,8855,28034,43245,37420,55645,25929,33725,44075,28994,95669,77187,90939,125176,37440,96429,17593,37834,115874,24790,73432,13173,195644,79689,17707,185539,43715,152927,226123,15573,95010,20759,62954,323633,8718,11080,70904,142921,15325,115220,2007
T29,339939,0,0,24462,3924,6815,3754,4885,617,27279,51449,164,1547,2316,569,3062,2232,2387,1125,646,1740,3532,17654,9081,144,9884,469,13154,3536,2078,3221,522,3272,1461,0,3692,338,2060,7617,767,81266,744,1827,13580,574,2472,3286,2716,331,11325,363
T40,112242604,1332878,0,1380653,905150,17200000,1764736,2253951,513138,0,3389921,922912,609262,4814510,2806780,1467019,1040385,1733415,929706,614939,3079664,5374911,4890708,3321955,587589,2006279,356987,685066,0,35784,4350485,526935,15300000,3992016,125687,4721854,1299583,2383214,4657926,497235,1494799,0,94894,0,842098,285822,3584765,0,621174,3445819,0
T41,24207836,189506,872260,244856,153926,4727879,137748,713381,113748,755900,470710,53127,83551,1097305,656228,167046,219074,254775,245273,74933,260401,959332,1843420,509534,171049,192718,85054,102755,0,126169,946641,90428,2637556,710658,54174,677183,142023,205031,1469962,69846,176339,28142,365323,0,83936,32572,365340,0,179009,492015,0
T50,4658957,31566,917,39714,14320,458798,19640,248174,39661,297148,39104,11771,8996,163656,102201,76873,56742,70965,50505,9150,92813,267273,163338,20528,9712,58822,12869,14685,19508,22395,283813,13546,672524,103173,2106,75445,50851,41471,562880,12606,15411,22127,56331,142200,7606,6746,47895,35616,27290,53742,3734
T51,2151896,19010,0,0,7352,0,0,54285,34033,637506,16347,3761,0,28531,0,6811,0,3601,0,8047,66628,35162,0,80728,0,0,0,3391,1033,27709,51399,0,412162,0,0,0,5031,16819,183068,3443,14750,106,63058,0,0,10848,98960,228374,4599,25344,0
T53,4907971,73167,1124980,0,15166,35407,22813,0,0,64493,0,0,2104,0,692,0,102685,199995,447060,0,0,0,40069,3041,40256,35,97141,2344,19625,26,0,309766,0,1735,131035,9203,394134,70192,0,0,0,6348,1015,1177946,20284,0,1582,64998,170034,1349,257251
T99,234066,0,18,0,8257,0,13690,0,1720,0,17205,0,25531,0,0,0,0,0,0,0,33348,0,11870,0,0,2520,17397,0,0,0,0,0,0,0,0,0,17248,0,5227,59,0,0,24051,0,0,11417,35090,5,0,9413,0
