ITE,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
POP,269775,4352,614,4669,2538,32667,3971,3274,744,0,14916,7642,1193,1229,12045,5899,2862,2629,3936,4369,1244,5135,6147,9817,4725,2752,5439,880,1663,1747,1185,8115,1737,18175,7546,638,11209,3347,3282,12001,988,3836,738,5431,19760,2100,591,6791,5689,1811,5224,481
T01,10658554,139818,48516,252153,9091,3870605,8138,13,0,0,984694,37824,0,0,206134,3377,0,46080,364019,22805,43056,241504,152,1569191,9772,2034,16765,227511,4967,71978,583,2524,37029,0,217,2295,17067,0,76,149547,1506,11583,0,0,0,0,9993,21268,2047332,2723,75630,98984
T09,155272097,1570650,0,3050111,1513673,21301860,1530832,3031699,0,0,12923644,3993493,1425352,652843,5596046,3156272,1528824,1619246,1981290,1981231,830758,2161233,2962535,6873995,3243611,2034804,2627839,0,919750,1656749,0,4766195,1454913,7615370,3272774,309139,5531207,1328295,0,6313056,525672,2162858,442549,4027787,12474161,1311955,194501,2225021,6909239,856276,3047406,335383
T10,3765443,117940,11771,46144,26647,270529,25359,43428,9652,0,565188,127418,38894,5507,57034,31706,11497,66180,63470,52304,33396,23939,60849,125169,57029,39260,23820,15511,16583,15806,11197,74851,34904,182959,155352,5283,80390,56904,12036,161427,7849,121258,9872,69634,456035,21183,13576,111165,146379,8032,41995,1132
T11,2370501,101,2134,751,390,0,62105,259644,0,0,0,0,0,0,274902,322764,136148,958,211,673,0,10562,7035,0,62211,166439,148010,0,7507,502742,1902,317249,4351,949,0,11656,0,10593,121,466,0,34129,22,0,23083,0,0,88,0,0,605,0
T12,9187201,171553,33695,148460,67074,1225893,114681,179675,45157,0,376212,223908,88710,50595,98573,148848,108869,95616,216018,240491,43023,174718,310841,145086,158188,108261,194390,37871,36465,110748,51635,309557,78804,680998,283828,19958,350881,148503,62299,389591,41823,82240,33012,258159,696783,76866,20055,236971,228790,76461,93997,12371
T13,28344987,486059,34894,534344,348934,2875306,503060,569880,98987,0,1496717,557922,73594,207292,1300658,639819,325732,332810,414119,530943,157324,676650,621291,1041308,553758,388632,668078,178170,265546,247771,115446,476158,240945,494577,1114316,105863,1328277,354842,382195,811126,125378,339163,113560,752233,2506029,306574,56185,760721,708185,232667,845528,45421
T14,405261,4158,0,2954,6858,83087,7097,11173,195,0,60061,0,0,0,37945,3523,3144,4032,18078,5243,3907,2052,9193,12832,835,0,0,139,542,0,3456,0,906,38364,0,0,15782,4783,1311,24824,5980,0,967,0,15476,0,15,0,3493,9071,3570,215
T15,8795604,435158,2351,56123,0,46316,7717,204621,22766,0,634213,0,120326,3239,987194,4947,0,873,0,13120,574,146500,0,0,43,0,300,15320,2215,8926,57846,1143208,7143,1674674,340721,26733,707982,15012,9775,729378,62351,38539,1246,5272,414204,0,8105,100036,251524,190716,296141,2156
T16,7747576,69991,31958,169316,95147,649679,67583,134876,23171,0,467050,89270,36098,28962,464242,90484,100155,55364,18216,87209,71721,128245,300812,574785,189359,57392,113904,15046,47146,65754,76091,338618,25097,672101,47304,24296,296645,77587,203580,332505,63994,31382,20938,86650,560923,43800,13942,15905,276652,33477,257096,6058
