DATE,IP
1919-01-31,-3.02279519310368
1919-02-28,-3.0680019364340727
1919-03-31,-3.097322129315624
1919-04-30,-3.0796357577766966
1919-05-31,-3.0738019289759135
1919-06-30,-3.0118006817330554
1919-07-31,-2.9534393613637393
1919-08-31,-2.9380862008611737
1919-09-30,-2.958609914252241
1919-10-31,-2.9690124488546097
1919-11-30,-2.984851682457779
1919-12-31,-2.9690124488546097
1920-01-31,-2.8789630850002723
1920-02-29,-2.8789630850002723
1920-03-31,-2.8982789374052778
1920-04-30,-2.9534393613637393
1920-05-31,-2.9279801715031724
1920-06-30,-2.9179937569524763
1920-07-31,-2.9431777748191017
1920-08-31,-2.9380862008611737
1920-09-30,-2.97426436693875
1920-10-31,-3.0172828275844354
1920-11-30,-3.1032952127670175
1920-12-31,-3.1650507381732935
1921-01-31,-3.2240893919210882
1921-02-28,-3.244552671658184
1921-03-31,-3.2725403494538936
1921-04-30,-3.2725403494538936
1921-05-31,-3.244552671658184
1921-06-30,-3.2514764989142826
1921-07-31,-3.2584485999880237
1921-08-31,-3.2240893919210882
1921-09-30,-3.2173519864998585
1921-10-31,-3.1586983618358846
1921-11-30,-3.1714437253083396
1921-12-31,-3.1778778458341286
1922-01-31,-3.139879818641703
1922-02-28,-3.097322129315624
1922-03-31,-3.0451536368877092
1922-04-30,-3.0796357577766966
1922-05-31,-3.0283381133029055
1922-06-30,-2.9795440133574664
1922-07-31,-2.9795440133574664
1922-08-31,-3.0009458406068785
1922-09-30,-2.948295405629369
1922-10-31,-2.8934103698048808
1922-11-30,-2.8506627024629254
1922-12-31,-2.8231244089476752
1923-01-31,-2.846020000325664
1923-02-28,-2.8322198377470906
1923-03-31,-2.800757770636721
1923-04-30,-2.7788804738632136
1923-05-31,-2.765970669938206
1923-06-30,-2.7745586612962407
1923-07-31,-2.783221045596979
1923-08-31,-2.800757770636721
1923-09-30,-2.8231244089476752
1923-10-31,-2.827661782529897
1923-11-30,-2.827661782529897
1923-12-31,-2.8506627024629254
1924-01-31,-2.827661782529897
1924-02-29,-2.8096511262188875
1924-03-31,-2.827661782529897
1924-04-30,-2.8599958138777626
1924-05-31,-2.9031713239676598
1924-06-30,-2.948295405629369
1924-07-31,-2.963807340769617
1924-08-31,-2.9279801715031724
1924-09-30,-2.8934103698048808
1924-10-31,-2.8694344804413623
1924-11-30,-2.8506627024629254
1924-12-31,-2.8231244089476752
1925-01-31,-2.7919428101447954
1925-02-28,-2.7919428101447954
1925-03-31,-2.7919428101447954
1925-04-30,-2.783221045596979
1925-05-31,-2.7875642985147717
1925-06-30,-2.796340577481146
1925-07-31,-2.7702554464461087
1925-08-31,-2.7875642985147717
1925-09-30,-2.800757770636721
1925-10-31,-2.7617041744378437
1925-11-30,-2.7406560408511247
1925-12-31,-2.7282273985410277
1926-01-31,-2.744833487195778
1926-02-28,-2.744833487195778
1926-03-31,-2.7323531396253835
1926-04-30,-2.7323531396253835
1926-05-31,-2.7406560408511247
1926-06-30,-2.7282273985410277
1926-07-31,-2.7241186092812746
1926-08-31,-2.711907631429515
1926-09-30,-2.6958351100229514
1926-10-31,-2.6958351100229514
1926-11-30,-2.699829087255638
1926-12-31,-2.7038390803307455
1927-01-31,-2.7078652182126
1927-02-28,-2.699829087255638
1927-03-31,-2.687909395700575
1927-04-30,-2.711907631429515
1927-05-31,-2.7038390803307455
1927-06-30,-2.7078652182126
1927-07-31,-2.7200418139545883
1927-08-31,-2.7200418139545883
1927-09-30,-2.7364959729919107
1927-10-31,-2.75745580461559
1927-11-30,-2.75745580461559
1927-12-31,-2.7532254071133377
1928-01-31,-2.7323531396253835
1928-02-29,-2.7241186092812746
1928-03-31,-2.7159664520991837
1928-04-30,-2.7200418139545883
1928-05-31,-2.7078652182126
1928-06-30,-2.699829087255638
1928-07-31,-2.687909395700575
1928-08-31,-2.6683296129072778
1928-09-30,-2.660618101542349
1928-10-31,-2.6415604598333773
1928-11-30,-2.6228730051947413
1928-12-31,-2.604528374798096
1929-01-31,-2.5900805161992144
1929-02-28,-2.5936729585806595
