DATE,Industrial Production Index
2000-01-31,91.7942
2000-02-29,92.1272
2000-03-31,92.4733
2000-04-30,93.0619
2000-05-31,93.3427
2000-06-30,93.3908
2000-07-31,93.204
2000-08-31,92.9637
2000-09-30,93.3533
2000-10-31,93.0019
2000-11-30,93.0137
2000-12-31,92.7388
2001-01-31,92.2054
2001-02-28,91.5813
2001-03-31,91.3567
2001-04-30,91.072
2001-05-31,90.5335
2001-06-30,90.0322
2001-07-31,89.4778
2001-08-31,89.3838
2001-09-30,88.9262
2001-10-31,88.6365
2001-11-30,88.1058
2001-12-31,88.0897
2002-01-31,88.6706
2002-02-28,88.6723
2002-03-31,89.3624
2002-04-30,89.7933
2002-05-31,90.1629
2002-06-30,90.9078
2002-07-31,90.8761
2002-08-31,90.785
2002-09-30,90.8931
2002-10-31,90.6289
2002-11-30,91.1366
2002-12-31,90.6374
2003-01-31,91.3852
2003-02-28,91.494
2003-03-31,91.221
2003-04-30,90.6448
2003-05-31,90.6163
2003-06-30,90.7372
2003-07-31,91.2028
2003-08-31,91.0119
2003-09-30,91.6355
2003-10-31,91.7372
2003-11-30,92.3505
2003-12-31,92.4019
2004-01-31,92.5643
2004-02-29,93.1092
2004-03-31,92.7403
2004-04-30,93.1255
2004-05-31,93.797
2004-06-30,93.0677
2004-07-31,93.7646
2004-08-31,93.8516
2004-09-30,93.9393
2004-10-31,94.8012
2004-11-30,95.0379
2004-12-31,95.7433
2005-01-31,96.1164
2005-02-28,96.82
2005-03-31,96.6725
2005-04-30,96.8638
2005-05-31,96.9622
2005-06-30,97.353
2005-07-31,97.0425
2005-08-31,97.3856
2005-09-30,95.509
2005-10-31,96.6445
2005-11-30,97.6736
2005-12-31,98.2108
2006-01-31,98.3353
2006-02-28,98.3412
2006-03-31,98.5915
2006-04-30,98.9042
2006-05-31,98.8999
2006-06-30,99.209
2006-07-31,99.1473
2006-08-31,99.5815
2006-09-30,99.4133
2006-10-31,99.2931
2006-11-30,99.2376
2006-12-31,100.2526
2007-01-31,99.86
2007-02-28,100.8096
2007-03-31,101.0257
2007-04-30,101.7497
2007-05-31,101.8148
2007-06-30,101.8424
2007-07-31,101.7209
2007-08-31,101.9639
2007-09-30,102.2023
2007-10-31,101.8873
2007-11-30,102.4717
2007-12-31,102.4621
2008-01-31,102.3148
2008-02-29,101.9384
2008-03-31,101.5904
2008-04-30,100.9098
2008-05-31,100.3073
2008-06-30,100.0853
2008-07-31,99.6124
2008-08-31,98.0601
2008-09-30,93.8451
2008-10-31,94.7036
2008-11-30,93.4737
2008-12-31,90.825
2009-01-31,88.583
2009-02-28,88.0069
2009-03-31,86.6045
2009-04-30,85.9406
2009-05-31,85.0635
2009-06-30,84.7841
2009-07-31,85.7471
2009-08-31,86.7094
2009-09-30,87.4072
2009-10-31,87.6595
2009-11-30,88.0061
2009-12-31,88.2819
2010-01-31,89.2744
2010-02-28,89.5648
2010-03-31,90.2296
2010-04-30,90.5689
2010-05-31,91.8247
2010-06-30,92.007
2010-07-31,92.3967
2010-08-31,92.7118
2010-09-30,92.9252
2010-10-31,92.7115
2010-11-30,92.7535
2010-12-31,93.6492
2011-01-31,93.4768
2011-02-28,93.0617
2011-03-31,94.0244
2011-04-30,93.7011
2011-05-31,93.849
2011-06-30,94.0844
2011-07-31,94.5881
2011-08-31,95.1605
2011-09-30,95.0855
2011-10-31,95.6902
2011-11-30,95.7307
2011-12-31,96.2047
2012-01-31,96.7772
2012-02-29,97.051
2012-03-31,96.5714
2012-04-30,97.3139
2012-05-31,97.4669
2012-06-30,97.4577
2012-07-31,97.6786
2012-08-31,97.2842
2012-09-30,97.2295
2012-10-31,97.5344
2012-11-30,97.9837
2012-12-31,98.2122
2013-01-31,98.1664
2013-02-28,98.6458
2013-03-31,99.0597
2013-04-30,98.9927
2013-05-31,99.0726
2013-06-30,99.2065
2013-07-31,98.9204
2013-08-31,99.4996
2013-09-30,100.0568
2013-10-31,99.9168
2013-11-30,100.1762
2013-12-31,100.3658
2014-01-31,100.038
2014-02-28,100.7918
2014-03-31,101.7782
2014-04-30,101.8337
2014-05-31,102.2325
2014-06-30,102.5722
2014-07-31,102.8479
2014-08-31,102.6491
2014-09-30,102.9858
2014-10-31,102.9911
2014-11-30,103.6669
2014-12-31,103.6139
2015-01-31,102.8479
2015-02-28,102.2292
2015-03-31,101.8945
2015-04-30,101.2859
2015-05-31,100.8408
2015-06-30,100.5063
2015-07-31,101.1831
2015-08-31,100.9115
2015-09-30,100.568
2015-10-31,100.1588
2015-11-30,99.4099
2015-12-31,98.8329
2016-01-31,99.4797
2016-02-29,98.9583
2016-03-31,98.1954
2016-04-30,98.4673
2016-05-31,98.2889
2016-06-30,98.7201
2016-07-31,98.8992
2016-08-31,98.7249
2016-09-30,98.606
2016-10-31,98.6703
2016-11-30,98.2288
2016-12-31,98.8958
2017-01-31,98.7446
2017-02-28,98.3676
2017-03-31,99.1065
2017-04-30,100.0363
2017-05-31,100.147
2017-06-30,100.3042
2017-07-31,100.2092
2017-08-31,99.7055
2017-09-30,99.7485
2017-10-31,100.988
2017-11-30,101.273
2017-12-31,101.3696
2018-01-31,101.3561
2018-02-28,101.6495
2018-03-31,102.298
2018-04-30,103.4095
2018-05-31,102.5408
2018-06-30,103.3045
2018-07-31,103.5474
2018-08-31,104.1659
2018-09-30,104.1315
2018-10-31,103.9874
2018-11-30,103.9127
2018-12-31,103.867
2019-01-31,103.3023
2019-02-28,102.728
2019-03-31,102.8635
2019-04-30,102.2543
2019-05-31,102.4519
2019-06-30,102.384
2019-07-31,102.0568
2019-08-31,102.6882
2019-09-30,102.3143
2019-10-31,101.4645
2019-11-30,101.9876
2019-12-31,101.6179
2020-01-31,101.0918
2020-02-29,101.3247
2020-03-31,97.4477
2020-04-30,84.2018
2020-05-31,85.8434
2020-06-30,91.1622
2020-07-31,94.8887
2020-08-31,95.8924
2020-09-30,95.6019
2020-10-31,96.6454
2020-11-30,97.1609
2020-12-31,98.2854
2021-01-31,99.4076
2021-02-28,96.372
2021-03-31,98.94
2021-04-30,98.966
2021-05-31,99.6536
2021-06-30,100.0951
