DATE,M2 Annual % Change,Personal Savings Rate
2005-01-31,5.5953450421567075,3.2
2005-02-28,5.4636845290289004,2.9
2005-03-31,5.010285090356081,3.1
2005-04-30,4.464346536835584,2.7
2005-05-31,3.383650176712405,3.2
2005-06-30,3.825796526133707,2.6
2005-07-31,3.952177340372165,2.1
2005-08-31,4.032070980719893,2.6
2005-09-30,3.9774139706665768,2.7
2005-10-31,4.044533329134037,2.9
2005-11-30,4.073286310817781,3.2
2005-12-31,3.929924426021647,3.1
2006-01-31,4.714881128923976,3.7
2006-02-28,4.908562171867992,3.9
2006-03-31,5.104906466137504,4.1
2006-04-30,5.384432442384979,3.8
2006-05-31,5.256176216259778,3.6
2006-06-30,5.18424113535072,3.7
2006-07-31,5.210394285823705,3.1
2006-08-31,5.25292868816154,3.3
2006-09-30,5.019145310821926,3.2
2006-10-31,5.200131978435474,3.2
2006-11-30,5.52817245343411,3.6
2006-12-31,5.72179026071904,3.5
2007-01-31,5.8803185383728085,3.2
2007-02-28,5.72071736865607,3.6
2007-03-31,5.86832429806452,3.9
2007-04-30,6.105637109484485,3.8
2007-05-31,6.569559609903175,3.6
2007-06-30,6.283804004291893,3.5
2007-07-31,6.04390964130852,3.4
2007-08-31,6.551084894195158,3.1
2007-09-30,6.533640243263483,3.1
2007-10-31,6.016355140186902,3.0
2007-11-30,5.8063987867438716,2.8
2007-12-31,5.791561383944321,3.2
2008-01-31,5.6063976571959495,3.2
2008-02-29,6.552167103665485,3.6
2008-03-31,7.128047890202938,3.4
2008-04-30,6.655684662334238,2.9
2008-05-31,6.386447234358528,7.3
2008-06-30,6.123671126006092,5.1
2008-07-31,6.34788447332213,4.0
2008-08-31,5.430241703466376,3.5
2008-09-30,5.743882666594291,4.3
2008-10-31,7.490263132896358,5.2
2008-11-30,7.415706897885999,6.3
2008-12-31,9.395573749929941,6.2
2009-01-31,10.424221416382263,6.2
2009-02-28,9.451960680689165,5.6
2009-03-31,9.350913674088757,5.9
2009-04-30,8.67038265215867,6.6
2009-05-31,9.331679793264215,7.9
2009-06-30,9.189743271157225,6.2
2009-07-31,8.565387905295264,5.5
2009-08-31,8.278347585708001,4.5
2009-09-30,7.706125381713669,5.6
2009-10-31,6.294463346736778,5.2
2009-11-30,6.3399812684222345,5.6
2009-12-31,4.211796763318243,5.6
