,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 5, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000500> block group:1",50,27,,,,,,,,,,815,38.0,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.3,37.7
"Block Group 1, Census Tract 9, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000900> block group:1",77,43,,,,,,,,,,914,59.2,22.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.2
"Block Group 2, Census Tract 9, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000900> block group:2",119,48,,,,,,,,,,1252,58.2,30.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.2,58.2
"Block Group 2, Census Tract 5, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000500> block group:2",79,31,,,,,,,,,,771,67.6,29.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,67.6
"Block Group 2, Census Tract 1, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000100> block group:2",65,25,,,,,,,,,,1966,40.7,23.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 2, Census Tract 2, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000200> block group:2",90,41,,,,,,,,,,1087,44.5,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.8
"Block Group 3, Census Tract 4, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000400> block group:3",95,38,,,,,,,,,,1339,22.3,29.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.3
"Block Group 1, Census Tract 6, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000600> block group:1",34,20,,,,,,,,,,452,58.5,14.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.5
"Block Group 1, Census Tract 7, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000700> block group:1",74,43,,,,,,,,,,632,60.2,32.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2
"Block Group 3, Census Tract 8, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000800> block group:3",121,51,,,,,,,,,,1572,44.3,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 4, Census Tract 8, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000800> block group:4",46,30,,,,,,,,,,590,39.4,55.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,39.4
"Block Group 4, Census Tract 1, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000100> block group:4",61,27,,,,,,,,,,1540,37.9,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.9
"Block Group 1, Census Tract 3, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000300> block group:1",95,59,,,,,,,,,,1204,58.0,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.0
"Block Group 2, Census Tract 3, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000300> block group:2",55,31,,,,,,,,,,594,-666666666.0,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.6,-666666666.0
"Block Group 3, Census Tract 3, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000300> block group:3",53,24,,,,,,,,,,505,-666666666.0,49.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 5, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000500> block group:3",54,29,,,,,,,,,,722,69.2,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,69.2
"Block Group 4, Census Tract 5, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000500> block group:4",34,19,,,,,,,,,,466,52.6,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.1,52.6
"Block Group 5, Census Tract 5, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000500> block group:5",47,23,,,,,,,,,,644,52.8,22.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8
"Block Group 4, Census Tract 9, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000900> block group:4",52,29,,,,,,,,,,849,57.1,13.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 3, Census Tract 9, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000900> block group:3",70,35,,,,,,,,,,966,39.6,23.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 3, Census Tract 2, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000200> block group:3",127,65,,,,,,,,,,1412,58.5,52.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.7
"Block Group 1, Census Tract 2, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000200> block group:1",95,52,,,,,,,,,,1348,46.5,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.5
"Block Group 1, Census Tract 4, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000400> block group:1",46,35,,,,,,,,,,584,-666666666.0,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 4, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000400> block group:2",70,38,,,,,,,,,,899,-666666666.0,33.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 6, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000600> block group:2",81,42,,,,,,,,,,1312,36.0,33.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.0
"Block Group 3, Census Tract 6, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000600> block group:3",48,30,,,,,,,,,,577,46.9,29.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.9
"Block Group 2, Census Tract 7, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000700> block group:2",155,85,,,,,,,,,,1064,58.0,46.2,-666666666.0,-666666666.0,-666666666.0,40.3,-666666666.0,58.0
"Block Group 1, Census Tract 8, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000800> block group:1",67,32,,,,,,,,,,865,10.7,29.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.7
"Block Group 2, Census Tract 8, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000800> block group:2",46,24,,,,,,,,,,689,39.5,35.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 3, Census Tract 1, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000100> block group:3",55,27,,,,,,,,,,1221,46.1,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 1, Census Tract 1, Adams County, Mississippi: Summary level: 150, state:28> county:001> tract:000100> block group:1",334,34,,,,,,,,,,3128,45.3,41.5,39.6,45.2,-666666666.0,39.2,49.0,53.3
