,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 605, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060500> block group:3",106,47,,,,,,,,,,1251,48.0,30.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.0
"Block Group 1, Census Tract 605, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060500> block group:1",64,27,,,,,,,,,,675,51.3,55.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.1,51.3
"Block Group 2, Census Tract 601, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060100> block group:2",237,115,,,,,,,,,,1579,40.6,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 1, Census Tract 601, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060100> block group:1",160,98,,,,,,,,,,1715,47.4,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 1, Census Tract 606, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060600> block group:1",88,28,,,,,,,,,,1390,33.3,19.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.5,36.1
"Block Group 2, Census Tract 606, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060600> block group:2",40,21,,,,,,,,,,627,44.7,9.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 3, Census Tract 606, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060600> block group:3",172,45,,,,,,,,,,1918,63.0,26.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.8
"Block Group 1, Census Tract 603, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060300> block group:1",72,38,,,,,,,,,,912,54.0,49.1,-666666666.0,-666666666.0,-666666666.0,14.5,-666666666.0,54.0
"Block Group 3, Census Tract 603, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060300> block group:3",92,50,,,,,,,,,,1109,62.9,24.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.9
"Block Group 2, Census Tract 603, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060300> block group:2",111,55,,,,,,,,,,824,46.8,52.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 1, Census Tract 602, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060200> block group:1",107,63,,,,,,,,,,1143,42.8,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 2, Census Tract 602, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060200> block group:2",105,44,,,,,,,,,,1315,45.5,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 3, Census Tract 604, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060400> block group:3",76,35,,,,,,,,,,826,33.4,48.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.4
"Block Group 2, Census Tract 604, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060400> block group:2",150,68,,,,,,,,,,1717,41.9,54.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 1, Census Tract 604, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060400> block group:1",59,31,,,,,,,,,,550,46.0,63.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 4, Census Tract 605, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060500> block group:4",67,31,,,,,,,,,,1082,16.5,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.4
"Block Group 2, Census Tract 605, Attala County, Mississippi: Summary level: 150, state:28> county:007> tract:060500> block group:2",43,24,,,,,,,,,,542,21.0,34.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.0
