,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9504, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950400> block group:2",118,55,,,,,,,,,,1053,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 4, Census Tract 9502, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950200> block group:4",201,107,,,,,,,,,,1727,51.3,21.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 1, Census Tract 9501, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950100> block group:1",83,37,,,,,,,,,,1030,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.1,36.7
"Block Group 3, Census Tract 9501, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950100> block group:3",46,25,,,,,,,,,,627,42.1,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.1
"Block Group 5, Census Tract 9501, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950100> block group:5",49,31,,,,,,,,,,685,36.6,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.6
"Block Group 4, Census Tract 9503, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950300> block group:4",52,23,,,,,,,,,,660,56.8,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.8
"Block Group 2, Census Tract 9503, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950300> block group:2",119,55,,,,,,,,,,1382,52.7,29.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.7
"Block Group 3, Census Tract 9504, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950400> block group:3",78,41,,,,,,,,,,682,51.6,56.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.6
"Block Group 1, Census Tract 9504, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950400> block group:1",111,56,,,,,,,,,,1073,61.5,34.9,18.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.5
"Block Group 2, Census Tract 9502, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950200> block group:2",35,19,,,,,,,,,,609,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 3, Census Tract 9502, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950200> block group:3",187,74,,,,,,,,,,1530,40.4,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 1, Census Tract 9502, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950200> block group:1",93,47,,,,,,,,,,2008,41.1,28.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 4, Census Tract 9501, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950100> block group:4",62,27,,,,,,,,,,768,38.3,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 2, Census Tract 9501, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950100> block group:2",89,50,,,,,,,,,,990,47.2,57.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 3, Census Tract 9503, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950300> block group:3",116,77,,,,,,,,,,342,62.9,43.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.9
"Block Group 1, Census Tract 9503, Clarke County, Mississippi: Summary level: 150, state:28> county:023> tract:950300> block group:1",191,92,,,,,,,,,,1196,45.4,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
