,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9503, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950300> block group:2",148,49,,,,,,,,,,1744,40.4,23.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 5, Census Tract 9502, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950200> block group:5",135,65,,,,,,,,,,768,45.8,45.3,-666666666.0,-666666666.0,-666666666.0,42.7,-666666666.0,45.8
"Block Group 1, Census Tract 9501, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950100> block group:1",45,18,,,,,,,,,,882,45.0,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 5, Census Tract 9501, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950100> block group:5",65,17,,,,,,,,,,935,32.6,24.5,-666666666.0,-666666666.0,-666666666.0,15.1,21.3,32.3
"Block Group 2, Census Tract 9504, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950400> block group:2",60,24,,,,,,,,,,781,70.3,52.6,-666666666.0,31.2,-666666666.0,-666666666.0,-666666666.0,70.3
"Block Group 1, Census Tract 9504, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950400> block group:1",76,33,,,,,,,,,,937,64.0,30.6,-666666666.0,-666666666.0,-666666666.0,18.9,-666666666.0,79.2
"Block Group 1, Census Tract 9505, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950500> block group:1",41,22,,,,,,,,,,748,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.7
"Block Group 1, Census Tract 9506, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950600> block group:1",118,57,,,,,,,,,,1583,40.7,48.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 3, Census Tract 9504, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950400> block group:3",71,39,,,,,,,,,,799,61.3,30.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.3
"Block Group 3, Census Tract 9503, Copiah County, Mississippi: Summary level: 150, state:28> county:029> tract:950300> block group:3",115,57,,,,,,,,,,1297,55.2,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.4
