,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9504, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950400> block group:2",136,50,,,,,,,,,,2370,37.0,35.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.8
"Block Group 2, Census Tract 9501, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950100> block group:2",61,31,,,,,,,,,,1378,46.4,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 4, Census Tract 9504, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950400> block group:4",71,36,,,,,,,,,,1726,48.3,15.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3
"Block Group 1, Census Tract 9504, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950400> block group:1",181,77,,,,,,,,,,1909,42.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 2, Census Tract 9503, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950300> block group:2",138,73,,,,,,,,,,973,41.0,23.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 1, Census Tract 9503, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950300> block group:1",132,59,,,,,,,,,,2001,37.1,24.4,-666666666.0,29.2,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 1, Census Tract 9501, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950100> block group:1",94,39,,,,,,,,,,2311,48.2,29.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 3, Census Tract 9501, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950100> block group:3",81,34,,,,,,,,,,1770,54.3,31.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.3
"Block Group 3, Census Tract 9504, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950400> block group:3",52,32,,,,,,,,,,990,46.2,73.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 1, Census Tract 9502, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950200> block group:1",145,68,,,,,,,,,,1347,36.4,33.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 2, Census Tract 9502, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950200> block group:2",73,29,,,,,,,,,,603,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.0,40.7
"Block Group 4, Census Tract 9503, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950300> block group:4",62,32,,,,,,,,,,898,43.6,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.3,43.6
"Block Group 3, Census Tract 9503, Covington County, Mississippi: Summary level: 150, state:28> county:031> tract:950300> block group:3",87,38,,,,,,,,,,1195,37.7,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.7
