,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 303, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030300> block group:3",28,10,,,,,,,,,,921,29.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.0
"Block Group 5, Census Tract 303, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030300> block group:5",102,51,,,,,,,,,,2856,33.5,16.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.0
"Block Group 3, Census Tract 304, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030400> block group:3",89,36,,,,,,,,,,926,45.0,54.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 1, Census Tract 306.01, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030601> block group:1",91,43,,,,,,,,,,2426,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 4, Census Tract 301, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030100> block group:4",41,24,,,,,,,,,,802,51.3,56.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.3
"Block Group 5, Census Tract 302, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030200> block group:5",33,11,,,,,,,,,,425,37.0,29.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.0
"Block Group 1, Census Tract 302, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030200> block group:1",42,17,,,,,,,,,,807,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 1, Census Tract 301, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030100> block group:1",67,40,,,,,,,,,,1083,57.1,67.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 3, Census Tract 301, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030100> block group:3",79,32,,,,,,,,,,1631,40.8,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 3, Census Tract 305, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030500> block group:3",229,116,,,,,,,,,,3991,53.4,72.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.2
"Block Group 6, Census Tract 303, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030300> block group:6",51,22,,,,,,,,,,1136,44.0,13.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 7, Census Tract 303, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030300> block group:7",19,19,,,,,,,,,,446,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 2, Census Tract 306.02, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030602> block group:2",116,54,,,,,,,,,,2805,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 2, Census Tract 302, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030200> block group:2",67,29,,,,,,,,,,1744,28.9,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.9
"Block Group 2, Census Tract 306.01, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030601> block group:2",41,20,,,,,,,,,,1436,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
"Block Group 1, Census Tract 306.02, Hancock County, Mississippi: Summary level: 150, state:28> county:045> tract:030602> block group:1",53,27,,,,,,,,,,1540,52.5,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
