,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 15.02, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:001502> block group:3",175,71,,,,,,,,,,2474,40.1,37.1,-666666666.0,50.3,-666666666.0,-666666666.0,7.3,39.9
"Block Group 2, Census Tract 32.07, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:003207> block group:2",56,30,,,,,,,,,,1299,34.5,23.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.2
"Block Group 2, Census Tract 33.03, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:003303> block group:2",54,25,,,,,,,,,,1109,43.8,14.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.1
"Block Group 0, Census Tract 9900, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:990000> block group:0",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 32.08, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:003208> block group:3",57,25,,,,,,,,,,870,49.6,26.4,-666666666.0,36.4,-666666666.0,-666666666.0,2.8,49.8
"Block Group 1, Census Tract 35.02, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:003502> block group:1",82,32,,,,,,,,,,1781,40.3,16.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 1, Census Tract 17, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:001700> block group:1",45,27,,,,,,,,,,1134,46.4,43.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.4
"Block Group 4, Census Tract 17, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:001700> block group:4",34,19,,,,,,,,,,628,45.2,56.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2,45.9
"Block Group 3, Census Tract 32.05, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:003205> block group:3",116,56,,,,,,,,,,3066,30.8,22.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.5
"Block Group 3, Census Tract 32.06, Harrison County, Mississippi: Summary level: 150, state:28> county:047> tract:003206> block group:3",177,72,,,,,,,,,,4339,27.9,29.1,-666666666.0,17.9,-666666666.0,-666666666.0,7.0,29.0
