,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 405, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:040500> block group:3",30.0,20.0,,,,,,,,,,384,47.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4
"Block Group 4, Census Tract 403, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:040300> block group:4",144.0,62.0,,,,,,,,,,2711,31.6,34.8,-666666666.0,33.1,-666666666.0,-666666666.0,56.9,31.4
"Block Group 2, Census Tract 408, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:040800> block group:2",82.0,33.0,,,,,,,,,,1552,46.9,-666666666.0,-666666666.0,24.7,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 2, Census Tract 413, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:041300> block group:2",54.0,25.0,,,,,,,,,,1223,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 1, Census Tract 413, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:041300> block group:1",32.0,16.0,,,,,,,,,,552,60.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2
"Block Group 1, Census Tract 415, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:041500> block group:1",138.0,78.0,,,,,,,,,,1127,60.0,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.0
"Block Group 5, Census Tract 407, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:040700> block group:5",105.0,38.0,,,,,,,,,,1838,40.6,31.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 5, Census Tract 406, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:040600> block group:5",54.0,24.0,,,,,,,,,,862,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2
"Block Group 2, Census Tract 422, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:042200> block group:2",61.0,32.0,,,,,,,,,,866,27.5,54.0,-666666666.0,41.7,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 3, Census Tract 422, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:042200> block group:3",126.0,55.0,,,,,,,,,,1982,46.6,23.7,33.4,-666666666.0,-666666666.0,-666666666.0,8.5,49.7
"Block Group 3, Census Tract 421, Jackson County, Mississippi: Summary level: 150, state:28> county:059> tract:042100> block group:3",36.0,26.0,,,,,,,,,,535,26.7,47.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.3
