,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9504.02, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950402> block group:1",73.0,20.0,,,,,,,,,,1615,21.4,24.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.4,65.9
"Block Group 3, Census Tract 9503.01, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950301> block group:3",61.0,26.0,,,,,,,,,,817,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.1
"Block Group 2, Census Tract 9503.02, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950302> block group:2",101.0,46.0,,,,,,,,,,1510,46.2,16.4,57.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 5, Census Tract 9501, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950100> block group:5",92.0,41.0,,,,,,,,,,2547,36.3,24.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 1, Census Tract 9502, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950200> block group:1",60.0,27.0,,,,,,,,,,1154,33.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 2, Census Tract 9503.01, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950301> block group:2",111.0,54.0,,,,,,,,,,1898,39.7,30.7,-666666666.0,45.2,-666666666.0,-666666666.0,-666666666.0,39.7
"Block Group 1, Census Tract 9800, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:980000> block group:1",0.0,0.0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9508, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950800> block group:2",56.0,24.0,,,,,,,,,,1164,52.4,15.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5
"Block Group 4, Census Tract 9510, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:951000> block group:4",,,,,,,,,,,,512,40.1,35.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.4
"Block Group 3, Census Tract 9506, Jones County, Mississippi: Summary level: 150, state:28> county:067> tract:950600> block group:3",118.0,22.0,,,,,,,,,,1456,39.0,32.3,-666666666.0,-666666666.0,-666666666.0,26.4,-666666666.0,53.3
