,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9503.02, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950302> block group:1",48.0,32.0,,,,,,,,,,1061,45.1,36.2,-666666666.0,40.8,-666666666.0,-666666666.0,-666666666.0,47.5
"Block Group 2, Census Tract 9505.01, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950501> block group:2",44.0,19.0,,,,,,,,,,1002,33.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.5
"Block Group 3, Census Tract 9505.01, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950501> block group:3",39.0,19.0,,,,,,,,,,1066,54.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.4
"Block Group 1, Census Tract 9501, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950100> block group:1",137.0,72.0,,,,,,,,,,1834,43.7,33.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.0,43.9
"Block Group 1, Census Tract 9505.03, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950503> block group:1",152.0,81.0,,,,,,,,,,3348,24.3,30.1,-666666666.0,26.8,-666666666.0,-666666666.0,-666666666.0,24.5
"Block Group 3, Census Tract 9505.03, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950503> block group:3",35.0,20.0,,,,,,,,,,1116,22.0,25.2,-666666666.0,23.4,-666666666.0,-666666666.0,-666666666.0,21.8
"Block Group 2, Census Tract 9503.01, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950301> block group:2",,,,,,,,,,,,2463,19.5,19.1,-666666666.0,18.7,-666666666.0,-666666666.0,20.1,19.5
"Block Group 2, Census Tract 9504.02, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950402> block group:2",104.0,54.0,,,,,,,,,,1534,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 2, Census Tract 9501, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950100> block group:2",215.0,93.0,,,,,,,,,,2907,36.6,30.5,-666666666.0,-666666666.0,-666666666.0,33.8,2.7,45.0
"Block Group 2, Census Tract 9502.01, Lafayette County, Mississippi: Summary level: 150, state:28> county:071> tract:950201> block group:2",78.0,46.0,,,,,,,,,,1252,30.6,17.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.6
