,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9509.02, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950902> block group:3",62,35,,,,,,,,,,1012,43.8,27.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 2, Census Tract 9510.01, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:951001> block group:2",213,90,,,,,,,,,,2037,37.8,38.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
"Block Group 2, Census Tract 9508, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950800> block group:2",101,40,,,,,,,,,,1470,36.1,24.1,-666666666.0,38.4,-666666666.0,-666666666.0,-666666666.0,35.9
"Block Group 5, Census Tract 9511, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:951100> block group:5",102,48,,,,,,,,,,725,49.3,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 3, Census Tract 9503.02, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950302> block group:3",197,98,,,,,,,,,,1251,45.9,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 1, Census Tract 9502.02, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950202> block group:1",96,38,,,,,,,,,,2475,32.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9
"Block Group 1, Census Tract 9800, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:980000> block group:1",0,0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9508, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950800> block group:3",70,40,,,,,,,,,,696,58.8,35.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.4
"Block Group 1, Census Tract 9501.01, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950101> block group:1",100,36,,,,,,,,,,1073,43.2,14.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 1, Census Tract 9506.01, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950601> block group:1",173,67,,,,,,,,,,2822,34.2,20.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.8,34.2
"Block Group 2, Census Tract 9502.01, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950201> block group:2",105,46,,,,,,,,,,2444,34.3,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.7
"Block Group 1, Census Tract 9511, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:951100> block group:1",65,29,,,,,,,,,,1310,44.6,53.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 5, Census Tract 9505, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950500> block group:5",47,26,,,,,,,,,,1099,37.5,65.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 4, Census Tract 9505, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950500> block group:4",45,22,,,,,,,,,,733,60.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.4
"Block Group 1, Census Tract 9510.02, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:951002> block group:1",133,67,,,,,,,,,,2060,41.6,29.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.3,41.6
"Block Group 3, Census Tract 9504.02, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950402> block group:3",124,57,,,,,,,,,,2852,46.1,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 3, Census Tract 9502.02, Lee County, Mississippi: Summary level: 150, state:28> county:081> tract:950202> block group:3",47,18,,,,,,,,,,1447,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
