,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 302.05, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030205> block group:1",121.0,60.0,,,,,,,,,,1030,54.4,53.3,-666666666.0,39.5,-666666666.0,-666666666.0,-666666666.0,54.4
"Block Group 3, Census Tract 305, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030500> block group:3",42.0,20.0,,,,,,,,,,860,-666666666.0,20.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 1, Census Tract 301.08, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030108> block group:1",44.0,21.0,,,,,,,,,,911,37.8,29.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 2, Census Tract 310, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:031000> block group:2",153.0,73.0,,,,,,,,,,1284,64.8,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.8
"Block Group 2, Census Tract 302.03, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030203> block group:2",183.0,83.0,,,,,,,,,,2009,42.3,59.1,-666666666.0,4.9,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 2, Census Tract 305, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030500> block group:2",43.0,20.0,,,,,,,,,,977,-666666666.0,36.3,-666666666.0,-666666666.0,-666666666.0,9.2,-666666666.0,-666666666.0
"Block Group 1, Census Tract 309, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030900> block group:1",59.0,27.0,,,,,,,,,,1145,47.6,53.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.8
"Block Group 1, Census Tract 302.01, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030201> block group:1",67.0,22.0,,,,,,,,,,1122,39.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.9
"Block Group 3, Census Tract 302.01, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030201> block group:3",63.0,23.0,,,,,,,,,,1616,36.9,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.8
"Block Group 2, Census Tract 301.04, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030104> block group:2",102.0,51.0,,,,,,,,,,1462,35.6,31.5,52.2,32.5,-666666666.0,-666666666.0,-666666666.0,35.6
"Block Group 2, Census Tract 302.02, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030202> block group:2",119.0,50.0,,,,,,,,,,1075,43.8,43.8,-666666666.0,35.5,-666666666.0,-666666666.0,36.9,43.8
"Block Group 3, Census Tract 301.05, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030105> block group:3",,,,,,,,,,,,667,19.6,20.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.6
"Block Group 2, Census Tract 301.08, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030108> block group:2",95.0,40.0,,,,,,,,,,2789,42.5,30.8,-666666666.0,26.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 4, Census Tract 301.08, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030108> block group:4",22.0,14.0,,,,,,,,,,468,33.1,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.3
"Block Group 1, Census Tract 301.07, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030107> block group:1",70.0,45.0,,,,,,,,,,717,61.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.0
"Block Group 5, Census Tract 301.08, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030108> block group:5",27.0,17.0,,,,,,,,,,778,-666666666.0,25.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 301.07, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030107> block group:2",133.0,77.0,,,,,,,,,,2032,27.9,14.5,-666666666.0,17.9,-666666666.0,-666666666.0,-666666666.0,27.8
"Block Group 3, Census Tract 304, Madison County, Mississippi: Summary level: 150, state:28> county:089> tract:030400> block group:3",208.0,45.0,,,,,,,,,,4519,39.3,39.3,-666666666.0,31.8,-666666666.0,38.5,-666666666.0,39.4
