,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9501, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950100> block group:2",101,61,,,,,,,,,,1061,62.5,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,62.5
"Block Group 3, Census Tract 9502, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950200> block group:3",203,105,,,,,,,,,,907,48.1,47.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.1
"Block Group 1, Census Tract 9501, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950100> block group:1",59,25,,,,,,,,,,605,49.4,37.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4
"Block Group 5, Census Tract 9503, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950300> block group:5",70,29,,,,,,,,,,1260,40.2,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.2
"Block Group 1, Census Tract 9502, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950200> block group:1",79,31,,,,,,,,,,829,32.9,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.9
"Block Group 2, Census Tract 9502, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950200> block group:2",82,41,,,,,,,,,,1010,46.4,32.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 3, Census Tract 9501, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950100> block group:3",158,78,,,,,,,,,,917,31.1,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.1
"Block Group 3, Census Tract 9503, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950300> block group:3",70,30,,,,,,,,,,1216,61.3,54.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.7,61.3
"Block Group 4, Census Tract 9503, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950300> block group:4",41,18,,,,,,,,,,732,54.9,25.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.9
"Block Group 1, Census Tract 9503, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950300> block group:1",66,31,,,,,,,,,,1498,24.1,15.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.1
"Block Group 2, Census Tract 9503, Montgomery County, Mississippi: Summary level: 150, state:28> county:097> tract:950300> block group:2",39,20,,,,,,,,,,429,55.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.5
