,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9501.02, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950102> block group:2",130,45,,,,,,,,,,2342,27.3,65.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.3,26.8
"Block Group 2, Census Tract 9501.01, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950101> block group:2",107,47,,,,,,,,,,1537,44.4,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 3, Census Tract 9501.02, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950102> block group:3",246,111,,,,,,,,,,1949,40.8,30.1,-666666666.0,-666666666.0,-666666666.0,14.6,-666666666.0,41.7
"Block Group 2, Census Tract 9504, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950400> block group:2",97,45,,,,,,,,,,949,45.2,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 1, Census Tract 9505, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950500> block group:1",269,124,,,,,,,,,,2190,44.8,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.6,44.7
"Block Group 3, Census Tract 9503, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950300> block group:3",102,39,,,,,,,,,,2259,37.8,12.6,-666666666.0,34.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 3, Census Tract 9502, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950200> block group:3",200,98,,,,,,,,,,2310,43.1,35.2,-666666666.0,-666666666.0,-666666666.0,4.7,9.3,44.6
"Block Group 1, Census Tract 9502, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950200> block group:1",159,64,,,,,,,,,,2064,31.5,9.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,31.5
"Block Group 1, Census Tract 9504, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950400> block group:1",145,65,,,,,,,,,,2427,41.9,22.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.7
"Block Group 3, Census Tract 9504, Pontotoc County, Mississippi: Summary level: 150, state:28> county:115> tract:950400> block group:3",76,38,,,,,,,,,,1031,47.4,90.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2,47.4
