,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9503, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950300> block group:1",153,70,,,,,,,,,,776,49.5,33.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 4, Census Tract 9502, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950200> block group:4",157,47,,,,,,,,,,1047,44.7,32.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,82.2,44.7
"Block Group 4, Census Tract 9504.01, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950401> block group:4",83,35,,,,,,,,,,800,46.4,32.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 3, Census Tract 9505, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950500> block group:3",120,53,,,,,,,,,,699,55.4,34.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.4
"Block Group 1, Census Tract 9506, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950600> block group:1",123,52,,,,,,,,,,1004,35.5,33.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
"Block Group 3, Census Tract 9504.02, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950402> block group:3",151,61,,,,,,,,,,1845,-666666666.0,31.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9505, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950500> block group:2",124,53,,,,,,,,,,835,-666666666.0,31.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 3, Census Tract 9501, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950100> block group:3",111,55,,,,,,,,,,641,59.5,28.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.5
"Block Group 2, Census Tract 9501, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950100> block group:2",99,48,,,,,,,,,,512,43.8,34.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.8
"Block Group 1, Census Tract 9501, Sunflower County, Mississippi: Summary level: 150, state:28> county:133> tract:950100> block group:1",151,21,,,,,,,,,,1308,30.2,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.2
