,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9503, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950300> block group:3",74,32,,,,,,,,,,993,37.3,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.1,37.3
"Block Group 1, Census Tract 9502, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950200> block group:1",101,49,,,,,,,,,,1757,45.3,38.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.3
"Block Group 4, Census Tract 9501, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950100> block group:4",44,20,,,,,,,,,,1108,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.6
"Block Group 1, Census Tract 9501, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950100> block group:1",161,90,,,,,,,,,,1019,56.7,23.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.7
"Block Group 5, Census Tract 9504, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950400> block group:5",95,37,,,,,,,,,,1225,38.3,42.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 4, Census Tract 9504, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950400> block group:4",80,26,,,,,,,,,,1231,32.2,25.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.2
"Block Group 2, Census Tract 9502, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950200> block group:2",150,63,,,,,,,,,,2741,37.6,34.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.5,37.5
"Block Group 1, Census Tract 9503, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950300> block group:1",68,23,,,,,,,,,,640,67.2,21.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,67.2
"Block Group 2, Census Tract 9503, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950300> block group:2",105,43,,,,,,,,,,1353,36.5,13.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.5
"Block Group 3, Census Tract 9502, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950200> block group:3",107,43,,,,,,,,,,2061,31.6,61.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.6
"Block Group 2, Census Tract 9501, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950100> block group:2",89,41,,,,,,,,,,1045,57.1,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.1
"Block Group 3, Census Tract 9501, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950100> block group:3",130,60,,,,,,,,,,1515,30.3,53.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.4,30.3
"Block Group 1, Census Tract 9504, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950400> block group:1",32,15,,,,,,,,,,515,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 6, Census Tract 9504, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950400> block group:6",109,43,,,,,,,,,,596,42.8,19.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 3, Census Tract 9504, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950400> block group:3",112,48,,,,,,,,,,2384,41.1,60.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.2
"Block Group 2, Census Tract 9504, Tippah County, Mississippi: Summary level: 150, state:28> county:139> tract:950400> block group:2",326,135,,,,,,,,,,1871,42.4,56.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.1
