,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9506, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950600> block group:1",122,50,,,,,,,,,,1294,41.0,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 1, Census Tract 9501, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950100> block group:1",98,41,,,,,,,,,,1458,36.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.4
"Block Group 2, Census Tract 9502, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950200> block group:2",114,46,,,,,,,,,,1733,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 3, Census Tract 9503, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950300> block group:3",187,76,,,,,,,,,,2175,37.9,39.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.2
"Block Group 1, Census Tract 9505, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950500> block group:1",76,26,,,,,,,,,,1494,30.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.5
"Block Group 3, Census Tract 9505, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950500> block group:3",64,33,,,,,,,,,,1370,45.4,63.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.5
"Block Group 1, Census Tract 9504, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950400> block group:1",94,39,,,,,,,,,,1071,40.5,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 3, Census Tract 9502, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950200> block group:3",126,51,,,,,,,,,,2164,45.3,27.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.7,45.3
"Block Group 1, Census Tract 9502, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950200> block group:1",172,78,,,,,,,,,,1282,42.0,44.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
"Block Group 1, Census Tract 9503, Union County, Mississippi: Summary level: 150, state:28> county:145> tract:950300> block group:1",97,40,,,,,,,,,,1534,35.6,27.8,-666666666.0,12.8,-666666666.0,-666666666.0,22.4,36.3
