,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9502, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950200> block group:2",71,31,,,,,,,,,,935,53.9,45.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.9
"Block Group 2, Census Tract 9508, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950800> block group:2",152,69,,,,,,,,,,2047,49.6,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.6
"Block Group 1, Census Tract 9511.01, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:951101> block group:1",75,41,,,,,,,,,,1595,54.3,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.2
"Block Group 1, Census Tract 9511.02, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:951102> block group:1",158,71,,,,,,,,,,1972,47.3,30.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.7,47.3
"Block Group 4, Census Tract 9504, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950400> block group:4",71,34,,,,,,,,,,954,40.5,24.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 2, Census Tract 9505, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950500> block group:2",92,38,,,,,,,,,,766,63.5,44.8,15.8,-666666666.0,-666666666.0,-666666666.0,87.3,62.3
"Block Group 2, Census Tract 9506, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950600> block group:2",116,53,,,,,,,,,,2031,61.0,42.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.0
"Block Group 4, Census Tract 9506, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950600> block group:4",53,21,,,,,,,,,,1111,37.5,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.5
"Block Group 1, Census Tract 9503, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950300> block group:1",51,24,,,,,,,,,,695,-666666666.0,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 2, Census Tract 9509.02, Warren County, Mississippi: Summary level: 150, state:28> county:149> tract:950902> block group:2",139,54,,,,,,,,,,2108,43.2,31.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
