,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9503, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950300> block group:4",36,17,,,,,,,,,,809,39.3,44.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.3
"Block Group 5, Census Tract 9503, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950300> block group:5",52,23,,,,,,,,,,943,44.6,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.6
"Block Group 1, Census Tract 9501, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950100> block group:1",107,47,,,,,,,,,,1213,41.1,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.1
"Block Group 1, Census Tract 9503, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950300> block group:1",51,33,,,,,,,,,,1427,39.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 2, Census Tract 9503, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950300> block group:2",160,74,,,,,,,,,,1161,55.8,27.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.8
"Block Group 3, Census Tract 9503, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950300> block group:3",57,21,,,,,,,,,,940,60.3,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.3
"Block Group 2, Census Tract 9502, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950200> block group:2",91,41,,,,,,,,,,903,54.1,24.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.1
"Block Group 3, Census Tract 9502, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950200> block group:3",105,39,,,,,,,,,,1043,32.9,39.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.7
"Block Group 1, Census Tract 9502, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950200> block group:1",77,36,,,,,,,,,,843,48.8,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.8
"Block Group 4, Census Tract 9502, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950200> block group:4",103,44,,,,,,,,,,1071,30.2,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.2
"Block Group 2, Census Tract 9501, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950100> block group:2",96,59,,,,,,,,,,1052,56.3,56.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.6
"Block Group 3, Census Tract 9501, Yalobusha County, Mississippi: Summary level: 150, state:28> county:161> tract:950100> block group:3",203,117,,,,,,,,,,976,41.3,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
