,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9602, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960200> block group:1",117,50,,,,,,,,,,1549,53.7,-666666666.0,-666666666.0,28.4,41.5,-666666666.0,22.6,53.8
"Block Group 2, Census Tract 9602, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960200> block group:2",154,70,,,,,,,,,,821,37.5,-666666666.0,21.0,17.8,-666666666.0,-666666666.0,12.4,40.6
"Block Group 5, Census Tract 9605, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960500> block group:5",73,29,,,,,,,,,,1236,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.7
"Block Group 4, Census Tract 9605, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960500> block group:4",88,31,,,,,,,,,,1560,45.1,18.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.9,51.0
"Block Group 3, Census Tract 9602, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960200> block group:3",78,29,,,,,,,,,,1896,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 5, Census Tract 9602, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960200> block group:5",305,124,,,,,,,,,,1850,40.0,-666666666.0,15.9,-666666666.0,-666666666.0,16.8,24.7,45.4
"Block Group 2, Census Tract 9601, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960100> block group:2",121,51,,,,,,,,,,1779,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.1,49.4
"Block Group 3, Census Tract 9601, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960100> block group:3",24,19,,,,,,,,,,400,59.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.1
"Block Group 5, Census Tract 9601, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960100> block group:5",46,42,,,,,,,,,,961,64.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.1
"Block Group 2, Census Tract 9606, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960600> block group:2",273,220,,,,,,,,,,1715,60.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.6,60.9
"Block Group 6, Census Tract 9603, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960300> block group:6",53,18,,,,,,,,,,1119,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.4,33.8
"Block Group 1, Census Tract 9603, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960300> block group:1",46,19,,,,,,,,,,682,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.7,-666666666.0,29.7
"Block Group 4, Census Tract 9603, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960300> block group:4",67,31,,,,,,,,,,1062,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,25.0,39.5
"Block Group 2, Census Tract 9603, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960300> block group:2",36,19,,,,,,,,,,958,27.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.1,-666666666.0,27.5
"Block Group 1, Census Tract 9604.02, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960402> block group:1",254,107,,,,,,,,,,1113,37.3,-666666666.0,51.2,47.4,-666666666.0,23.5,16.8,41.3
"Block Group 1, Census Tract 9604.01, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960401> block group:1",311,147,,,,,,,,,,1820,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7,44.2
"Block Group 2, Census Tract 9604.01, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960401> block group:2",98,45,,,,,,,,,,1180,35.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.0
"Block Group 1, Census Tract 9606, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960600> block group:1",103,89,,,,,,,,,,1366,60.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.6
"Block Group 2, Census Tract 9604.02, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960402> block group:2",191,76,,,,,,,,,,950,45.3,-666666666.0,-666666666.0,10.3,-666666666.0,-666666666.0,47.5,45.3
"Block Group 2, Census Tract 9605, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960500> block group:2",43,18,,,,,,,,,,849,37.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 3, Census Tract 9605, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960500> block group:3",83,25,,,,,,,,,,1264,27.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,-666666666.0,27.9
"Block Group 4, Census Tract 9602, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960200> block group:4",32,14,,,,,,,,,,717,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.0,37.9
"Block Group 1, Census Tract 9601, Barry County, Missouri: Summary level: 150, state:29> county:009> tract:960100> block group:1",68,28,,,,,,,,,,1659,42.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4
