,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9502, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950200> block group:3",208,103,,,,,,,,,,769,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 6, Census Tract 9502, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950200> block group:6",192,90,,,,,,,,,,733,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.1,42.8
"Block Group 5, Census Tract 9502, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950200> block group:5",272,139,,,,,,,,,,1269,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.1,47.2
"Block Group 2, Census Tract 9501, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950100> block group:2",199,120,,,,,,,,,,497,45.1,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.8,45.0
"Block Group 4, Census Tract 9501, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950100> block group:4",277,144,,,,,,,,,,814,41.8,64.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2,40.9
"Block Group 1, Census Tract 9501, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950100> block group:1",205,101,,,,,,,,,,598,47.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.5,47.7
"Block Group 2, Census Tract 9502, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950200> block group:2",222,95,,,,,,,,,,1060,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 3, Census Tract 9501, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950100> block group:3",233,125,,,,,,,,,,601,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.3,41.6
"Block Group 1, Census Tract 9502, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950200> block group:1",184,96,,,,,,,,,,1191,53.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.0
"Block Group 4, Census Tract 9502, Caldwell County, Missouri: Summary level: 150, state:29> county:025> tract:950200> block group:4",381,157,,,,,,,,,,1551,31.3,33.1,-666666666.0,-666666666.0,-666666666.0,24.6,16.8,31.3
