,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 702, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070200> block group:4",71,31,,,,,,,,,,580,41.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.9
"Block Group 3, Census Tract 702, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070200> block group:3",91,49,,,,,,,,,,1233,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.5
"Block Group 1, Census Tract 702, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070200> block group:1",75,42,,,,,,,,,,875,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1
"Block Group 2, Census Tract 707, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070700> block group:2",126,54,,,,,,,,,,2445,38.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.5
"Block Group 5, Census Tract 704, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070400> block group:5",57,26,,,,,,,,,,1348,31.2,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.0
"Block Group 3, Census Tract 704, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070400> block group:3",51,28,,,,,,,,,,963,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.4
"Block Group 4, Census Tract 704, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070400> block group:4",40,18,,,,,,,,,,684,30.3,18.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.5,30.0
"Block Group 2, Census Tract 704, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070400> block group:2",245,13,,,,,,,,,,1599,20.4,25.5,-666666666.0,19.1,-666666666.0,18.6,2.9,20.4
"Block Group 1, Census Tract 704, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070400> block group:1",113,20,,,,,,,,,,994,21.3,42.4,-666666666.0,57.6,-666666666.0,21.5,6.9,21.3
"Block Group 3, Census Tract 701, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070100> block group:3",74,37,,,,,,,,,,906,28.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.2
"Block Group 2, Census Tract 701, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070100> block group:2",71,30,,,,,,,,,,1419,48.2,54.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.7,50.2
"Block Group 4, Census Tract 701, Callaway County, Missouri: Summary level: 150, state:29> county:027> tract:070100> block group:4",198,90,,,,,,,,,,1396,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.7,41.0
