,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9504, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950400> block group:2",238,103,,,,,,,,,,1831,41.2,53.3,52.5,-666666666.0,-666666666.0,30.3,22.8,41.4
"Block Group 2, Census Tract 9503, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950300> block group:2",39,22,,,,,,,,,,545,33.8,54.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.5,33.8
"Block Group 1, Census Tract 9503, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950300> block group:1",159,71,,,,,,,,,,1724,53.7,40.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,11.5,53.7
"Block Group 2, Census Tract 9501, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950100> block group:2",684,302,,,,,,,,,,2255,34.7,44.0,-666666666.0,57.8,-666666666.0,-666666666.0,8.7,34.6
"Block Group 1, Census Tract 9501, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950100> block group:1",154,74,,,,,,,,,,882,51.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.6
"Block Group 2, Census Tract 9505, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950500> block group:2",256,117,,,,,,,,,,671,40.1,24.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5,40.1
"Block Group 1, Census Tract 9505, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950500> block group:1",366,158,,,,,,,,,,1143,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.6,45.0
"Block Group 2, Census Tract 9502, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950200> block group:2",144,63,,,,,,,,,,1046,37.2,29.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.8,37.3
"Block Group 3, Census Tract 9505, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950500> block group:3",255,113,,,,,,,,,,1306,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 4, Census Tract 9505, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950500> block group:4",268,126,,,,,,,,,,642,45.6,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.6
"Block Group 5, Census Tract 9505, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950500> block group:5",399,174,,,,,,,,,,1158,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.9,37.8
"Block Group 1, Census Tract 9502, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950200> block group:1",389,49,,,,,,,,,,2067,33.9,29.3,-666666666.0,-666666666.0,-666666666.0,27.3,33.2,35.0
"Block Group 1, Census Tract 9504, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950400> block group:1",82,40,,,,,,,,,,720,30.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.5
"Block Group 3, Census Tract 9503, Cooper County, Missouri: Summary level: 150, state:29> county:053> tract:950300> block group:3",156,63,,,,,,,,,,1603,48.6,24.0,-666666666.0,-666666666.0,-666666666.0,12.8,26.3,48.6
