,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9602, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960200> block group:3",355,178,,,,,,,,,,2441,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 1, Census Tract 9601, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960100> block group:1",90,54,,,,,,,,,,542,52.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.3
"Block Group 3, Census Tract 9601, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960100> block group:3",424,201,,,,,,,,,,2396,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.4,44.7
"Block Group 1, Census Tract 9603, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960300> block group:1",88,45,,,,,,,,,,1142,50.1,80.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.2
"Block Group 3, Census Tract 9603, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960300> block group:3",57,32,,,,,,,,,,685,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 2, Census Tract 9604, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960400> block group:2",76,37,,,,,,,,,,882,36.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.9
"Block Group 1, Census Tract 9602, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960200> block group:1",268,110,,,,,,,,,,1983,42.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.6,42.8
"Block Group 3, Census Tract 9604, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960400> block group:3",75,36,,,,,,,,,,1067,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1
"Block Group 2, Census Tract 9602, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960200> block group:2",135,59,,,,,,,,,,972,49.3,-666666666.0,57.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.3
"Block Group 2, Census Tract 9601, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960100> block group:2",106,49,,,,,,,,,,1463,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 2, Census Tract 9603, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960300> block group:2",61,23,,,,,,,,,,686,36.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.3
"Block Group 1, Census Tract 9604, Dent County, Missouri: Summary level: 150, state:29> county:065> tract:960400> block group:1",101,40,,,,,,,,,,1353,27.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.3,27.4
