,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 3610, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:361000> block group:3",211,89,,,,,,,,,,792,31.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6,3.4,33.2
"Block Group 2, Census Tract 3608, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360800> block group:2",206,103,,,,,,,,,,1122,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.6,-666666666.0,50.3
"Block Group 1, Census Tract 3609, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360900> block group:1",84,42,,,,,,,,,,714,45.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 2, Census Tract 3609, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360900> block group:2",119,55,,,,,,,,,,630,45.4,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 2, Census Tract 3601, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360100> block group:2",66,31,,,,,,,,,,829,39.5,18.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 1, Census Tract 3601, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360100> block group:1",62,29,,,,,,,,,,984,43.9,18.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.3,43.9
"Block Group 2, Census Tract 3602, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360200> block group:2",61,28,,,,,,,,,,666,54.6,18.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.0,54.6
"Block Group 1, Census Tract 3602, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360200> block group:1",85,38,,,,,,,,,,820,44.9,15.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.9
"Block Group 3, Census Tract 3603, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360300> block group:3",70,39,,,,,,,,,,644,51.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.8
"Block Group 2, Census Tract 3603, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360300> block group:2",46,22,,,,,,,,,,678,34.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.5
"Block Group 4, Census Tract 3603, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360300> block group:4",114,58,,,,,,,,,,944,33.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.4
"Block Group 1, Census Tract 3610, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:361000> block group:1",73,37,,,,,,,,,,457,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.7
"Block Group 3, Census Tract 3607, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360700> block group:3",68,36,,,,,,,,,,829,46.8,17.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 1, Census Tract 3604, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360400> block group:1",316,154,,,,,,,,,,1945,44.0,17.0,-666666666.0,-666666666.0,-666666666.0,8.8,4.6,44.4
"Block Group 3, Census Tract 3604, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360400> block group:3",221,106,,,,,,,,,,1475,43.8,-666666666.0,-666666666.0,40.2,-666666666.0,-666666666.0,-666666666.0,45.8
"Block Group 1, Census Tract 3605, Dunklin County, Missouri: Summary level: 150, state:29> county:069> tract:360500> block group:1",100,33,,,,,,,,,,1082,41.1,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
