,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9604, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960400> block group:1",208,92,,,,,,,,,,1524,31.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.0
"Block Group 1, Census Tract 9603, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960300> block group:1",187,104,,,,,,,,,,1791,52.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.1,52.3
"Block Group 3, Census Tract 9605, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960500> block group:3",126,55,,,,,,,,,,964,50.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.2
"Block Group 2, Census Tract 9603, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960300> block group:2",217,99,,,,,,,,,,1232,38.6,-666666666.0,12.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.6
"Block Group 2, Census Tract 9602, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960200> block group:2",252,160,,,,,,,,,,906,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.6,49.1
"Block Group 1, Census Tract 9605, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960500> block group:1",236,110,,,,,,,,,,1150,51.8,-666666666.0,-666666666.0,55.6,-666666666.0,-666666666.0,-666666666.0,52.0
"Block Group 4, Census Tract 9605, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960500> block group:4",107,50,,,,,,,,,,1077,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 3, Census Tract 9601, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960100> block group:3",120,54,,,,,,,,,,808,58.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.1
"Block Group 2, Census Tract 9601, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960100> block group:2",125,64,,,,,,,,,,933,38.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 2, Census Tract 9604, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960400> block group:2",198,91,,,,,,,,,,1509,45.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.4
"Block Group 1, Census Tract 9602, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960200> block group:1",167,81,,,,,,,,,,1005,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.9
"Block Group 2, Census Tract 9605, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960500> block group:2",133,76,,,,,,,,,,1050,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.5,48.5
"Block Group 1, Census Tract 9601, Gasconade County, Missouri: Summary level: 150, state:29> county:073> tract:960100> block group:1",167,75,,,,,,,,,,999,47.3,-666666666.0,-666666666.0,33.3,-666666666.0,-666666666.0,-666666666.0,47.3
