,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 25.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002502> block group:3",49,29,,,,,,,,,,797,62.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4,62.1
"Block Group 3, Census Tract 5.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000502> block group:3",58,25,,,,,,,,,,889,32.7,23.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,0.0,32.7
"Block Group 2, Census Tract 24.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002402> block group:2",179,86,,,,,,,,,,2081,52.6,45.5,38.5,38.3,-666666666.0,-666666666.0,12.6,52.6
"Block Group 1, Census Tract 24.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002402> block group:1",136,66,,,,,,,,,,1882,29.2,21.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.4,29.5
"Block Group 1, Census Tract 25.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002502> block group:1",151,72,,,,,,,,,,2518,41.7,32.7,-666666666.0,41.1,-666666666.0,-666666666.0,-666666666.0,41.7
"Block Group 1, Census Tract 58, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005800> block group:1",140,39,,,,,,,,,,2118,46.8,43.5,42.6,-666666666.0,-666666666.0,32.8,37.1,48.0
"Block Group 3, Census Tract 57, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005700> block group:3",130,81,,,,,,,,,,1706,26.8,-666666666.0,-666666666.0,28.7,-666666666.0,-666666666.0,7.5,26.8
"Block Group 1, Census Tract 57, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005700> block group:1",108,50,,,,,,,,,,1450,47.2,-666666666.0,39.2,-666666666.0,-666666666.0,-666666666.0,10.6,45.8
"Block Group 1, Census Tract 3, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000300> block group:1",49,25,,,,,,,,,,499,23.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.3
"Block Group 2, Census Tract 3, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000300> block group:2",63,31,,,,,,,,,,732,31.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.9
