,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9603, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960300> block group:3",64,27,,,,,,,,,,530,33.8,28.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.8
"Block Group 2, Census Tract 9603, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960300> block group:2",142,41,,,,,,,,,,1380,38.2,26.2,17.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.2
"Block Group 2, Census Tract 9604, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960400> block group:2",79,39,,,,,,,,,,713,31.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.4
"Block Group 1, Census Tract 9604, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960400> block group:1",134,51,,,,,,,,,,1421,47.3,72.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 4, Census Tract 9604, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960400> block group:4",109,50,,,,,,,,,,867,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 2, Census Tract 9602, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960200> block group:2",281,132,,,,,,,,,,1385,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 1, Census Tract 9601, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960100> block group:1",222,128,,,,,,,,,,651,53.3,-666666666.0,-666666666.0,54.0,-666666666.0,-666666666.0,-666666666.0,53.3
"Block Group 3, Census Tract 9601, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960100> block group:3",289,135,,,,,,,,,,697,45.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.3,45.1
"Block Group 1, Census Tract 9603, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960300> block group:1",55,27,,,,,,,,,,619,36.7,-666666666.0,22.7,-666666666.0,-666666666.0,-666666666.0,26.3,36.7
"Block Group 3, Census Tract 9604, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960400> block group:3",56,34,,,,,,,,,,515,55.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.6
"Block Group 1, Census Tract 9602, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960200> block group:1",245,119,,,,,,,,,,756,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.2,39.7
"Block Group 2, Census Tract 9601, Grundy County, Missouri: Summary level: 150, state:29> county:079> tract:960100> block group:2",219,105,,,,,,,,,,722,44.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
