,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 9602, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960200> block group:1",148,64,,,,,,,,,,1080,40.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,3.9,40.7
"Block Group 2, Census Tract 9601, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960100> block group:2",242,103,,,,,,,,,,1151,47.3,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.5,47.7
"Block Group 1, Census Tract 9601, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960100> block group:1",220,100,,,,,,,,,,1165,41.0,26.4,-666666666.0,50.4,-666666666.0,-666666666.0,11.9,42.1
"Block Group 4, Census Tract 9603, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960300> block group:4",103,52,,,,,,,,,,691,42.9,63.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.6,42.9
"Block Group 1, Census Tract 9603, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960300> block group:1",82,32,,,,,,,,,,811,38.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.5
"Block Group 2, Census Tract 9602, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960200> block group:2",120,48,,,,,,,,,,1100,40.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.1
"Block Group 2, Census Tract 9603, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960300> block group:2",250,65,,,,,,,,,,1428,22.5,27.6,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.4
"Block Group 3, Census Tract 9602, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960200> block group:3",253,131,,,,,,,,,,1300,45.4,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.8,45.7
"Block Group 3, Census Tract 9601, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960100> block group:3",183,89,,,,,,,,,,772,38.6,50.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 3, Census Tract 9603, Howard County, Missouri: Summary level: 150, state:29> county:089> tract:960300> block group:3",96,49,,,,,,,,,,684,36.9,23.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
