,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 103, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:010300> block group:3",35,14,,,,,,,,,,654,32.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.8
"Block Group 1, Census Tract 118, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:011800> block group:1",197,87,,,,,,,,,,1914,34.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,14.6,47.0
"Block Group 3, Census Tract 118, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:011800> block group:3",61,23,,,,,,,,,,595,34.6,-666666666.0,-666666666.0,-666666666.0,11.5,-666666666.0,5.2,38.1
"Block Group 4, Census Tract 118, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:011800> block group:4",74,25,,,,,,,,,,909,25.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1,-666666666.0,46.6
"Block Group 3, Census Tract 121, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:012100> block group:3",179,71,,,,,,,,,,1506,43.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5,46.1
"Block Group 1, Census Tract 121, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:012100> block group:1",115,47,,,,,,,,,,648,47.7,-666666666.0,-666666666.0,31.6,-666666666.0,-666666666.0,-666666666.0,48.1
"Block Group 1, Census Tract 103, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:010300> block group:1",161,71,,,,,,,,,,3252,30.2,19.3,34.2,-666666666.0,-666666666.0,19.3,25.2,30.5
"Block Group 4, Census Tract 116, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:011600> block group:4",135,29,,,,,,,,,,1499,32.7,28.7,-666666666.0,-666666666.0,-666666666.0,34.7,29.2,44.0
"Block Group 3, Census Tract 116, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:011600> block group:3",40,15,,,,,,,,,,646,26.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.4,-666666666.0,28.9
"Block Group 5, Census Tract 116, Jasper County, Missouri: Summary level: 150, state:29> county:097> tract:011600> block group:5",90,39,,,,,,,,,,1107,31.4,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.4,32.9
