,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9604, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960400> block group:4",56,29,,,,,,,,,,541,53.8,21.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.6
"Block Group 5, Census Tract 9602.98, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960298> block group:5",196,83,,,,,,,,,,942,45.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.8,45.0
"Block Group 2, Census Tract 9602.98, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960298> block group:2",88,31,,,,,,,,,,1520,28.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7
"Block Group 1, Census Tract 9602.98, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960298> block group:1",68,27,,,,,,,,,,887,32.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.8
"Block Group 3, Census Tract 9602.98, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960298> block group:3",129,59,,,,,,,,,,719,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.2
"Block Group 2, Census Tract 9605, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960500> block group:2",30,19,,,,,,,,,,767,33.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.4
"Block Group 4, Census Tract 9605, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960500> block group:4",146,66,,,,,,,,,,2855,46.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.8,48.3
"Block Group 1, Census Tract 9605, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960500> block group:1",40,21,,,,,,,,,,764,37.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
"Block Group 3, Census Tract 9606, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960600> block group:3",56,26,,,,,,,,,,668,26.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.9
"Block Group 1, Census Tract 9606, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960600> block group:1",61,31,,,,,,,,,,772,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 2, Census Tract 9603, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960300> block group:2",67,29,,,,,,,,,,1437,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.8
"Block Group 3, Census Tract 9603, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960300> block group:3",124,43,,,,,,,,,,2164,33.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.1
"Block Group 5, Census Tract 9603, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960300> block group:5",50,22,,,,,,,,,,898,48.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,26.6,48.1
"Block Group 1, Census Tract 9603, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960300> block group:1",67,27,,,,,,,,,,1230,33.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.4,34.2
"Block Group 3, Census Tract 9601, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960100> block group:3",85,41,,,,,,,,,,1691,39.1,-666666666.0,45.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.1
"Block Group 1, Census Tract 9601, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960100> block group:1",121,51,,,,,,,,,,2194,41.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.2
"Block Group 1, Census Tract 9604, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960400> block group:1",117,48,,,,,,,,,,1337,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3
"Block Group 2, Census Tract 9601, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960100> block group:2",128,54,,,,,,,,,,1761,36.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.7
"Block Group 2, Census Tract 9604, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960400> block group:2",94,57,,,,,,,,,,1229,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.1
"Block Group 3, Census Tract 9604, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960400> block group:3",49,23,,,,,,,,,,682,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.5
"Block Group 4, Census Tract 9602.98, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960298> block group:4",103,51,,,,,,,,,,647,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.4
"Block Group 6, Census Tract 9602.98, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960298> block group:6",77,43,,,,,,,,,,588,55.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.7,55.7
"Block Group 3, Census Tract 9605, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960500> block group:3",72,27,,,,,,,,,,1227,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17.9,47.4
"Block Group 2, Census Tract 9606, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960600> block group:2",62,31,,,,,,,,,,822,34.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 4, Census Tract 9606, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960600> block group:4",204,87,,,,,,,,,,2598,33.6,-666666666.0,-666666666.0,20.0,-666666666.0,-666666666.0,11.1,33.7
"Block Group 4, Census Tract 9603, Laclede County, Missouri: Summary level: 150, state:29> county:105> tract:960300> block group:4",113,36,,,,,,,,,,1940,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
