,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 9703, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970300> block group:2",124,57,,,,,,,,,,836,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,32.3,-666666666.0,47.2
"Block Group 1, Census Tract 9703, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970300> block group:1",143,56,,,,,,,,,,805,45.5,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.3,45.5
"Block Group 2, Census Tract 9704, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970400> block group:2",219,106,,,,,,,,,,1067,42.5,40.2,47.5,-666666666.0,-666666666.0,-666666666.0,12.2,42.6
"Block Group 1, Census Tract 9704, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970400> block group:1",100,51,,,,,,,,,,753,46.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,46.6
"Block Group 2, Census Tract 9702, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970200> block group:2",207,114,,,,,,,,,,735,46.4,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 3, Census Tract 9702, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970200> block group:3",247,119,,,,,,,,,,797,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.0
"Block Group 2, Census Tract 9701, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970100> block group:2",233,50,,,,,,,,,,1187,22.6,24.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.6
"Block Group 3, Census Tract 9701, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970100> block group:3",169,90,,,,,,,,,,1039,40.8,51.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.4,40.8
"Block Group 3, Census Tract 9703, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970300> block group:3",209,87,,,,,,,,,,996,52.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.0,52.5
"Block Group 1, Census Tract 9702, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970200> block group:1",124,51,,,,,,,,,,782,30.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.4
"Block Group 1, Census Tract 9701, Lewis County, Missouri: Summary level: 150, state:29> county:111> tract:970100> block group:1",122,45,,,,,,,,,,1175,29.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.3,29.5
