,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 9605, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960500> block group:3",38,18,,,,,,,,,,454,46.3,44.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 1, Census Tract 9605, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960500> block group:1",68,26,,,,,,,,,,1003,27.8,18.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.6
"Block Group 4, Census Tract 9605, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960500> block group:4",61,40,,,,,,,,,,714,53.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.3
"Block Group 2, Census Tract 9601, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960100> block group:2",173,86,,,,,,,,,,729,49.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.1
"Block Group 1, Census Tract 9604, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960400> block group:1",193,59,,,,,,,,,,1666,37.9,61.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.5,37.9
"Block Group 2, Census Tract 9604, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960400> block group:2",107,51,,,,,,,,,,1066,42.8,-666666666.0,-666666666.0,26.5,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 2, Census Tract 9602, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960200> block group:2",266,125,,,,,,,,,,687,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 3, Census Tract 9602, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960200> block group:3",259,139,,,,,,,,,,713,48.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.5,48.5
"Block Group 1, Census Tract 9602, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960200> block group:1",349,181,,,,,,,,,,1325,40.3,-666666666.0,11.5,-666666666.0,-666666666.0,-666666666.0,54.7,40.4
"Block Group 2, Census Tract 9603, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960300> block group:2",243,144,,,,,,,,,,768,49.8,28.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.4,49.8
"Block Group 3, Census Tract 9603, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960300> block group:3",133,68,,,,,,,,,,936,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 1, Census Tract 9603, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960300> block group:1",156,86,,,,,,,,,,934,50.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.8
"Block Group 1, Census Tract 9601, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960100> block group:1",171,103,,,,,,,,,,755,49.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.5
"Block Group 4, Census Tract 9603, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960300> block group:4",90,44,,,,,,,,,,1148,37.9,-666666666.0,18.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.9
"Block Group 2, Census Tract 9605, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960500> block group:2",44,22,,,,,,,,,,464,34.4,54.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.4
"Block Group 3, Census Tract 9601, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960100> block group:3",280,137,,,,,,,,,,890,38.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.1,39.0
"Block Group 3, Census Tract 9604, Macon County, Missouri: Summary level: 150, state:29> county:121> tract:960400> block group:3",136,74,,,,,,,,,,1208,47.9,23.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,2.6,52.0
