,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 4801, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480100> block group:2",234,83,,,,,,,,,,1682,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,68.0,40.8
"Block Group 3, Census Tract 4801, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480100> block group:3",309,135,,,,,,,,,,851,40.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.3
"Block Group 1, Census Tract 4801, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480100> block group:1",268,94,,,,,,,,,,1383,48.9,54.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.7,49.0
"Block Group 2, Census Tract 4802, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480200> block group:2",264,119,,,,,,,,,,1038,43.4,14.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2,43.4
"Block Group 3, Census Tract 4806, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480600> block group:3",90,44,,,,,,,,,,715,37.9,64.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.5,39.2
"Block Group 1, Census Tract 4802, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480200> block group:1",393,156,,,,,,,,,,1600,40.8,60.2,-666666666.0,-666666666.0,20.1,-666666666.0,24.3,42.1
"Block Group 3, Census Tract 4802, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480200> block group:3",131,48,,,,,,,,,,2018,47.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,18.6,47.0
"Block Group 4, Census Tract 4802, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480200> block group:4",242,98,,,,,,,,,,1393,34.0,19.8,-666666666.0,-666666666.0,-666666666.0,22.4,-666666666.0,37.7
"Block Group 1, Census Tract 4806, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480600> block group:1",87,34,,,,,,,,,,803,15.0,52.3,-666666666.0,-666666666.0,-666666666.0,24.6,13.1,15.8
"Block Group 2, Census Tract 4806, Pettis County, Missouri: Summary level: 150, state:29> county:159> tract:480600> block group:2",101,50,,,,,,,,,,607,41.5,50.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.5,41.4
