,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 304.01, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030401> block group:2",220.0,73.0,,,,,,,,,,2240,41.7,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 4, Census Tract 304.01, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030401> block group:4",109.0,40.0,,,,,,,,,,1158,35.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.5,-666666666.0,35.4
"Block Group 3, Census Tract 302.05, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030205> block group:3",135.0,54.0,,,,,,,,,,2398,37.2,29.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,24.9,37.3
"Block Group 1, Census Tract 303.08, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030308> block group:1",133.0,83.0,,,,,,,,,,2555,36.0,59.6,-666666666.0,33.5,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 1, Census Tract 302.10, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030210> block group:1",249.0,86.0,,,,,,,,,,2027,31.7,35.2,-666666666.0,31.5,-666666666.0,-666666666.0,10.5,31.6
"Block Group 1, Census Tract 303.07, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030307> block group:1",0.0,0.0,,,,,,,,,,0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
"Block Group 5, Census Tract 300.01, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030001> block group:5",81.0,42.0,,,,,,,,,,1905,26.0,48.6,-666666666.0,32.5,-666666666.0,-666666666.0,-666666666.0,32.3
"Block Group 3, Census Tract 304.01, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030401> block group:3",210.0,84.0,,,,,,,,,,948,54.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.1
"Block Group 4, Census Tract 302.09, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030209> block group:4",100.0,40.0,,,,,,,,,,855,37.4,-666666666.0,-666666666.0,54.1,-666666666.0,-666666666.0,27.5,37.4
"Block Group 3, Census Tract 303.06, Platte County, Missouri: Summary level: 150, state:29> county:165> tract:030306> block group:3",114.0,35.0,,,,,,,,,,1387,37.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
