,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 9604, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960400> block group:4",243,45,,,,,,,,,,2780,24.0,22.1,-666666666.0,23.3,-666666666.0,-666666666.0,53.0,25.4
"Block Group 1, Census Tract 9604, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960400> block group:1",142,68,,,,,,,,,,681,53.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.7
"Block Group 2, Census Tract 9604, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960400> block group:2",66,23,,,,,,,,,,1021,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.3,47.5
"Block Group 5, Census Tract 9604, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960400> block group:5",226,93,,,,,,,,,,1137,30.3,10.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,30.3
"Block Group 6, Census Tract 9604, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960400> block group:6",142,70,,,,,,,,,,1167,48.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.5,48.9
"Block Group 1, Census Tract 9601, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960100> block group:1",378,151,,,,,,,,,,1419,46.4,5.6,33.9,-666666666.0,-666666666.0,-666666666.0,25.4,46.4
"Block Group 5, Census Tract 9601, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960100> block group:5",145,52,,,,,,,,,,1921,35.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,16.4,35.3
"Block Group 2, Census Tract 9601, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960100> block group:2",110,65,,,,,,,,,,665,59.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.3
"Block Group 4, Census Tract 9603, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960300> block group:4",228,84,,,,,,,,,,1428,30.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.5,30.3
"Block Group 5, Census Tract 9603, Polk County, Missouri: Summary level: 150, state:29> county:167> tract:960300> block group:5",246,94,,,,,,,,,,2144,35.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.4,35.7
