,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 4, Census Tract 4704, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470400> block group:4",50,19,,,,,,,,,,1401,27.2,28.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.3
"Block Group 1, Census Tract 4704, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470400> block group:1",39,14,,,,,,,,,,1456,29.1,18.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.3
"Block Group 5, Census Tract 4704, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470400> block group:5",38,20,,,,,,,,,,1296,44.7,49.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.7
"Block Group 6, Census Tract 4704, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470400> block group:6",64,26,,,,,,,,,,1857,33.8,52.0,-666666666.0,48.8,-666666666.0,-666666666.0,32.2,33.7
"Block Group 3, Census Tract 4705, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470500> block group:3",181,82,,,,,,,,,,620,47.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.5,47.8
"Block Group 2, Census Tract 4705, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470500> block group:2",132,53,,,,,,,,,,1907,39.2,28.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.6
"Block Group 1, Census Tract 4701.02, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470102> block group:1",166,76,,,,,,,,,,885,38.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.3,38.8
"Block Group 3, Census Tract 4701.02, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470102> block group:3",116,53,,,,,,,,,,699,28.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.5
"Block Group 2, Census Tract 4702.87, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470287> block group:2",149,57,,,,,,,,,,2961,34.6,34.0,-666666666.0,47.2,-666666666.0,-666666666.0,15.8,34.5
"Block Group 1, Census Tract 4702.87, Pulaski County, Missouri: Summary level: 150, state:29> county:169> tract:470287> block group:1",115,51,,,,,,,,,,2909,30.8,21.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.1,30.9
