,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 7806, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:780600> block group:1",159,64,,,,,,,,,,1956,41.3,29.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 4, Census Tract 7806, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:780600> block group:4",72,32,,,,,,,,,,834,44.7,22.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.3
"Block Group 3, Census Tract 7806, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:780600> block group:3",55,28,,,,,,,,,,661,47.6,27.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 2, Census Tract 7813, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781300> block group:2",47,23,,,,,,,,,,504,34.3,13.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.3
"Block Group 3, Census Tract 7813, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781300> block group:3",71,37,,,,,,,,,,849,42.5,34.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.5
"Block Group 2, Census Tract 7810, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781000> block group:2",124,50,,,,,,,,,,1248,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.2
"Block Group 1, Census Tract 7810, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781000> block group:1",136,68,,,,,,,,,,1292,50.1,17.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.5
"Block Group 2, Census Tract 7812, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781200> block group:2",21,12,,,,,,,,,,553,47.9,60.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.9
"Block Group 5, Census Tract 7812, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781200> block group:5",20,11,,,,,,,,,,440,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 7, Census Tract 7812, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781200> block group:7",44,20,,,,,,,,,,890,50.6,8.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.9
"Block Group 6, Census Tract 7812, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781200> block group:6",27,14,,,,,,,,,,691,33.8,26.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.8
"Block Group 1, Census Tract 7812, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781200> block group:1",62,23,,,,,,,,,,981,42.8,50.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.8
"Block Group 4, Census Tract 7812, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781200> block group:4",17,7,,,,,,,,,,387,12.6,38.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,12.0
"Block Group 3, Census Tract 7812, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:781200> block group:3",39,11,,,,,,,,,,1032,41.0,22.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,8.2,41.0
"Block Group 1, Census Tract 7807, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:780700> block group:1",144,51,,,,,,,,,,1281,55.3,26.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.3
"Block Group 2, Census Tract 7807, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:780700> block group:2",105,42,,,,,,,,,,1461,33.1,26.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,33.1
"Block Group 3, Census Tract 7807, Scott County, Missouri: Summary level: 150, state:29> county:201> tract:780700> block group:3",31,17,,,,,,,,,,475,-666666666.0,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
