,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 3116.02, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311602> block group:2",248,92,,,,,,,,,,2832,42.5,40.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.0,43.3
"Block Group 1, Census Tract 3117.34, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311734> block group:1",230,85,,,,,,,,,,2599,43.1,21.0,-666666666.0,-666666666.0,-666666666.0,13.6,0.0,43.1
"Block Group 2, Census Tract 3117.34, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311734> block group:2",116,35,,,,,,,,,,1223,39.4,50.5,-666666666.0,41.6,-666666666.0,-666666666.0,-666666666.0,39.4
"Block Group 2, Census Tract 3120.95, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:312095> block group:2",45,18,,,,,,,,,,894,31.1,48.2,27.8,-666666666.0,-666666666.0,-666666666.0,7.1,31.1
"Block Group 1, Census Tract 3120.95, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:312095> block group:1",595,214,,,,,,,,,,3973,36.2,11.7,-666666666.0,33.8,-666666666.0,16.3,27.2,36.6
"Block Group 3, Census Tract 3119.07, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311907> block group:3",163,58,,,,,,,,,,3136,32.5,64.6,-666666666.0,15.0,-666666666.0,-666666666.0,-666666666.0,32.5
"Block Group 1, Census Tract 3119.07, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311907> block group:1",45,18,,,,,,,,,,1005,30.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.6
"Block Group 2, Census Tract 3115, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311500> block group:2",159,70,,,,,,,,,,1237,35.9,27.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.5,35.2
"Block Group 1, Census Tract 3114.22, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311422> block group:1",152,58,,,,,,,,,,2916,38.0,38.8,-666666666.0,68.2,-666666666.0,-666666666.0,-666666666.0,38.3
"Block Group 1, Census Tract 3112.03, St. Charles County, Missouri: Summary level: 150, state:29> county:183> tract:311203> block group:1",132,54,,,,,,,,,,2531,46.9,36.7,-666666666.0,-666666666.0,-666666666.0,41.8,-666666666.0,46.9
