,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 4708, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470800> block group:1",104,50,,,,,,,,,,1219,44.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.4
"Block Group 1, Census Tract 4706, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470600> block group:1",71,29,,,,,,,,,,1174,41.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.3
"Block Group 4, Census Tract 4706, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470600> block group:4",48,24,,,,,,,,,,745,38.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
"Block Group 2, Census Tract 4708, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470800> block group:2",187,79,,,,,,,,,,1783,44.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.2
"Block Group 2, Census Tract 4707, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470700> block group:2",150,79,,,,,,,,,,996,40.8,6.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.8
"Block Group 2, Census Tract 4705, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470500> block group:2",105,54,,,,,,,,,,1233,39.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.5,39.0
"Block Group 3, Census Tract 4705, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470500> block group:3",77,32,,,,,,,,,,1103,43.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.2,42.6
"Block Group 1, Census Tract 4702, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470200> block group:1",150,79,,,,,,,,,,1243,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.3
"Block Group 4, Census Tract 4702, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470200> block group:4",58,30,,,,,,,,,,801,44.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.1
"Block Group 2, Census Tract 4702, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470200> block group:2",116,52,,,,,,,,,,1302,40.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.9
"Block Group 3, Census Tract 4703, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470300> block group:3",179,66,,,,,,,,,,818,43.6,23.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.6
"Block Group 1, Census Tract 4701, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470100> block group:1",220,92,,,,,,,,,,633,38.0,60.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,38.0
"Block Group 3, Census Tract 4701, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470100> block group:3",316,154,,,,,,,,,,1713,42.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.2
"Block Group 1, Census Tract 4703, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470300> block group:1",228,84,,,,,,,,,,2460,39.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 2, Census Tract 4703, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470300> block group:2",233,115,,,,,,,,,,1205,45.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.2
"Block Group 3, Census Tract 4704, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470400> block group:3",112,52,,,,,,,,,,1118,47.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.1,47.9
"Block Group 2, Census Tract 4704, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470400> block group:2",242,128,,,,,,,,,,1338,42.6,47.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.0
"Block Group 1, Census Tract 4704, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470400> block group:1",101,50,,,,,,,,,,795,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.2
"Block Group 3, Census Tract 4706, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470600> block group:3",50,24,,,,,,,,,,1007,30.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.9
"Block Group 2, Census Tract 4706, Stoddard County, Missouri: Summary level: 150, state:29> county:207> tract:470600> block group:2",115,59,,,,,,,,,,1777,55.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.1
