,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 4801, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480100> block group:1",81,42,,,,,,,,,,725,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.3
"Block Group 2, Census Tract 4801, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480100> block group:2",43,21,,,,,,,,,,681,36.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.3
"Block Group 4, Census Tract 4801, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480100> block group:4",121,53,,,,,,,,,,1881,40.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.0
"Block Group 2, Census Tract 4804, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480400> block group:2",60,28,,,,,,,,,,1448,39.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.5
"Block Group 3, Census Tract 4804, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480400> block group:3",126,68,,,,,,,,,,1099,47.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,6.8,47.4
"Block Group 4, Census Tract 4804, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480400> block group:4",55,28,,,,,,,,,,957,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.7
"Block Group 2, Census Tract 4802, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480200> block group:2",142,70,,,,,,,,,,1388,48.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.4
"Block Group 1, Census Tract 4802, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480200> block group:1",304,142,,,,,,,,,,1469,50.6,-666666666.0,-666666666.0,12.6,-666666666.0,-666666666.0,62.4,50.7
"Block Group 5, Census Tract 4802, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480200> block group:5",44,24,,,,,,,,,,939,40.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.2,40.7
"Block Group 1, Census Tract 4803, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480300> block group:1",127,64,,,,,,,,,,1484,35.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.0
"Block Group 4, Census Tract 4803, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480300> block group:4",93,45,,,,,,,,,,1268,32.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,1.9,32.9
"Block Group 6, Census Tract 4803, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480300> block group:6",157,102,,,,,,,,,,1087,40.8,39.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.6
"Block Group 3, Census Tract 4803, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480300> block group:3",105,49,,,,,,,,,,1170,59.1,-666666666.0,5.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.1
"Block Group 4, Census Tract 4802, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480200> block group:4",35,20,,,,,,,,,,648,58.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,58.6
"Block Group 3, Census Tract 4801, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480100> block group:3",368,71,,,,,,,,,,2027,49.4,39.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.1,50.2
"Block Group 1, Census Tract 4804, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480400> block group:1",58,27,,,,,,,,,,1377,43.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.4
"Block Group 3, Census Tract 4802, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480200> block group:3",148,75,,,,,,,,,,814,40.3,-666666666.0,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.3
"Block Group 2, Census Tract 4803, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480300> block group:2",146,65,,,,,,,,,,1261,33.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,21.5,-666666666.0,33.8
"Block Group 5, Census Tract 4803, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480300> block group:5",45,22,,,,,,,,,,656,45.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.5
"Block Group 6, Census Tract 4801, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480100> block group:6",89,39,,,,,,,,,,991,41.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.8
"Block Group 5, Census Tract 4801, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480100> block group:5",122,69,,,,,,,,,,948,41.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.5
"Block Group 5, Census Tract 4804, Texas County, Missouri: Summary level: 150, state:29> county:215> tract:480400> block group:5",172,74,,,,,,,,,,1417,33.8,16.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,68.4,33.6
