,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 6902, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690200> block group:2",192,86,,,,,,,,,,1264,37.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,19.5,38.0
"Block Group 1, Census Tract 6904, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690400> block group:1",113,66,,,,,,,,,,768,47.6,6.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.3,48.3
"Block Group 2, Census Tract 6901, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690100> block group:2",45,26,,,,,,,,,,578,34.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,34.8
"Block Group 4, Census Tract 6901, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690100> block group:4",93,78,,,,,,,,,,1198,50.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.6
"Block Group 1, Census Tract 6901, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690100> block group:1",43,33,,,,,,,,,,634,48.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.2
"Block Group 2, Census Tract 6903, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690300> block group:2",105,45,,,,,,,,,,1028,43.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.9
"Block Group 3, Census Tract 6903, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690300> block group:3",74,58,,,,,,,,,,646,52.8,16.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.8
"Block Group 3, Census Tract 6902, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690200> block group:3",47,29,,,,,,,,,,800,49.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.8
"Block Group 4, Census Tract 6903, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690300> block group:4",138,69,,,,,,,,,,1196,43.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.9,43.9
"Block Group 1, Census Tract 6903, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690300> block group:1",132,64,,,,,,,,,,1395,35.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.8,37.3
"Block Group 4, Census Tract 6902, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690200> block group:4",75,29,,,,,,,,,,700,44.3,16.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.4,49.4
"Block Group 2, Census Tract 6904, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690400> block group:2",83,61,,,,,,,,,,750,39.3,-666666666.0,33.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.9
"Block Group 3, Census Tract 6904, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690400> block group:3",206,110,,,,,,,,,,786,52.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9,53.1
"Block Group 3, Census Tract 6901, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690100> block group:3",58,34,,,,,,,,,,849,56.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.5
"Block Group 1, Census Tract 6902, Wayne County, Missouri: Summary level: 150, state:29> county:223> tract:690200> block group:1",53,30,,,,,,,,,,805,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
