,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 4703.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470302> block group:1",180,49,,,,,,,,,,2456,23.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,23.5
"Block Group 3, Census Tract 4703.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470302> block group:3",75,28,,,,,,,,,,720,37.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.8
"Block Group 2, Census Tract 4701.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470102> block group:2",112,43,,,,,,,,,,2239,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 3, Census Tract 4701.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470102> block group:3",112,40,,,,,,,,,,2058,39.1,14.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.1
"Block Group 1, Census Tract 4702.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470202> block group:1",126,62,,,,,,,,,,1420,44.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.2,7.8,45.1
"Block Group 2, Census Tract 4702.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470202> block group:2",72,35,,,,,,,,,,695,55.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,4.6,55.2
"Block Group 3, Census Tract 4702.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470202> block group:3",165,51,,,,,,,,,,1904,29.1,16.6,18.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.6
"Block Group 1, Census Tract 4704.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470402> block group:1",283,127,,,,,,,,,,1277,29.4,46.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,15.9,29.5
"Block Group 2, Census Tract 4704.02, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470402> block group:2",299,88,,,,,,,,,,1757,43.4,35.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 2, Census Tract 4701.01, Webster County, Missouri: Summary level: 150, state:29> county:225> tract:470101> block group:2",184,82,,,,,,,,,,1071,54.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.6
