,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 1, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:000100> block group:2",133,54,,,,,,,,,,1720,49.0,-666666666.0,22.5,-666666666.0,-666666666.0,-666666666.0,6.9,49.2
"Block Group 4, Census Tract 1, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:000100> block group:4",77,31,,,,,,,,,,920,44.5,-666666666.0,24.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,44.5
"Block Group 2, Census Tract 9406, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:940600> block group:2",310,94,,,,,,,,,,1841,40.3,-666666666.0,25.6,-666666666.0,-666666666.0,-666666666.0,46.5,42.1
"Block Group 1, Census Tract 9407, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:940700> block group:1",391,198,,,,,,,,,,1089,53.5,-666666666.0,36.0,-666666666.0,-666666666.0,-666666666.0,59.5,54.4
"Block Group 2, Census Tract 9407, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:940700> block group:2",313,125,,,,,,,,,,790,60.5,-666666666.0,25.5,-666666666.0,-666666666.0,-666666666.0,64.8,60.5
"Block Group 1, Census Tract 9404, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:940400> block group:1",339,131,,,,,,,,,,1709,41.5,-666666666.0,21.1,-666666666.0,-666666666.0,-666666666.0,17.9,42.4
"Block Group 1, Census Tract 1, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:000100> block group:1",73,30,,,,,,,,,,671,64.1,-666666666.0,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,64.8
"Block Group 3, Census Tract 1, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:000100> block group:3",62,26,,,,,,,,,,1530,25.8,-666666666.0,16.5,-666666666.0,-666666666.0,-666666666.0,16.2,60.4
"Block Group 1, Census Tract 9406, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:940600> block group:1",292,76,,,,,,,,,,1677,29.7,-666666666.0,24.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.9
"Block Group 2, Census Tract 9405, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:940500> block group:2",283,114,,,,,,,,,,746,29.4,-666666666.0,25.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,29.9
"Block Group 1, Census Tract 9405, Big Horn County, Montana: Summary level: 150, state:30> county:003> tract:940500> block group:1",79,72,,,,,,,,,,448,48.2,-666666666.0,29.8,-666666666.0,-666666666.0,-666666666.0,5.6,48.5
