,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 3, Census Tract 108, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010800> block group:3",68,46,,,,,,,,,,590,43.6,-666666666.0,12.6,-666666666.0,-666666666.0,-666666666.0,41.6,44.9
"Block Group 1, Census Tract 108, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010800> block group:1",96,42,,,,,,,,,,1198,30.1,-666666666.0,9.1,-666666666.0,-666666666.0,-666666666.0,10.6,30.0
"Block Group 3, Census Tract 101, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010100> block group:3",130,54,,,,,,,,,,1208,43.3,-666666666.0,21.2,-666666666.0,-666666666.0,-666666666.0,37.1,43.3
"Block Group 4, Census Tract 21, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002100> block group:4",116,15,,,,,,,,,,723,51.1,-666666666.0,20.7,-666666666.0,-666666666.0,-666666666.0,73.5,51.1
"Block Group 2, Census Tract 9, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000900> block group:2",52,27,,,,,,,,,,572,43.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5
"Block Group 4, Census Tract 9, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000900> block group:4",67,35,,,,,,,,,,803,53.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,53.6
"Block Group 1, Census Tract 9, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000900> block group:1",50,25,,,,,,,,,,518,49.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,42.3,49.7
"Block Group 3, Census Tract 9, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000900> block group:3",98,37,,,,,,,,,,1386,22.8,-666666666.0,27.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,22.4
"Block Group 1, Census Tract 16, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001600> block group:1",89,38,,,,,,,,,,1082,29.0,-666666666.0,24.5,-666666666.0,-666666666.0,-666666666.0,48.9,29.0
"Block Group 3, Census Tract 16, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001600> block group:3",77,37,,,,,,,,,,880,49.9,-666666666.0,7.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,49.9
"Block Group 5, Census Tract 16, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001600> block group:5",88,35,,,,,,,,,,730,30.8,-666666666.0,29.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,30.8
"Block Group 4, Census Tract 16, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001600> block group:4",75,32,,,,,,,,,,854,31.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,36.8
"Block Group 2, Census Tract 16, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001600> block group:2",102,38,,,,,,,,,,1127,28.5,-666666666.0,12.8,-666666666.0,-666666666.0,-666666666.0,12.6,28.0
"Block Group 4, Census Tract 106, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010600> block group:4",132,68,,,,,,,,,,840,51.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.6
"Block Group 3, Census Tract 106, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010600> block group:3",203,99,,,,,,,,,,873,46.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,10.9,46.3
"Block Group 2, Census Tract 2, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000200> block group:2",100,47,,,,,,,,,,1089,35.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.6
"Block Group 1, Census Tract 106, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010600> block group:1",228,177,,,,,,,,,,900,52.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.6
"Block Group 2, Census Tract 106, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010600> block group:2",261,121,,,,,,,,,,1003,39.6,-666666666.0,39.8,-666666666.0,-666666666.0,-666666666.0,17.4,39.6
"Block Group 3, Census Tract 2, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000200> block group:3",116,53,,,,,,,,,,1360,40.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,13.2,40.8
"Block Group 2, Census Tract 7, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000700> block group:2",121,54,,,,,,,,,,922,34.7,-666666666.0,13.9,-666666666.0,-666666666.0,33.7,6.9,37.0
"Block Group 2, Census Tract 18, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001800> block group:2",73,31,,,,,,,,,,916,41.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,41.2
"Block Group 1, Census Tract 18, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001800> block group:1",51,27,,,,,,,,,,510,56.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.8
"Block Group 3, Census Tract 18, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001800> block group:3",54,21,,,,,,,,,,478,61.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,61.3
"Block Group 1, Census Tract 22, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002200> block group:1",70,31,,,,,,,,,,1082,79.2,-666666666.0,55.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,79.0
"Block Group 2, Census Tract 22, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002200> block group:2",57,24,,,,,,,,,,1242,32.2,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,7.8,32.2
"Block Group 5, Census Tract 22, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002200> block group:5",37,18,,,,,,,,,,743,46.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.8
"Block Group 3, Census Tract 17, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001700> block group:3",107,43,,,,,,,,,,715,35.6,-666666666.0,37.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,35.7
"Block Group 1, Census Tract 17, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001700> block group:1",68,36,,,,,,,,,,475,37.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,37.4
"Block Group 2, Census Tract 107, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010700> block group:2",364,154,,,,,,,,,,1543,42.8,-666666666.0,42.9,-666666666.0,-666666666.0,-666666666.0,29.6,43.1
"Block Group 3, Census Tract 107, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010700> block group:3",177,86,,,,,,,,,,1383,44.9,-666666666.0,42.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,45.0
"Block Group 2, Census Tract 104, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:010400> block group:2",227,146,,,,,,,,,,1126,50.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,5.6,50.4
"Block Group 1, Census Tract 4, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000400> block group:1",165,79,,,,,,,,,,1416,38.7,-666666666.0,19.5,-666666666.0,-666666666.0,-666666666.0,9.2,40.3
"Block Group 1, Census Tract 10, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001000> block group:1",114,50,,,,,,,,,,1035,41.4,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.5,41.4
"Block Group 3, Census Tract 10, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001000> block group:3",56,25,,,,,,,,,,478,47.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.6
"Block Group 2, Census Tract 10, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001000> block group:2",88,40,,,,,,,,,,888,54.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.3
"Block Group 2, Census Tract 1, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000100> block group:2",80,40,,,,,,,,,,797,54.6,-666666666.0,20.0,-666666666.0,-666666666.0,-666666666.0,35.4,55.5
"Block Group 1, Census Tract 3, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000300> block group:1",128,28,,,,,,,,,,1027,29.9,43.9,34.5,-666666666.0,-666666666.0,-666666666.0,5.0,33.2
"Block Group 2, Census Tract 3, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000300> block group:2",89,45,,,,,,,,,,1052,42.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,31.5,42.7
"Block Group 2, Census Tract 21, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002100> block group:2",60,33,,,,,,,,,,1088,47.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,47.1
"Block Group 2, Census Tract 8, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:000800> block group:2",107,60,,,,,,,,,,934,45.5,-666666666.0,38.7,31.1,-666666666.0,-666666666.0,12.1,47.1
"Block Group 3, Census Tract 11, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001100> block group:3",85,38,,,,,,,,,,841,55.2,-666666666.0,13.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.2
"Block Group 2, Census Tract 11, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001100> block group:2",109,46,,,,,,,,,,1199,32.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,9.4,35.7
"Block Group 1, Census Tract 11, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001100> block group:1",93,41,,,,,,,,,,1301,27.8,-666666666.0,-666666666.0,53.6,-666666666.0,-666666666.0,-666666666.0,27.8
"Block Group 4, Census Tract 11, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001100> block group:4",102,42,,,,,,,,,,1055,39.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,39.0
"Block Group 4, Census Tract 23, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002300> block group:4",131,48,,,,,,,,,,2413,43.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,43.0
"Block Group 3, Census Tract 23, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002300> block group:3",86,39,,,,,,,,,,1408,51.9,-666666666.0,-666666666.0,62.4,-666666666.0,-666666666.0,-666666666.0,51.9
"Block Group 1, Census Tract 23, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002300> block group:1",140,57,,,,,,,,,,2689,46.1,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,46.0
"Block Group 2, Census Tract 23, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:002300> block group:2",60,22,,,,,,,,,,999,37.3,24.9,-666666666.0,34.9,-666666666.0,-666666666.0,-666666666.0,37.7
"Block Group 1, Census Tract 19, Cascade County, Montana: Summary level: 150, state:30> county:013> tract:001900> block group:1",89,32,,,,,,,,,,1836,39.4,-666666666.0,-666666666.0,14.4,-666666666.0,-666666666.0,-666666666.0,39.5
