,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 2, Census Tract 402, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040200> block group:2",159,85,,,,,,,,,,1041,41.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,20.7,41.4
"Block Group 2, Census Tract 404, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040400> block group:2",110,32,,,,,,,,,,986,40.5,-666666666.0,78.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,40.3
"Block Group 3, Census Tract 404, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040400> block group:3",130,35,,,,,,,,,,1176,28.8,-666666666.0,20.0,-666666666.0,-666666666.0,25.2,-666666666.0,32.0
"Block Group 1, Census Tract 403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040300> block group:1",49,29,,,,,,,,,,572,28.7,-666666666.0,41.8,-666666666.0,-666666666.0,-666666666.0,-666666666.0,28.7
"Block Group 4, Census Tract 404, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040400> block group:4",59,30,,,,,,,,,,738,51.1,-666666666.0,-666666666.0,20.0,-666666666.0,-666666666.0,-666666666.0,51.1
"Block Group 2, Census Tract 403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040300> block group:2",40,26,,,,,,,,,,426,55.6,-666666666.0,11.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.6
"Block Group 5, Census Tract 403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040300> block group:5",68,42,,,,,,,,,,666,50.9,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,51.0
"Block Group 2, Census Tract 405, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040500> block group:2",109,45,,,,,,,,,,1203,40.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.2,41.9
"Block Group 1, Census Tract 405, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040500> block group:1",71,38,,,,,,,,,,537,50.6,-666666666.0,54.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.6
"Block Group 1, Census Tract 401, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040100> block group:1",131,72,,,,,,,,,,493,48.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,48.7
"Block Group 2, Census Tract 401, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040100> block group:2",258,132,,,,,,,,,,600,46.6,-666666666.0,-666666666.0,16.3,-666666666.0,-666666666.0,56.5,46.8
"Block Group 3, Census Tract 9403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:940300> block group:3",209,64,,,,,,,,,,999,59.9,-666666666.0,22.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,59.9
"Block Group 1, Census Tract 9403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:940300> block group:1",249,98,,,,,,,,,,720,23.9,-666666666.0,30.0,-666666666.0,-666666666.0,-666666666.0,55.2,47.5
"Block Group 2, Census Tract 9403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:940300> block group:2",214,56,,,,,,,,,,1064,53.8,-666666666.0,24.3,-666666666.0,-666666666.0,-666666666.0,61.3,53.8
"Block Group 1, Census Tract 402, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040200> block group:1",193,101,,,,,,,,,,820,38.6,-666666666.0,51.6,-666666666.0,-666666666.0,-666666666.0,11.8,38.7
"Block Group 1, Census Tract 404, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040400> block group:1",142,60,,,,,,,,,,1697,33.5,-666666666.0,13.5,-666666666.0,-666666666.0,-666666666.0,13.0,33.4
"Block Group 3, Census Tract 403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040300> block group:3",82,43,,,,,,,,,,1308,27.7,-666666666.0,20.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,27.7
"Block Group 4, Census Tract 403, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040300> block group:4",31,16,,,,,,,,,,416,52.4,-666666666.0,18.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,52.9
"Block Group 3, Census Tract 405, Hill County, Montana: Summary level: 150, state:30> county:041> tract:040500> block group:3",108,45,,,,,,,,,,1061,46.4,-666666666.0,20.0,-666666666.0,-666666666.0,-666666666.0,15.0,46.4
