,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,UNWEIGHTED SAMPLE HOUSING UNITS,SEX BY AGE (WHITE ALONE),SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),SEX BY AGE (ASIAN ALONE),SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),SEX BY AGE (SOME OTHER RACE ALONE),SEX BY AGE (TWO OR MORE RACES),"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",SEX BY AGE (HISPANIC OR LATINO),SEX BY AGE,MEDIAN AGE BY SEX (WHITE ALONE),MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE),MEDIAN AGE BY SEX (ASIAN ALONE),MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),MEDIAN AGE BY SEX (TWO OR MORE RACES),"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)"
"Block Group 1, Census Tract 1, Lake County, Montana: Summary level: 150, state:30> county:047> tract:000100> block group:1",342,277,,,,,,,,,,1436,55.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.7
"Block Group 2, Census Tract 9404, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940400> block group:2",198,82,,,,,,,,,,2140,42.3,-666666666.0,24.3,-666666666.0,-666666666.0,-666666666.0,16.7,42.6
"Block Group 1, Census Tract 9407, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940700> block group:1",150,66,,,,,,,,,,941,42.5,-666666666.0,32.8,-666666666.0,-666666666.0,-666666666.0,36.3,45.6
"Block Group 2, Census Tract 9407, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940700> block group:2",212,94,,,,,,,,,,1104,42.4,-666666666.0,29.9,-666666666.0,-666666666.0,-666666666.0,44.7,42.6
"Block Group 4, Census Tract 9405, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940500> block group:4",363,155,,,,,,,,,,1206,38.2,-666666666.0,30.3,19.2,-666666666.0,-666666666.0,23.2,39.1
"Block Group 1, Census Tract 9405, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940500> block group:1",226,105,,,,,,,,,,1318,48.2,-666666666.0,45.7,-666666666.0,-666666666.0,15.9,38.1,48.8
"Block Group 2, Census Tract 2, Lake County, Montana: Summary level: 150, state:30> county:047> tract:000200> block group:2",127,136,,,,,,,,,,745,54.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,54.0
"Block Group 1, Census Tract 9406, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940600> block group:1",123,56,,,,,,,,,,1022,38.6,-666666666.0,32.1,-666666666.0,-666666666.0,-666666666.0,20.9,38.8
"Block Group 3, Census Tract 9406, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940600> block group:3",73,39,,,,,,,,,,634,60.1,-666666666.0,36.7,-666666666.0,-666666666.0,-666666666.0,-666666666.0,60.1
"Block Group 4, Census Tract 9406, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940600> block group:4",284,140,,,,,,,,,,941,45.2,6.0,51.3,-666666666.0,-666666666.0,-666666666.0,15.9,45.0
"Block Group 2, Census Tract 9406, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940600> block group:2",359,167,,,,,,,,,,1136,37.3,-666666666.0,33.2,-666666666.0,-666666666.0,-666666666.0,10.3,41.5
"Block Group 3, Census Tract 9403.03, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940303> block group:3",171,79,,,,,,,,,,1705,28.5,-666666666.0,23.0,-666666666.0,-666666666.0,-666666666.0,24.1,28.4
"Block Group 2, Census Tract 9403.03, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940303> block group:2",204,239,,,,,,,,,,1558,61.6,-666666666.0,27.4,-666666666.0,-666666666.0,-666666666.0,33.4,63.0
"Block Group 4, Census Tract 9403.03, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940303> block group:4",33,48,,,,,,,,,,483,63.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,63.0
"Block Group 4, Census Tract 9403.01, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940301> block group:4",102,53,,,,,,,,,,1907,47.0,-666666666.0,18.6,-666666666.0,-666666666.0,-666666666.0,6.2,47.5
"Block Group 3, Census Tract 9403.01, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940301> block group:3",90,44,,,,,,,,,,1438,48.3,-666666666.0,26.8,-666666666.0,-666666666.0,-666666666.0,22.8,48.3
"Block Group 1, Census Tract 9403.01, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940301> block group:1",55,65,,,,,,,,,,846,66.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,65.7
"Block Group 5, Census Tract 9403.03, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940303> block group:5",91,35,,,,,,,,,,1210,27.6,-666666666.0,22.3,-666666666.0,-666666666.0,-666666666.0,3.1,29.4
"Block Group 3, Census Tract 9404, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940400> block group:3",80,38,,,,,,,,,,561,57.8,-666666666.0,15.5,-666666666.0,-666666666.0,-666666666.0,-666666666.0,57.6
"Block Group 1, Census Tract 2, Lake County, Montana: Summary level: 150, state:30> county:047> tract:000200> block group:1",133,93,,,,,,,,,,908,55.3,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,55.1
"Block Group 1, Census Tract 9404, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940400> block group:1",188,79,,,,,,,,,,1455,39.0,-666666666.0,22.4,-666666666.0,-666666666.0,-666666666.0,14.2,39.3
"Block Group 2, Census Tract 9405, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940500> block group:2",243,112,,,,,,,,,,1149,45.3,-666666666.0,27.5,-666666666.0,-666666666.0,-666666666.0,27.5,47.1
"Block Group 3, Census Tract 9405, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940500> block group:3",132,52,,,,,,,,,,1279,49.3,-666666666.0,31.4,-666666666.0,-666666666.0,-666666666.0,17.0,54.4
"Block Group 1, Census Tract 9403.03, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940303> block group:1",72,39,,,,,,,,,,1049,50.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,50.6
"Block Group 2, Census Tract 9403.01, Lake County, Montana: Summary level: 150, state:30> county:047> tract:940301> block group:2",62,46,,,,,,,,,,986,54.8,-666666666.0,24.6,-666666666.0,-666666666.0,-666666666.0,-666666666.0,56.2
